technology,cost,n,d,r,g_d,inv_sigma,inv_sigma_C,y_nn,dystar_dc,lhs,rhs,rel_err,ratio_y,ratio_inv_max_rel_dev,source
CES sigma=0.67,multiplicative,1.2376357536750664,1.7623642463249336,1.0,1.0,1.5,1.0,-0.499999916483973,0.49999999999962574,0.5,0.4999999164843473,1.6703130545359102e-07,0.9999998329686945,4.5840686246911844e-07,R3
CES sigma=0.40,multiplicative,1.4125452457381407,1.5874547542618616,1.0,1.0,2.5,1.0,-1.499997750509241,0.5000000000010552,1.5,1.4999977505060755,1.4996626163110705e-06,2.999995501012151,1.4583953733549038e-06,R3
CES sigma=0.83,multiplicative,0.8440893379110386,2.1559106620889636,1.0,1.0,1.2,1.0,-0.19999999567588134,0.500000000000167,0.19999999999999996,0.19999999567581456,2.1620927048715544e-08,0.3999999913516291,1.583193662835214e-07,R3
CES sigma=0.67,linear,2.0834131636193964,1.7962245499796456,0.6663377752791637,0.6001184242687343,1.5,0.0,-0.9995090960446262,0.9999999999996539,1.5,1.5000036514907555,2.4343271702864655e-06,0.9995090960449721,8.329913072646633e-07,R3
CES sigma=0.40,linear,2.012903774513183,1.8405906079307923,0.594024916233871,0.6273427659855242,2.5,0.0,-1.4850641437691436,1.000000000000112,2.5,2.5000031197080275,1.2478832109863447e-06,1.4850641437689776,1.318501631208946e-06,R3
CES sigma=1.43,linear,2.2672260037770102,1.6518218407147327,0.9252021567613855,0.5194259711833175,0.7,0.0,-0.6476439033953341,0.9999999999998899,0.7,0.7000025871777514,3.6959682163661967e-06,0.6476439033954053,4.769177290864235e-07,R3
CES sigma=0.83,linear,2.1258786212295293,1.7668928070513397,0.7159382445414278,0.5827715555504988,1.2,0.0,-0.8591282996128768,0.9999999999998899,1.2,1.2000033608530851,2.8007109043048928e-06,0.8591282996129714,6.924671800412341e-07,R3
reference (kappa free),multiplicative,21.72077185768561,24.841755625961298,1.0,1.0,1.4274428855605104,1.0,-0.14143451212977887,0.16544260459100402,0.42744288556051035,0.42744283577807446,1.1646570241552467e-07,0.8548856715561489,1.3760250161531928e-07,extra
reference (kappa free),linear,20.650874937906096,24.3294420435655,1.2629571299612758,0.44189966604321496,1.4278012321365576,0.0,-0.5961734909354366,0.33060804399109855,1.4278012321365576,1.4278107120274208,6.63950320944906e-06,1.803263718990117,5.774613780484827e-07,extra
reference (kappa free),multiplicative N^(1+0.1)D,20.573201535999818,23.9320057940471,1.1,1.0,1.4275897361545995,1.0,-0.1555779607365082,0.1575102717169541,0.4275897361545995,0.4275896791901195,1.3322228109569068e-07,0.9877321589291761,1.520110717301293e-07,extra
CES sigma=1.43,CES cost theta=2.0,2.6046733491365957,2.35127164529354,0.8299882184972749,0.5464516054759995,0.7,-1.0,-1.4109986925525675,0.9999999999998899,1.7,1.7000225558712019,1.326815953062166e-05,1.410998692552723,1.2436789733616394e-06,extra
non-separable,6ND + data cost,2.0210070971005645,-0.8769246723343245,0.9378567070301989,1.0,1.2039429478966075,0.9679319629105844,-0.2141024367519062,0.4991502951021132,0.23601098498602313,0.23601093689939157,2.037474297056363e-07,0.4289338078185578,1.574980994512032e-07,extra
CES sigma=1.43,multiplicative,1.937273749867662,1.0627262501323358,1.0,1.0,0.7,1.0,0.29999998263363636,0.4999999999997229,-0.30000000000000004,-0.2999999826338026,5.788732471145863e-08,-0.5999999652676052,3.444113186867881e-07,SOC
