part,check,ok,detail
A,Hoffmann: interior,True,w=1.666267 (1+delta+m_N)/(1+m_D)=1.666267
A,Hoffmann: size cap (envelope shadow value),True,w=2.467577 pred=2.467577 relerr=1.0e-10 nu_N=1.0812 mu=0.0000; w-1=1.4676 = v_N >= m_N=0.3864
A,Hoffmann: virtual price (Neary-Roberts) reproduces the capped choice,True,"capped (n,d)=(18.970121,25.180677); unconstrained with m_N'=v_N: (18.970121,25.180677)"
A,Hoffmann: size floor (envelope shadow value),True,w=1.190089 pred=1.190089 relerr=1.4e-09 nu_N=-0.8727 mu=0.0000; w-1=0.1901 < m_N=1.0628
A,Hoffmann: token cap (envelope shadow value),True,w=1.198473 pred=1.198473 relerr=1.2e-10 nu_N=0.0000 mu=1.0716; w-1=0.1985 <= v_N=1.4828
A,"Hoffmann: both caps bind -> w-1 <= v_N always, but w-1 vs m_N either way",True,"w-1=0.043, m_N=4.923, v_N=17.400, mu=16.633; w-1=1.618, m_N=0.814, v_N=14.171, mu=4.795"
A,reference kappa free: interior,True,w=1.846285 (1+delta+m_N)/(1+m_D)=1.846285
A,reference kappa free: size cap (envelope shadow value),True,w=3.036406 pred=3.036406 relerr=1.5e-10 nu_N=1.5051 mu=0.0000; w-1=2.0364 = v_N >= m_N=0.5313
A,reference kappa free: virtual price (Neary-Roberts) reproduces the capped choice,True,"capped (n,d)=(19.124326,24.862310); unconstrained with m_N'=v_N: (19.124326,24.862310)"
A,reference kappa free: size floor (envelope shadow value),True,w=1.201602 pred=1.201602 relerr=1.6e-09 nu_N=-1.0688 mu=0.0000; w-1=0.2016 < m_N=1.2704
A,reference kappa free: token cap (envelope shadow value),True,w=1.183487 pred=1.183487 relerr=6.6e-11 nu_N=0.0000 mu=1.4364; w-1=0.1835 <= v_N=1.8834
A,"reference kappa free: both caps bind -> w-1 <= v_N always, but w-1 vs m_N either way",True,"w-1=-0.114, m_N=6.253, v_N=17.906, mu=20.329; w-1=2.201, m_N=1.034, v_N=16.149, mu=4.357"
A,"Hoffmann, delta=0.1, qD>0: interior",True,w=1.155644 (1+delta+m_N)/(1+m_D)=1.155644
A,"Hoffmann, delta=0.1, qD>0: size cap (envelope shadow value)",True,w=1.640546 pred=1.640546 relerr=9.3e-11 nu_N=1.4365 mu=0.0000
A,"Hoffmann, delta=0.1, qD>0: size floor (envelope shadow value)",True,w=0.838759 pred=0.838759 relerr=9.4e-10 nu_N=-0.7574 mu=0.0000
A,"Hoffmann, delta=0.1, qD>0: token cap (envelope shadow value)",True,w=0.815821 pred=0.815821 relerr=1.1e-10 nu_N=0.0000 mu=1.3122
A,latency objective: nu_N = ell xi_Z / X_T,True,w=2.205713 1+m_N+ell xi_Z/X_T=2.205713
A,"menu binds as a cap: w-1 = v_N, nu_N of the stated sign",True,chosen n=18.770 (unconstrained 19.670); nu_N=1.4298; w-1=1.7605 m_N=0.3307
A,"menu binds as a floor: w-1 = v_N, nu_N of the stated sign",True,chosen n=20.170 (unconstrained 19.670); nu_N=-0.7245; w-1=0.2588 m_N=0.9832
B,"A-family(iii) m_D=0: sum pi(1+v_N) = (1+m_D) w_H, envelope multipliers",True,lhs=1.128961 rhs=1.128961; xi_1=6.845e-02 xi_3=-1.152e-01; sum pi v_N=0.1290 vs w_H-1=0.1290 (sum pi m_N=0.3671)
B,A-family(iii) m_D=0: 1-1/w_H = sum h_i s_i,True,0.114230
B,A-family(iv) m_D=0: every size capped -> sum pi(1+m_N) <= (1+m_D) w_H,True,1.3196 <= 1.6609
B,"A-family(vi) m_D=0, D capped at 50%: identity and member bound iff rho_i >= 1+m_D",True,"lhs=1.84015 rhs=1.84015 mu=1.091; rho=[8.035, 2.651, 1.738] 1+m_D=1.000"
B,"A-family(vi) m_D=0, D capped at 80%: identity and member bound iff rho_i >= 1+m_D",True,"lhs=1.39230 rhs=1.39230 mu=0.313; rho=[4.393, 1.64, 1.102] 1+m_D=1.000"
B,"A-family(iii) m_D>0: sum pi(1+v_N) = (1+m_D) w_H, envelope multipliers",True,lhs=1.173199 rhs=1.173199; xi_1=6.578e-02 xi_3=-1.243e-01; sum pi v_N=0.1732 vs w_H-1=-0.0573 (sum pi m_N=0.4744)
B,A-family(iii) m_D>0: 1-1/w_H = sum h_i s_i,True,-0.060760
B,A-family(iv) m_D>0: every size capped -> sum pi(1+m_N) <= (1+m_D) w_H,True,1.4556 <= 1.9430
B,"A-family(vi) m_D>0, D capped at 50%: identity and member bound iff rho_i >= 1+m_D",True,"lhs=2.08405 rhs=2.08405 mu=1.543; rho=[11.599, 3.801, 2.247] 1+m_D=1.223"
B,"A-family(vi) gloss m_D>0, cap 50%: proportional data-cost share gives exactly 1+m_D",True,"1+m_D=1.2230; whole cost: [10.1178, 2.1953, 1.2827]"
B,"A-family(vi) m_D>0, D capped at 80%: identity and member bound iff rho_i >= 1+m_D",True,"lhs=1.45279 rhs=1.45279 mu=0.398; rho=[6.341, 2.293, 1.331] 1+m_D=1.242"
