model,family,lab,org,date,open_weights,arch,moe,N_total,N_active,N,D,D_src,M,C6,confidence,code,distilled,synthetic,continued,mm,sample,in_A,in_B,uid,core,hf,N_nonemb,N_emb,tied,D_card_verified,base_released,dl30_total,dlall_total,dl30,dl_all,likes,epoch_model,note,D_flag,accessibility,org_cat,country,notable,frontier,C_epoch,C_method,C_D_ratio,D_C_mismatch,year
Llama-2-7b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,6738417664.0,6738417664.0,6738417664.0,2000000000000.0,ObsScaling,296.80558548411165,8.0861011968e+22,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-7b-hf,True,meta-llama/Llama-2-7b-hf,6476273664.0,262144000.0,False,,True,1353768.0,66330947.0,854075.0,34451637.0,2418.0,Llama 2-7B,,,,,,,,,,,,2023
Llama-2-13b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,13015866880.0,13015866880.0,13015866880.0,2000000000000.0,ObsScaling,153.6586090222828,1.5619040256e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-13b-hf,True,meta-llama/Llama-2-13b-hf,12688186880.0,327680000.0,False,,True,187130.0,19661090.0,29828.0,3568191.0,637.0,Llama 2-13B,,,,,,,,,,,,2023
Llama-2-70b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,68976653312.0,68976653312.0,68976653312.0,2000000000000.0,ObsScaling,28.99531803831451,8.27719839744e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-70b-hf,True,meta-llama/Llama-2-70b-hf,68452365312.0,524288000.0,False,,True,8903.0,7481398.0,3455.0,2548499.0,855.0,Llama 2-70B,,,,,,,,,,,,2023
llama-7b,Llama,Meta,Meta AI,2023-02-24 00:00:00,True,dense,False,6738417664.0,6738417664.0,6738417664.0,1000000000000.0,ObsScaling,148.40279274205582,4.0430505984e+22,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-7b,True,huggyllama/llama-7b,6476273664.0,262144000.0,False,,True,246007.0,7861305.0,246007.0,7861305.0,360.0,LLaMA-7B,,,,,,,,,,,,2023
llama-13b,Llama,Meta,Meta AI,2023-02-27 00:00:00,True,dense,False,13015866880.0,13015866880.0,13015866880.0,1000000000000.0,ObsScaling,76.8293045111414,7.809520128e+22,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-13b,True,huggyllama/llama-13b,12688186880.0,327680000.0,False,,True,1284.0,1055759.0,1284.0,1055759.0,145.0,LLaMA-13B,,,,,,,,,,,,2023
llama-30b,Llama,Meta,Meta AI,2023-02-27 00:00:00,True,dense,False,32528947456.0,32528947456.0,32528947456.0,1400000000000.0,ObsScaling,43.03858899503889,2.732431586304e+23,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-30b,True,huggyllama/llama-30b,32102963456.0,425984000.0,False,,True,1596.0,618296.0,1596.0,618296.0,48.0,LLaMA-33B,,,,,,,,,,,,2023
llama-65b,Llama,Meta,Meta AI,2023-02-24 00:00:00,True,dense,False,65285665792.0,65285665792.0,65285665792.0,1400000000000.0,ObsScaling,21.444217241505925,5.483995926528e+23,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-65b,True,huggyllama/llama-65b,64761377792.0,524288000.0,False,,True,800.0,291920.0,800.0,291920.0,78.0,LLaMA-65B,,,,,,,,,,,,2023
Meta-Llama-3-70B,Llama-3,Meta,Meta AI,2024-04-18 00:00:00,True,dense,False,70553706496.0,70553706496.0,70553706496.0,15000000000000.0,ObsScaling,212.60399694026586,6.34983358464e+24,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Meta-Llama-3-70B,True,meta-llama/Meta-Llama-3-70B,68452360192.0,2101346304.0,False,,True,194673.0,10517010.0,75486.0,4075057.0,881.0,Llama 3-70B,,,,,,,,,,,,2024
Meta-Llama-3-8B,Llama-3,Meta,Meta AI,2024-04-18 00:00:00,True,dense,False,8030261248.0,8030261248.0,8030261248.0,15000000000000.0,ObsScaling,1867.9342473118006,7.2272351232e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Meta-Llama-3-8B,True,meta-llama/Meta-Llama-3-8B,6979588096.0,1050673152.0,False,,True,1458239.0,95523445.0,261762.0,47106818.0,6702.0,Llama 3-8B,,,,,,,,,,,,2024
Llama-3.1-405B,Llama-3.1,Meta,Meta AI,2024-07-23 00:00:00,True,dense,False,405853388800.0,405853388800.0,405853388800.0,15600000000000.0,ObsScaling; fix: 405B: 15.6T per Llama 3 herd report (card: ~15T for all 3.1 sizes),38.437525546170825,3.798787719168e+25,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-3.1-405B,True,meta-llama/Llama-3.1-405B,401650696192.0,4202692608.0,False,,True,581157.0,28100697.0,103458.0,21315204.0,989.0,Llama 3.1-405B,,,,,,,,,,,,2024
