model,epoch_model,org,org_cat,country,date,open_weights,accessibility,arch,moe,N_total,N_active,N,D,D_src,D_flag,D_epoch,epochs,C_epoch,C_method,confidence,C_D_ratio,D_C_mismatch,code,distilled,notable,frontier,hf_dev,core,in_B,M,C6,sample
Nemotron 3.5 Lightning,Nemotron 3.5 Lightning,Nvidia,Industry,United States of America,2026-08-11,True,Open weights (unrestricted),moe,True,30000000000.0,3000000000.0,3000000000.0,20000000000000.0,Epoch dataset size x epochs,,20000000000000.0,,,,Speculative,,False,False,False,False,False,nvidia,False,False,6666.666666666667,3.6e+23,A
LongCat-2.0,LongCat-2.0,Meituan Inc,Industry,China,2026-06-29,True,Open weights (unrestricted),moe,True,1600000000000.0,48000000000.0,48000000000.0,35000000000000.0,Epoch dataset size x epochs,,35000000000000.0,,1.008e+25,,Likely,1.0,False,False,False,True,False,meituan-longcat,True,False,729.1666666666666,1.008e+25,A
Ring-2.6-1T,Ring-2.6-1T,Ant Group,Industry,China,2026-05-14,True,Open weights (unrestricted),moe,True,1000000000000.0,63000000000.0,63000000000.0,9600000000000.0,Epoch dataset size x epochs,,9600000000000.0,,,,Speculative,,False,False,False,False,False,inclusionAI,False,False,152.38095238095238,3.6288e+24,A
Granite 4.1 30B,Granite 4.1 30B,IBM,Industry,United States of America,2026-04-29,True,Open weights (unrestricted),dense,False,30000000000.0,30000000000.0,30000000000.0,15034952533333.0,Epoch dataset size x epochs,,15034952533333.0,,2.7e+24,,Likely,0.9976752481755091,False,False,False,False,False,ibm-granite,True,False,501.1650844444333,2.70629145599994e+24,A
Granite 4.1 8B,Granite 4.1 8B,IBM,Industry,United States of America,2026-04-29,True,Open weights (unrestricted),dense,False,8000000000.0,8000000000.0,8000000000.0,15034952533333.0,Epoch dataset size x epochs,,15034952533333.0,,7.2e+23,,Likely,0.997675248175509,False,False,False,False,False,ibm-granite,True,False,1879.369066666625,7.21677721599984e+23,A
MiMo-V2.5-Pro,MiMo-V2.5-Pro,Xiaomi Corp,Industry,China,2026-04-23,True,Open weights (unrestricted),moe,True,1020000000000.0,42000000000.0,42000000000.0,27000000000000.0,Epoch dataset size x epochs,,27000000000000.0,,6.804e+24,,Likely,1.0,False,False,False,True,False,,True,False,642.8571428571429,6.804e+24,A
Solar Open 100B,Solar Open 100B,Upstage,Industry,South Korea,2025-12-31,True,Open weights (restricted use),moe,True,102000000000.0,12000000000.0,12000000000.0,19700000000000.0,Epoch dataset size x epochs,,19700000000000.0,,1.3999999999999998e+24,,Confident,0.9870276367738295,False,False,False,True,False,,True,False,1641.6666666666667,1.4184e+24,A
K-EXAONE,K-EXAONE,LG AI Research,Industry,South Korea,2025-12-31,True,Open weights (restricted use),moe,True,236000000000.0,23000000000.0,23000000000.0,11000000000000.0,Epoch dataset size x epochs,,11000000000000.0,1.0,1.52e+24,,Confident,1.0013175230566533,False,False,False,True,False,,True,False,478.2608695652174,1.518e+24,A
Olmo 3,Olmo 3,Allen Institute for AI,Research collective,United States of America,2025-11-20,True,Open weights (unrestricted),dense,False,32000000000.0,32000000000.0,32000000000.0,5500000000000.0,Epoch dataset size x epochs,,5500000000000.0,1.0,1.0999999999999999e+24,,Confident,1.0416666666666665,False,False,False,True,False,,True,True,171.875,1.056e+24,A
Kimi Linear,Kimi Linear,Moonshot,Industry,China,2025-10-30,True,Open weights (unrestricted),moe,True,48000000000.0,3000000000.0,3000000000.0,5700000000000.0,Epoch dataset size x epochs,,5700000000000.0,,1.026e+23,Operation counting,Confident,1.0,False,False,False,False,False,moonshotai,True,False,1900.0,1.026e+23,A
Ling-1T,Ling-1T,Ant Group,Industry,China,2025-10-10,True,Open weights (unrestricted),moe,True,1000000000000.0,50000000000.0,50000000000.0,20000000000000.0,Epoch dataset size x epochs,,20000000000000.0,,6.000001e+24,Operation counting,Confident,1.0000001666666667,False,False,False,True,False,inclusionAI,True,False,400.0,6e+24,A
Granite-4.0-H-Tiny,Granite-4.0-H-Tiny,IBM,Industry,United States of America,2025-10-02,True,Open weights (unrestricted),moe,True,7000000000.0,1000000000.0,1000000000.0,22500000000000.0,Epoch C/(6N) (operation counting),D from compute,,,1.35e+23,Operation counting,Confident,1.0,False,False,False,False,False,ibm-granite,True,False,22500.0,1.35e+23,A
Granite-4.0-H-Micro,Granite-4.0-H-Micro,IBM,Industry,United States of America,2025-10-02,True,Open weights (unrestricted),ssm/hybrid,False,3000000000.0,3000000000.0,3000000000.0,17500000000000.002,Epoch C/(6N) (operation counting),D from compute,,,3.15e+23,Operation counting,Confident,1.0,False,False,False,False,False,ibm-granite,True,False,5833.333333333334,3.15e+23,A
Granite-4.0-H-Small,Granite-4.0-H-Small,IBM,Industry,United States of America,2025-10-02,True,Open weights (unrestricted),moe,True,32000000000.0,9000000000.0,9000000000.0,22500000000000.004,Epoch C/(6N) (operation counting),D from compute,,,1.215e+24,Operation counting,Confident,1.0,False,False,False,False,False,ibm-granite,True,False,2500.0000000000005,1.215e+24,A
