uid,band_lo,band_hi,pt_min,pt_max,band_lo_nohoff,band_hi_nohoff,band_lo_core,band_hi_core,n_tech,techs_used
B:meta-llama/Llama-2-7b-hf,1.6975426890146474,5.882928762150234,1.745456331687252,3.6554396046419817,1.6975426890146474,5.882928762150234,1.6975426890146474,3.6682057296010764,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:meta-llama/Llama-2-13b-hf,1.2819195026592198,5.136488565830431,1.3961322577668787,3.157174377232009,1.2819195026592198,5.136488565830431,1.2819195026592198,2.90298300601002,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:meta-llama/Llama-2-70b-hf,0.5517513796680229,3.7746683380052937,0.7335135630985895,2.1781836598043975,0.5517513796680229,3.7746683380052937,0.5517513796680229,1.7246847048801681,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:huggyllama/llama-7b,1.4326679393101784,4.5372334918948285,1.4326679393101784,2.9902622556974303,1.4457750656993562,4.5372334918948285,1.4457750656993562,2.723058516345972,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:huggyllama/llama-13b,1.0376941736093077,4.225582354207143,1.1459432633332314,2.582665943352813,1.0376941736093077,4.225582354207143,1.0376941736093077,2.1914852202159083,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:huggyllama/llama-30b,0.7251499010517417,3.9281668610830334,0.918869525727046,2.3220293173575697,0.7251499010517417,3.9281668610830334,0.7251499010517417,1.875872600676092,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:huggyllama/llama-65b,0.5081287895582096,3.3346929303230226,0.6724383045399586,1.9884947112845917,0.5081287895582096,3.3346929303230226,0.5081287895582096,1.5502516522223377,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:meta-llama/Meta-Llama-3-70B,1.0184684413572667,7.549065470329678,1.363854574140681,3.885780241112719,1.0184684413572667,7.549065470329678,1.0184684413572667,3.8102459045344363,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:meta-llama/Meta-Llama-3-8B,2.4761854156696548,12.013186342082193,2.919957194659215,6.303094197886581,2.4761854156696548,12.013186342082193,2.4761854156696548,8.120361343871785,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:meta-llama/Llama-3.1-405B,0.42173746645921684,5.7320066393285645,0.6302803281271875,2.6624492359207097,0.42173746645921684,5.7320066393285645,0.42173746645921684,2.2160387727484405,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:meta-llama/Llama-3.1-70B,1.0184684413572667,7.549065470329678,1.363854574140681,3.885780241112719,1.0184684413572667,7.549065470329678,1.0184684413572667,3.8102459045344363,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:meta-llama/Llama-3.1-8B,2.4761854156696548,12.013186342082193,2.919957194659215,6.303094197886581,2.4761854156696548,12.013186342082193,2.4761854156696548,8.120361343871785,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:Qwen/Qwen1.5-72B,0.6107610159371482,4.408893301760557,0.8154002077006002,2.4243107762037805,0.6107610159371482,4.408893301760557,0.6107610159371482,1.9588203929881423,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen1.5-32B,1.004480935034827,5.636756655894395,1.2469041651271722,3.1479958464849154,1.004480935034827,5.636756655894395,1.004480935034827,2.862361291912547,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen1.5-14B,1.5279158080876705,6.498613114362903,1.652733370481013,3.7873430460730675,1.5279158080876705,6.498613114362903,1.5279158080876705,3.785523003511691,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen1.5-7B,2.0305524936115034,7.40709129490942,2.0305524936115034,4.335183695535369,2.071633746409006,7.40709129490942,2.071633746409006,4.68625046310144,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen1.5-4B,2.2036116883361547,7.067453182112737,2.2036116883361547,4.340169144762467,2.2540521402383185,7.067453182112737,2.44488515129219,4.7716451035139364,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen1.5-1.8B,2.7644744024946886,8.336038160350396,2.857212144983061,5.146740258505436,2.7644744024946886,8.336038160350396,3.403590979747992,6.223483947944356,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen1.5-0.5B,3.675994633314983,10.813202849290292,4.130831446918325,6.555238866494808,3.675994633314983,10.813202849290292,4.418960463123383,8.916026272474975,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen-72B,0.6107610159371482,4.408893301760557,0.8154002077006002,2.4243107762037805,0.6107610159371482,4.408893301760557,0.6107610159371482,1.9588203929881423,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen-14B,1.395616702133679,5.834497144454211,1.5226768675427607,3.484422298742003,1.395616702133679,5.834497144454211,1.395616702133679,3.348823277225014,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen-7B,1.7555350814322828,6.1166857015058635,1.7555350814322828,3.738709743780985,1.7638399063302939,6.1166857015058635,1.7638399063302939,3.7869235781745214,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen2-72B,0.7916570752588123,6.051680568090852,1.0601520179091255,3.0949970941362617,0.7916570752588123,6.051680568090852,0.7916570752588123,2.782292569049385,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen2-7B,2.3926901608531,9.162415192709735,2.3926901608531,5.114061135995948,2.446763036263557,9.162415192709735,2.45488201969737,5.978458001431055,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen2-1.5B,3.723434372268031,12.948543756915836,4.11148698924074,7.295407551676976,3.723434372268031,12.948543756915836,4.583589357832809,10.315951643349095,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:Qwen/Qwen2-0.5B,5.657270434851215,20.625298937247173,7.055522407585852,12.790658585451999,5.657270434851215,20.625298937247173,7.550146880127622,19.08106412668898,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:deepseek-ai/DeepSeek-V2,1.5568056224532463,7.77668257652904,1.7681658069820747,4.256777372587846,1.5568056224532463,7.77668257652904,1.5568056224532463,4.474014463205765,5,"chin,besi,hoff,farseer_emb,gadre_rw"
B:deepseek-ai/DeepSeek-Coder-V2-Base,1.6740013003562213,8.478317750631437,1.8881904420881261,4.550840298980624,1.6740013003562213,8.478317750631437,1.6740013003562213,4.962631477334723,5,"chin,besi,hoff,farseer_emb,gadre_rw"
B:01-ai/Yi-6B,2.030880416573783,7.006450871353974,2.030880416573783,4.2092775788233565,2.1272070949552173,7.006450871353974,2.1272070949552173,4.514356097601929,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:01-ai/Yi-34B,0.8926753413430863,5.153298727253381,1.1271223986149337,2.8602593818094015,0.8926753413430863,5.153298727253381,0.8926753413430863,2.5073625708972274,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:01-ai/Yi-1.5-34B,0.9446469518760546,5.420076530480862,1.1872162088954192,3.0154351837079423,0.9446469518760546,5.420076530480862,0.9446469518760546,2.696686482592249,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:01-ai/Yi-1.5-9B,1.8679320850830263,6.917446122849775,1.8828815165915673,4.081171133072344,1.8679320850830263,6.917446122849775,1.8679320850830263,4.29344292048599,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:01-ai/Yi-1.5-6B,2.1391591115991955,7.501860935444052,2.1391591115991955,4.4376407922653,2.222164305445591,7.501860935444052,2.2437553704658733,4.879307926966269,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:google/gemma-7b,2.2028107215224195,8.437679938366252,2.2028107215224195,4.7678048395535315,2.2303991025504684,8.437679938366252,2.2303991025504684,5.377218116332371,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:google/gemma-2b,2.669832434462104,8.475835098396164,2.7401839831663612,5.12362959236401,2.669832434462104,8.475835098396164,3.159060546030022,6.157022913820815,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:google/gemma-2-27b,1.5782094240657993,8.739785009506758,1.8526877430615718,4.6080082597350405,1.5782094240657993,8.739785009506758,1.5782094240657993,5.0124948643895255,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:google/gemma-2-9b,2.327553110374107,9.238927369747572,2.327553110374107,5.091697683017086,2.3388764947014518,9.238927369747572,2.3388764947014518,5.911862363581833,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:google/gemma-2-2b,2.4036288392185723,7.215077545692488,2.406503605918939,4.513011678081662,2.4036288392185723,7.215077545692488,2.7855455999078376,5.1040964686465085,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:tiiuae/falcon-180B,0.40291272795672467,3.778282229882555,0.5691840367208486,2.0703981237303837,0.40291272795672467,3.778282229882555,0.40291272795672467,1.530563793083407,5,"chin,besi,hoff,farseer_emb,gadre_rw"
B:tiiuae/falcon-40b,0.5746363826383495,3.240564053870855,0.7388548272733064,1.9915878443363315,0.5746363826383495,3.240564053870855,0.5746363826383495,1.465291107632709,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:tiiuae/falcon-7b,1.5710945522887698,5.204148968884647,1.5710945522887698,3.312076705514733,1.5809256782108236,5.204148968884647,1.5809256782108236,3.1590805066875873,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:tiiuae/falcon-rw-1b,2.029071620171739,4.636249251533539,2.029071620171739,3.3730198971139447,2.0607667816048703,4.636249251533539,2.106747228895873,3.341390791836486,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:microsoft/phi-2,2.1292224061887346,6.229514699848454,2.1292224061887346,4.014688920421469,2.176431258071863,6.229514699848454,2.339148340419843,4.290968341966812,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:microsoft/phi-1_5,1.4157419184104272,3.105536636223935,1.4157419184104272,2.4412349012520607,1.5027885024495062,3.105536636223935,1.5027885024495062,2.0657705295244164,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:bigscience/bloom-560m,2.3518279552416548,5.257565358162204,2.4529883620880026,3.810011555408401,2.3518279552416548,5.257565358162204,2.8969881998494436,4.040048285397316,5,"chin,besi,hoff,farseer_emb,gadre_rw"
B:bigscience/bloom-1b1,1.971304247692133,4.520083136641443,1.971304247692133,3.3008387843486844,2.0191129274607698,4.520083136641443,2.2881077135457897,3.2336450669965395,5,"chin,besi,hoff,farseer_emb,gadre_rw"
B:bigscience/bloom-3b,1.3871041022298554,3.624530214381076,1.3871041022298554,2.6209399843807026,1.5354018602396355,3.624530214381076,1.5551799987711232,2.2746079168694537,5,"chin,besi,hoff,farseer_emb,gadre_rw"
B:bigscience/bloom-7b1,1.011741030999079,3.1267124150238947,1.0374604539364236,2.166128004973928,1.011741030999079,3.1267124150238947,1.011741030999079,1.6932697164017245,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:bigscience/bloom,0.20168152750021526,1.7831832891598949,0.28318041111015674,1.080653070579267,0.20168152750021526,1.7831832891598949,0.20168152750021526,0.6115685065322499,5,"chin,besi,hoff,farseer_emb,gadre_rw"
B:EleutherAI/gpt-neox-20b,0.6546151759838255,2.8380353019031346,0.7924282526646967,1.876792784956526,0.6546151759838255,2.8380353019031346,0.6546151759838255,1.3582995159872469,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:EleutherAI/gpt-neo-2.7B,1.5353890763256919,3.9996048552166403,1.5353890763256919,2.8622443346057533,1.6303702732160694,3.9996048552166403,1.6303702732160694,2.6001507916065654,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:EleutherAI/gpt-neo-1.3B,1.8926426886275098,4.478242354215994,1.8926426886275098,3.24978506242928,1.9590125557960818,4.478242354215994,1.980515142210183,3.157896060450257,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:EleutherAI/gpt-neo-125m,3.181369391168668,8.107300057689983,3.9293300048346635,6.858170175624578,3.181369391168668,8.107300057689983,3.6188418119802077,8.107300057689983,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:EleutherAI/gpt-j-6b,1.1462120509861982,3.473742966281801,1.1462120509861982,2.3520273230606743,1.1515410011552936,3.473742966281801,1.1515410011552936,1.919258722135419,6,"chin,besi,hoff,farseer,farseer_emb,gadre_rw"
B:facebook/opt-6.7b,0.9995037415268778,2.9926063912536907,1.018637506944935,2.1122528353855032,0.9995037415268778,2.9926063912536907,0.9995037415268778,1.7084730940255635,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:facebook/opt-1.3b,1.714126643218095,4.106716982943765,1.776538612314352,3.042686529740719,1.714126643218095,4.106716982943765,1.714126643218095,2.862947344052924,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:facebook/opt-350m,2.387038508311377,5.46948552481716,2.7725306479016645,4.3261524135771845,2.387038508311377,5.46948552481716,2.387038508311377,4.861905488801945,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:facebook/opt-13b,0.7165073143354896,2.6240158440180044,0.8135320200479889,1.8225105948193983,0.7165073143354896,2.6240158440180044,0.7165073143354896,1.4248174041529402,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:facebook/opt-2.7b,1.386454582220882,3.5456341770965745,1.386454582220882,2.585851061279051,1.431172999290344,3.5456341770965745,1.431172999290344,2.231361146381025,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:facebook/opt-30b,0.46890174403598184,2.238915116698274,0.5884516235672294,1.5129735210645259,0.46890174403598184,2.238915116698274,0.46890174403598184,1.1337613171196923,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:facebook/opt-125m,3.1182719435779416,8.113809604254508,3.8953412744463316,6.86305152498332,3.1182719435779416,8.113809604254508,3.1182719435779416,8.113809604254508,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:facebook/opt-66b,0.31331572410100206,2.0005029224137107,0.41327346537969384,1.2694407597652024,0.31331572410100206,2.0005029224137107,0.31331572410100206,0.9234393874336588,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3"
B:mosaicml/mpt-30b,0.6809661182059285,3.4404282436318345,0.857613792726474,2.1446055029420195,0.6809661182059285,3.4404282436318345,0.6809661182059285,1.6434880832350365,5,"chin,besi,hoff,farseer_emb,gadre_rw"
