rep,chi_est,chi_wcu_lo,chi_wcu_hi,chi_wcu_se,chi_wcu_p_wcr,chi_wcu_se_wcr,chi_cr2_lo,chi_cr2_hi,chi_cr2_se,chi_cr2_p_wcr,chi_cr2_se_wcr
0,-0.0025556409160332194,-0.023509081636365576,0.018816325873285276,0.011491087354996184,0.885,0.011281020941411436,-0.023001720898480984,0.018191257285743972,0.011309428670079247,0.85,0.010727656158838767
1,0.005060139180405265,-0.025391058865534957,0.035025919636892264,0.017037236523367073,0.8,0.017353541140578264,-0.03845857924605851,0.04781676112490882,0.025225788030020985,0.83,0.021582318770980373
2,0.01666195923386926,-0.0023518674022250524,0.03548209326627494,0.0104675037453903,0.125,0.010986706196367041,-0.013259776779676047,0.04246364172970285,0.016043297562215834,0.285,0.013990688254370392
3,-0.0024231940509649164,-0.01575068738124491,0.010746258613352431,0.006991901586688197,0.72,0.006873934015874524,-0.021730403178312808,0.01420579668823145,0.00918312057792751,0.735,0.007782687502959306
4,0.003970907375524746,-0.01426585520064564,0.021759975901754422,0.011112702731631134,0.77,0.01205931955856482,-0.01916293713583438,0.027393770985281878,0.014932117814272578,0.815,0.01407838514261235
5,0.006307936329114305,-0.008773980159397073,0.022622214734441703,0.008449766890026432,0.465,0.007766972197734852,-0.009051118080348097,0.02685038634002703,0.009391423795027823,0.5,0.008229469365664448
6,-0.021945893932632465,-0.04850317637755052,0.004979057753701756,0.014366415203796614,0.045,0.012199812155616399,-0.056176524549313274,0.011400487644505297,0.017887884967266746,0.115,0.014078630879201642
7,-0.0023956336177244353,-0.019617301631462688,0.014613295679885497,0.009243062299563407,0.81,0.009393652188156737,-0.022443302064244896,0.018020067037342623,0.010956509998249174,0.86,0.010436836669044368
8,-0.011260683823981488,-0.03318182649878962,0.007804942722510689,0.011053095962305791,0.37,0.011222622669967687,-0.03494977095788209,0.012654578004521876,0.012897650673558815,0.45,0.012587480566545196
9,-0.00042248088928609207,-0.013025354919789428,0.011182059878721073,0.006588870047306034,0.925,0.006514365947982545,-0.016734387766746114,0.01582048404467935,0.008523336263005464,0.965,0.007243093940492135
10,-0.026659581054691017,-0.045024001341284745,-0.0050431194922977915,0.010614498824238238,0.205,0.019419237418560893,-0.0530394428673031,0.003953565362268693,0.01615695246991538,0.32,0.023497932450129353
