rep,sig_kappa_est,sig_kappa_wcu_lo,sig_kappa_wcu_hi,sig_kappa_wcu_se,sig_kappa_cr2_lo,sig_kappa_cr2_hi,sig_kappa_cr2_se,sig_mf_P_est,sig_mf_P_wcu_lo,sig_mf_P_wcu_hi,sig_mf_P_wcu_se,sig_mf_P_cr2_lo,sig_mf_P_cr2_hi,sig_mf_P_cr2_se,sig_mf_P6_est,sig_mf_P6_wcu_lo,sig_mf_P6_wcu_hi,sig_mf_P6_wcu_se,sig_mf_P6_cr2_lo,sig_mf_P6_cr2_hi,sig_mf_P6_cr2_se,q3_est,q3_wcu_lo,q3_wcu_hi,q3_wcu_se,q3_cr2_lo,q3_cr2_hi,q3_cr2_se,chi_est,chi_wcu_lo,chi_wcu_hi,chi_wcu_se,chi_wcu_p_wcr,chi_wcu_se_wcr,chi_cr2_lo,chi_cr2_hi,chi_cr2_se,chi_cr2_p_wcr,chi_cr2_se_wcr
0,0.7420624132063762,0.7289557593590322,0.7547980054531215,0.007124254400970535,0.7261336976451885,0.7575697843423257,0.008658151861426764,0.7308126440025625,0.7238443329384047,0.738133662146501,0.004292387427134786,0.7179490670837726,0.7448715389418537,0.008034984746375942,0.7488358111866663,0.740260902108892,0.7580141252938871,0.004921492543751709,0.7372870178220697,0.7626579999976705,0.007205963898821973,-0.18672197963383705,-0.21990243031861434,-0.1511770766635091,0.018063611431317867,-0.2362832165974542,-0.14681720153060124,0.024119609382442748,0.2424629476756186,0.228162317737927,0.258097515475097,0.00762068616812145,0.01,0.12640384689339554,0.22350566071768208,0.2611008149152335,0.009866042300145445,0.01,0.13122947096458937
1,0.7439886568832739,0.7324285347927683,0.7540084638511565,0.005310434719062088,0.7324699553750103,0.7544089860685492,0.005914893825372993,0.7653978402148706,0.7548189990567199,0.776352594401871,0.006033940757202553,0.7449865189398699,0.785307049178334,0.010990272609460264,0.7700678894872719,0.7631713951818773,0.7779237523141368,0.003713088830517638,0.7582332900015066,0.7823724912102771,0.00665880248284078,-0.17170049305299323,-0.2991425521553148,0.21957854321539955,0.14567432141877676,-0.3354149401077714,0.19937686168955665,0.12243753190429335,0.20885179007269006,0.19094354970453434,0.23120937894042357,0.009532467696657066,0.015,0.09998963929956728,0.19025569906845202,0.23315598305790974,0.010715124696090272,0.03,0.10963393963628916
2,0.7486125941170066,0.7413478854866058,0.7562309429955518,0.004128565048105991,0.7362602861078533,0.7605161855579903,0.007009378068182419,0.7418914178170123,0.7356724965404896,0.7474893530919204,0.00300963718620048,0.7336290351633737,0.7509312463488864,0.004869449627241594,0.7484988860087867,0.7429934625340416,0.753762758729572,0.0028159924790409074,0.7411210087641362,0.7560158822767877,0.004136985986395964,-0.055320898053750504,-0.09463818307974513,-0.010934836520915488,0.023706547351729595,-0.10599031900858774,0.001388409267139061,0.029146923917238603,0.21034261671927457,0.18684830385194565,0.23065373704182454,0.010457930161887542,0.01,0.11219702570989976,0.18481019116615116,0.2321686535480423,0.011755818903143166,0.02,0.11863366794562653
3,0.7341493184339462,0.7256313869166446,0.7415508173391133,0.0043410796743163895,0.7236852051378394,0.7437517447691087,0.005351363433709648,0.7383283395746193,0.7284868649083334,0.7497475833145777,0.0055150980618835395,0.7223237422338117,0.7570405541300599,0.008885828570232004,0.7315118197252947,0.7224880220788953,0.7402882619299,0.005312890222626172,0.7183243544119765,0.7456297371902407,0.007782843112282592,-0.029551464231723855,-0.06364943935671363,0.03268133437073103,0.02668893576238925,-0.07366607900097627,0.044326317415396894,0.03231704222166123,0.23922752760644794,0.20263219473562827,0.2731823687928704,0.01973404567202613,0.015,0.112479644101986,0.19593719445864316,0.2809779702120171,0.024724700579515396,0.02,0.12752078522500504
4,0.7339773204756963,0.7276426836465847,0.7394110410674174,0.003225419166106283,0.7257707832067701,0.7402941713968002,0.0038911582653822136,0.7142395423731454,0.7068044398424632,0.7215870286984003,0.003619198238121273,0.7037117181450525,0.7241299148680644,0.005208933691351037,0.7297777355719226,0.7250589963333886,0.736420419236124,0.0031552088978467497,0.7227661693843274,0.7383231051719878,0.00422676851647383,0.025176216992928303,-0.011757112739300156,0.07878972860292563,0.02314679940347427,-0.018572555459869168,0.08103493062626144,0.02604601941210716,0.23788405080012343,0.20787493617333436,0.2696262402735848,0.015296583715840603,0.03,0.14059751460771922,0.2034020700059162,0.27296611725765074,0.01740492222390038,0.065,0.15286270560655799
5,0.732816860462624,0.7269240266265412,0.738440809816132,0.0030138105456916442,0.7265857047177966,0.7394827381301188,0.0037397576106539382,0.7202692260341539,0.7149551591118345,0.7258628204492846,0.0028400674840614384,0.7135481962704092,0.7273018309211174,0.003817160096743163,0.7344281028057715,0.7301244372563384,0.7407698984423724,0.0029562085386625374,0.7282834764638905,0.7424645761564064,0.003720186514349517,0.0610202794609175,0.00470785420397931,0.11100977502836187,0.028762224702297577,-0.009498945866163601,0.13251441161433453,0.040039502810909094,0.21522101285898287,0.19759696828793039,0.23595202805551688,0.009918683758593427,0.01,0.1251117301648142,0.19316460681865136,0.239846983116823,0.012727271655841248,0.01,0.13023030147448109
6,0.7305519265102777,0.7221886741798564,0.7385291553275961,0.0042249736229188475,0.7204955264374456,0.7387590564505504,0.004676766510527388,0.7154217267249274,0.7103071130244863,0.720941034803223,0.0029960753222175555,0.7077521496700226,0.7237379536679862,0.0044312043900901705,0.7306614921653428,0.7259746162017934,0.7364811705895332,0.0027848380829884976,0.72450523699564,0.7402564238259216,0.004285797781048206,-0.021709611270812144,-0.07222364635185458,0.03827360657598736,0.032945191030446484,-0.07982707023131494,0.0525817410389416,0.03585235674396892,0.21577268212165368,0.19387570737086576,0.235546290347102,0.010492389696815254,0.01,0.10642456876661359,0.19038924070522098,0.2388944578165316,0.013173491654903407,0.015,0.11676223604740506
7,0.7386789744179958,0.7300044813445796,0.746662426668543,0.0048152909987871405,0.7272088716028092,0.7499687926134895,0.0060138541944781635,0.7586363698731095,0.7467238539976121,0.7709079519956782,0.006609558015576045,0.7389580941421185,0.7765806822834594,0.010000759288027503,0.7529225265577328,0.7437021247032041,0.7623295750015122,0.005280909993315293,0.740087825247627,0.7663685395076218,0.00730759348952586,-0.048563690436374395,-0.06868579405776318,-0.018877312465941674,0.013360069916421104,-0.08205791623175905,-0.001047133912992014,0.022514129816948572,0.19457615244111448,0.1645452850493395,0.222747503362414,0.016315205731774127,0.015,0.10588384881567528,0.16335464222486099,0.22494912690220065,0.017578116070266284,0.035,0.11394296915844106
8,0.7289290799533208,0.7223668813422235,0.7364011021782241,0.00371402067806637,0.7202018029715508,0.7380827341422824,0.004891325866003313,0.7151558227964463,0.7041505981752527,0.7270883417162145,0.006589572572917161,0.6948635320635912,0.734761221457923,0.010872282514704623,0.7186163886685233,0.7122295534525956,0.7253383684772952,0.0036727595820941305,0.7084285982489643,0.7295921106131543,0.005724438848411065,-0.00348163405192038,-0.07074985751303836,0.07341253140776868,0.03876884064254211,-0.0802048593808468,0.08139241109192905,0.04213682538717538,0.2276143405139086,0.20288565835671452,0.24705452085129367,0.012197271936362471,0.02,0.12869257606489504,0.1996706243189994,0.2495950450028573,0.013660758690459733,0.03,0.13714132547481875
9,0.7387390100898283,0.7336911368480525,0.7440717704501261,0.0030017425863631563,0.7298950237595643,0.747956699383125,0.005391093641525579,0.7327474999125004,0.726748235641614,0.7383518274687788,0.003083863224928212,0.726158539462816,0.7388872275819974,0.0035809967126502005,0.7434939945999663,0.739215191132934,0.747536369270062,0.0022273015212129475,0.7387595685313796,0.7487434451929138,0.002750104394640957,0.0042400584220408,-0.027282586226039098,0.04380622323694563,0.018474396870290608,-0.04173542797943281,0.05361910774232611,0.024917848154525263,0.2683527695821528,0.24056812947178047,0.29877742879326674,0.016234443840710967,0.015,0.1452274297765809,0.23349269740742712,0.3071518240262633,0.02199782181587075,0.025,0.15314307446447806
