rep,sig_mf_P_est,sig_mf_P_cr2cv_lo,sig_mf_P_cr2cv_hi,sig_mf_P_cr2cv_se,sig_mf_P6_est,sig_mf_P6_cr2cv_lo,sig_mf_P6_cr2cv_hi,sig_mf_P6_cr2cv_se,q3_est,q3_cr2cv_lo,q3_cr2cv_hi,q3_cr2cv_se
0,0.7308126440025625,0.7183576698725683,0.7449284523179092,0.007482774658847497,0.7488358111866663,0.7374183879339086,0.7670257176791153,0.008439068594301647,-0.18672197963383705,-0.24347895165384198,-0.14241554242171112,0.031005892807373488
1,0.7653978402148706,0.7445828295575306,0.7897863753436912,0.012211263845341727,0.7700678894872719,0.7574997515950341,0.7894999034158225,0.008175595418769893,-0.17170049305299323,-0.35032853237854,0.3045646748482605,0.14884015714289625
2,0.7418914178170123,0.7235971794127769,0.7525676274934183,0.008572387198979396,0.7484988860087867,0.7349524767112852,0.7562461409386223,0.006227041824009139,-0.055320898053750504,-0.10742727905050933,0.014862687358196229,0.03562739375011771
3,0.7383283395746193,0.7278508165811954,0.769745277809634,0.01059348577891398,0.7315118197252947,0.7195602964456415,0.7467374988017352,0.008119538916783204,-0.029551464231723855,-0.07748853380016063,0.06871286709062122,0.041361432395869785
4,0.7142395423731454,0.6837833754076912,0.7433946209422697,0.016691299406774246,0.7297777355719226,0.7169135771131362,0.7471490210975584,0.00812406031967133,0.025176216992928303,-0.02011016606500949,0.11093415783694738,0.033668097947639586
5,0.7202692260341539,0.714108827510857,0.7318227698313033,0.004867998780112994,0.7344281028057715,0.7294822549276593,0.7460897961431567,0.004405281752259519,0.0610202794609175,-0.04400344603776648,0.1449768303432865,0.05426856107893235
6,0.7154217267249274,0.6949841109944153,0.7356216704428413,0.010435028043190075,0.7306614921653428,0.7219417791694612,0.7442344988803778,0.005493397510320866,-0.021709611270812144,-0.08724089983820886,0.06927662928165627,0.04689498147748387
7,0.7586363698731095,0.7381629029340671,0.7833920002224513,0.011421997689455388,0.7529225265577328,0.7401768428189855,0.7691435337257334,0.007842245943798249,-0.048563690436374395,-0.12200264146017484,-0.007990914704254719,0.030042709300541003
8,0.7151558227964463,0.6987294657388315,0.7343837425104762,0.010033265680480373,0.7186163886685233,0.7089236066843841,0.7293303859390879,0.005597682762344998,-0.00348163405192038,-0.08047021657262148,0.09045793168759356,0.04668363657647853
9,0.7327474999125004,0.7247339901598261,0.7402590035865526,0.003658067992829248,0.7434939945999663,0.7386648003231008,0.7491076760931016,0.00261419784417151,0.0042400584220408,-0.041109630519042935,0.09918753897208514,0.03779430519804491
10,0.7562631241489698,0.7332870176836633,0.7856251489417441,0.01469932737634374,0.7489082525119753,0.7334032951447993,0.767943419811825,0.009673695301788328,-0.046322100556204,-0.1016038192885036,0.02984350370660064,0.034356022100906124
11,0.7226808360229526,0.7018227430778888,0.7461709862036288,0.01075738603379598,0.7427503641450759,0.7282996339100455,0.7537857898284468,0.007174013660648115,-0.20180261233820282,-0.23809077773793316,-0.15842489627090453,0.023083881234544506
