rep,sig_chin|web|P,sig_kappa|web|P,sig_mf_P|web|P,n_levels_P|web|P,sig_mf_P6|web|P,n_levels_P6|web|P,q3_slope|web|P,q3_mean|web|P,q3_n|web|P,q3_slope_mainonly|web|P,sig_chin|edu|P,sig_kappa|edu|P,sig_mf_P|edu|P,n_levels_P|edu|P,sig_mf_P6|edu|P,n_levels_P6|edu|P,q3_slope|edu|P,q3_mean|edu|P,q3_n|edu|P,q3_slope_mainonly|edu|P,ce_chi|val1|P,ce_alpha|val1|P,ce_beta|val1|P,ce_chi|val2|P,ce_alpha|val2|P,ce_beta|val2|P,sig_chin|web|T,sig_kappa|web|T,sig_mf_T|web|T,n_levels_T|web|T,q3_slope|web|T,q3_mean|web|T,q3_n|web|T,q3_slope_mainonly|web|T,sig_chin|edu|T,sig_kappa|edu|T,sig_mf_T|edu|T,n_levels_T|edu|T,q3_slope|edu|T,q3_mean|edu|T,q3_n|edu|T,q3_slope_mainonly|edu|T,ce_chi|val1|T,ce_alpha|val1|T,ce_beta|val1|T,ce_chi|val2|T,ce_alpha|val2|T,ce_beta|val2|T,secs,cell,chi_true
0,0.737714968643771,0.7379026228722286,0.7360279080295571,9,0.7410877859209807,10,-0.03691684967836548,-0.030154332793761354,15,0.013801497326619285,0.7359172958059225,0.73719102177958,0.7528224967208543,8,0.7522078856426456,9,-0.043814646633394586,0.030463763807415816,17,0.028984420286982955,0.23292900322526844,0.3497638848492203,0.3653785444362866,0.23471684988081165,0.3435390858067013,0.3659457899685945,0.6569359334436055,0.658605876284863,0.6835403404767644,9,0.10558739071487148,0.13882795263256723,10,-0.02512014073277377,0.6528636442776068,0.6567917998436623,0.7077573775532615,9,0.09354459075633002,0.12788106408432395,12,0.03406415267243933,0.23224179683295,0.6776968543843189,0.3710023108586984,0.23350512700859927,0.6829170079605341,0.3722896176603204,6.916778087615967,chin_s002_r5,0.22
1,0.7368607142136919,0.7372640830687709,0.7393079696827144,8,0.7420436612328956,10,0.022698065216895255,0.04489600783264623,15,-0.00903907272961062,0.7352641664935755,0.7354338212440715,0.7502859980636453,8,0.7487144422230971,9,0.01392563443770859,0.03563806034764562,17,-0.04300215668716098,0.22528224891868387,0.3508493176885509,0.36824999406425235,0.22469757515038769,0.35133195495636177,0.3645951042749786,0.6556530402286701,0.6567752307471983,0.690214093845536,9,0.14115039574696345,0.1842859191637752,10,-0.08048889621638586,0.6537427774418343,0.6601841467208843,0.6997827327233961,9,0.12115026548881185,0.15259304426877265,12,-0.1644990835752085,0.23592531731561373,0.6824188059420923,0.3704865428019823,0.23580865947060836,0.6864874313009206,0.36240741095336587,6.999611854553223,chin_s002_r5,0.22
2,0.7343911695971085,0.7339821130582799,0.7377761194239217,9,0.7406076391624558,10,0.021073568656379906,0.049524533215262095,15,0.014366619102498066,0.7382733680055394,0.7388651465090487,0.7366452992299245,8,0.7415798889894021,9,-0.04252012132493109,0.003508660725924236,17,0.006105110921513503,0.21356561845254873,0.3462241611126833,0.36896837403284105,0.2180513239567894,0.3467722929308989,0.3642999828204062,0.6559281520058867,0.66085880101669,0.6855438884937747,9,0.12359154234838005,0.15278721738829001,10,-0.056064924464070236,0.6583791187525861,0.6576514090506496,0.6995420879247443,9,0.0964953986586864,0.13446223948091565,12,-0.04930781184561234,0.21784828798714173,0.6776018075628465,0.3670982950307589,0.21340985322792072,0.6747438419250688,0.36469039881499526,6.885594844818115,chin_s002_r5,0.22
3,0.7360054933109693,0.7353755454160589,0.732426086081154,8,0.7389651775620851,10,-0.030053292278947694,-0.043355259933562665,15,-0.014290726688619585,0.7385844693319615,0.7385436100458413,0.7423994468011437,8,0.7434303068735002,9,-0.02830949922701148,-0.00434012801547284,17,-0.01063927037643409,0.21950114906723783,0.3465640144255384,0.3649684632737435,0.2222552951962511,0.3478830632858844,0.36693887045225215,0.6582174675574486,0.6556332720372158,0.689837227552954,9,0.09994941028470061,0.07906333394528116,10,-0.06691257468615859,0.6568307442195501,0.6583701496566216,0.7000805668693885,9,0.10905693020983971,0.1399660146565078,12,-0.08750318467840872,0.21857785699040733,0.6764600881868723,0.3664315368695137,0.21825133706157196,0.6804177216945378,0.3728306479454913,6.829266786575317,chin_s002_r5,0.22
4,0.7336215589316047,0.7343006296752072,0.7448727916281588,9,0.7422833082288771,10,-0.015705754237492126,-0.03620237721359873,15,-0.04639895968021115,0.7375369527254735,0.7370097395310093,0.7281546912679681,8,0.7378313531053723,9,-0.016582400478317213,0.018214920262690663,17,-0.04666002876202965,0.2160717683975868,0.34831786061419556,0.3681769051420176,0.2221564120831978,0.34983424811920966,0.3737625972492578,0.6541571366815737,0.6566287734350108,0.6912631508458773,9,0.1208353128135116,0.14113187038940248,10,-0.1500308817456911,0.6556903340648044,0.6623544778668108,0.6809065286889552,9,0.10982125161884157,0.1642154396953341,12,-0.1751174048732673,0.20919723880980623,0.6757948449407933,0.3806236229133712,0.21753762906751373,0.6665442198471007,0.37781261172299985,6.990923881530762,chin_s002_r5,0.22
5,0.7353491583961718,0.7357388585876238,0.7368185066864466,9,0.7419218612324141,10,-0.04811496225318246,-0.02616069092513152,15,-0.048080398259603835,0.7400798651974968,0.7409353688212312,0.7504318379159152,8,0.7476088308335913,9,-0.03174991990496595,0.004731802765888889,17,-0.01964540094948148,0.2222144231525789,0.34842345190080626,0.36056576787364714,0.22271100675662225,0.346793327966913,0.36951154078428794,0.6565475898071904,0.6596244343461523,0.6853393388157281,9,0.08996193686860036,0.10997173774387448,10,-0.1636960401833734,0.6554295515061076,0.6595913401189083,0.7040141393174649,9,0.11067547117398042,0.16931981639738922,12,-0.10688083434746902,0.21507629635039915,0.6786368279327433,0.374420981053452,0.22650143069404738,0.6701015185700343,0.378164680487413,6.9447901248931885,chin_s002_r5,0.22
6,0.7361238555265809,0.7358762588110496,0.737462836500753,9,0.7391400456755433,10,-0.011163421733242923,-0.0015395594468693282,15,0.0053445582704482065,0.7332275039103677,0.7338052899110807,0.7504019019380492,8,0.7486101403857438,9,0.010700339148027562,0.04054410368800828,17,-0.021217450060874502,0.22836866275572998,0.35397667445582043,0.3659808689438482,0.22304817560925727,0.35336941980041825,0.364800389695974,0.6552837774505756,0.6560476351001548,0.6852807113099042,9,0.11488494657287467,0.12447587063424317,10,-0.07822198192855326,0.6505262438891536,0.6513435037475528,0.7082600327436546,9,0.13327216446507326,0.18116916231492916,12,-0.0963136763163043,0.2259928819790895,0.6859470032687863,0.3705456804772757,0.2249314370180704,0.6942429093295024,0.37194554597543955,7.019662857055664,chin_s002_r5,0.22
7,0.7370815705658449,0.7375362714298762,0.7322733482801517,9,0.7378136639452832,10,-0.023446498044639413,0.021521622369728936,15,-0.0027979003819521473,0.7327089145401939,0.7335396924893538,0.7270200872347466,8,0.7358531438845244,9,-0.010998230387149439,0.06104281000053396,17,-0.024455705321030977,0.2275341543977456,0.34798588850776463,0.3732525187573903,0.22493723304559232,0.3504613435815508,0.3718755153509433,0.657785771382226,0.6608122668159502,0.6822578052533346,9,0.08702635153916384,0.1109293392614091,10,-0.07051660238468598,0.6508053950094355,0.6550556390603743,0.6982572308732845,9,0.11108546567342009,0.1497367360101228,12,-0.12190081898778642,0.24158124872857556,0.6780755972957281,0.37611236997151065,0.23296574502792744,0.6775155418033328,0.3764215606973411,7.037304162979126,chin_s002_r5,0.22
8,0.7385592617669785,0.7384187088555333,0.7378213780489934,9,0.7428012568391896,10,0.034371162616462426,0.021355315418050306,15,-0.024865681504444126,0.732057414622783,0.7337302770574226,0.7460260208355021,8,0.7472490132457446,9,-0.01245450341847862,0.04951544597663106,17,-0.06471670426682964,0.22018514117977794,0.34754568729835245,0.3698177862040607,0.21999175531159754,0.3437812691383525,0.3681556748652248,0.6562797291016579,0.6586009256505607,0.6896998466335843,9,0.10763594176601654,0.12881023260687813,10,-0.1228937358576495,0.6486871147486306,0.6578715447103949,0.7083042991711503,9,0.11117551664189333,0.14938995556979007,12,-0.18551992765265923,0.2207528492332944,0.683351742848717,0.3699717368908069,0.21826963995570026,0.6799668309303611,0.36778518669906596,6.9615559577941895,chin_s002_r5,0.22
9,0.7338457331186845,0.7348503320552575,0.7407075917789274,9,0.7388579858212642,10,-0.039876735395929334,0.005508271549972843,15,0.03288579551678705,0.7354393433689457,0.7353983885196067,0.738889825767599,8,0.7398506291635786,9,-0.006130263154165698,0.024792565128555936,17,0.03271388285372475,0.22993202240263155,0.35191981639136627,0.3698088979528583,0.23213985939352622,0.3507088227697748,0.3704953039486871,0.6502216539748544,0.6582219759091428,0.6863283189162631,10,0.11241522781999798,0.16471930513261976,10,-0.01177769720393583,0.6549014760593506,0.6573453208028774,0.7026050542099729,9,0.12010015606418935,0.16415316558703005,12,0.0492186686062432,0.2247201227192015,0.68771162000694,0.37908737823426414,0.22938278801034606,0.6882229230056462,0.3698615579043685,6.8991570472717285,chin_s002_r5,0.22
