uid,model,dev,year,serve,deploy,ondevice,local,lnw,s,lnC
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,2023,0,server/unspecified,0,0,1.112969671594369,0.6714182690657119,52.74701873207234
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,2023,0,server/unspecified,0,0,0.8335954492683672,0.5655156916805294,53.40536274511498
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,2023,0,server/unspecified,0,0,0.1259347889361014,0.11832766029990965,55.0729616922072
B:huggyllama/llama-7b,llama-7b,Meta,2023,0,server/unspecified,0,0,0.8145512701347465,0.5571620025816658,52.0538715515124
B:huggyllama/llama-13b,llama-13b,Meta,2023,0,server/unspecified,0,0,0.5351770478087445,0.4144343921410437,52.71221556455504
B:huggyllama/llama-30b,llama-30b,Meta,2023,0,server/unspecified,0,0,0.29134092787553634,0.2527391274763298,53.96464904258396
B:huggyllama/llama-65b,llama-65b,Meta,2023,0,server/unspecified,0,0,-0.004285439668020563,-0.004294635295671469,54.66129115777072
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,2024,1,server/unspecified,0,0,0.9838113207728797,0.6261166096800928,57.110470837274974
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,2024,1,server/unspecified,0,0,1.9060101673999625,0.8513276172532214,54.93731368463219
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,2024,1,server/unspecified,0,0,0.25823079937928733,0.22758306181722765,58.899309319413796
B:Qwen/Qwen-72B,Qwen-72B,Alibaba,2023,1,server/unspecified,0,0,0.28060061606353764,0.24467005810665807,55.525315746142425
B:Qwen/Qwen-14B,Qwen-14B,Alibaba,2023,1,server/unspecified,0,0,0.9721875071047384,0.6217453024050509,53.895594559180324
B:Qwen/Qwen-7B,Qwen-7B,Alibaba,2023,1,server/unspecified,0,0,1.1336829174059417,0.6781542602752874,53.065501081833624
B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,2024,1,server/unspecified,0,0,0.6429365936074323,0.47425374816780014,56.37838328421678
B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,2024,1,server/unspecified,0,0,1.6003863574634565,0.7981814711651006,54.12215751443846
B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,2024,1,server/unspecified,0,0,2.277667409079026,0.8974769275928524,52.52614796937016
B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,2024,1,server/unspecified,0,0,2.9932110789451993,0.9498737812253717,51.925799639880736
B:01-ai/Yi-6B,Yi-6B,01.AI,2023,0,server/unspecified,0,0,1.3324917360983584,0.7361809258844253,53.04653937414217
B:01-ai/Yi-34B,Yi-34B,01.AI,2023,0,server/unspecified,0,0,0.595866565643437,0.4489151922676671,54.782393050218346
B:google/gemma-7b,gemma-7b,Google,2024,1,local,0,1,1.4855210231819154,0.7736156415553738,54.08229530440761
B:google/gemma-2b,gemma-2b,Google,2024,1,local,0,1,1.7072533775212193,0.8186367544863087,52.163415366155235
B:google/gemma-2-27b,gemma-2-27b,Google,2024,1,local,0,1,1.3262604258287496,0.7345318547777187,56.01520962053466
B:tiiuae/falcon-180B,falcon-180B,TII,2023,0,server/unspecified,0,0,-0.03904897961706232,-0.03982141245750628,56.589110301600684
B:tiiuae/falcon-40b,falcon-40b,TII,2023,0,server/unspecified,0,0,0.039700813320060084,0.03892306243955293,53.87980293129463
B:tiiuae/falcon-7b,falcon-7b,TII,2023,0,server/unspecified,0,0,0.9599866214222211,0.6171019914283655,52.52797717742939
B:microsoft/phi-2,phi-2,Microsoft,2023,1,server/unspecified,0,0,1.335176363017741,0.7368882318215538,51.50485585334071
B:microsoft/phi-1_5,phi-1_5,Microsoft,2023,1,server/unspecified,0,0,0.6591058741024227,0.4826863286820712,48.59836476388898
B:mosaicml/mpt-30b,mpt-30b,MosaicML,2023,1,server/unspecified,0,0,0.18082527984564403,0.1654188358923379,53.54724380376517
B:mosaicml/mpt-7b,mpt-7b,MosaicML,2023,1,server/unspecified,0,0,0.7983895483979921,0.5499468303402214,52.09195657115833
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,2024,1,server/unspecified,0,0,0.13827322705038197,0.1291392834682256,55.04388622205393
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,2024,1,server/unspecified,0,0,1.0968079498576149,0.666064677463582,52.785103751718275
