uid,n_repos_found,hf_adapter,hf_merge,hf_quantized,hf_finetune,hf_total
B:meta-llama/Llama-2-7b-hf,2,3660.0,16.0,181.0,1792.0,5649.0
B:meta-llama/Llama-2-13b-hf,2,315.0,7.0,52.0,119.0,493.0
B:meta-llama/Llama-2-70b-hf,2,37.0,7.0,31.0,42.0,117.0
B:huggyllama/llama-7b,1,538.0,0.0,23.0,19.0,580.0
B:huggyllama/llama-13b,1,10.0,0.0,2.0,0.0,12.0
B:huggyllama/llama-30b,1,2.0,0.0,0.0,1.0,3.0
B:huggyllama/llama-65b,1,0.0,0.0,0.0,0.0,0.0
B:meta-llama/Meta-Llama-3-70B,5,615.0,118.0,443.0,946.0,2122.0
B:meta-llama/Meta-Llama-3-8B,4,6220.0,677.0,1805.0,6464.0,15166.0
B:meta-llama/Llama-3.1-405B,4,20.0,0.0,48.0,44.0,112.0
B:meta-llama/Llama-3.1-70B,3,553.0,109.0,373.0,846.0,1881.0
B:meta-llama/Llama-3.1-8B,2,4273.0,175.0,1245.0,4670.0,10363.0
B:Qwen/Qwen1.5-72B,2,0.0,1.0,4.0,6.0,11.0
B:Qwen/Qwen1.5-32B,2,3.0,0.0,13.0,8.0,24.0
B:Qwen/Qwen1.5-14B,2,157.0,0.0,14.0,7.0,178.0
B:Qwen/Qwen1.5-7B,2,6347.0,4.0,36.0,70.0,6457.0
B:Qwen/Qwen1.5-4B,2,238.0,5.0,23.0,11.0,277.0
B:Qwen/Qwen1.5-1.8B,2,30920.0,2.0,26.0,43.0,30991.0
B:Qwen/Qwen1.5-0.5B,2,32755.0,2.0,64.0,51.0,32872.0
B:Qwen/Qwen-72B,4,0.0,1.0,8.0,7.0,16.0
B:Qwen/Qwen-14B,2,8.0,0.0,10.0,3.0,21.0
B:Qwen/Qwen-7B,2,16.0,0.0,12.0,4.0,32.0
B:Qwen/Qwen2-72B,2,2.0,5.0,33.0,32.0,72.0
B:Qwen/Qwen2-7B,2,581.0,12.0,128.0,208.0,929.0
B:Qwen/Qwen2-1.5B,2,2381.0,2.0,93.0,208.0,2684.0
B:Qwen/Qwen2-0.5B,2,1068.0,10.0,134.0,743.0,1955.0
B:deepseek-ai/DeepSeek-V2,2,0.0,0.0,3.0,2.0,5.0
B:01-ai/Yi-6B,4,49.0,4.0,50.0,24.0,127.0
B:01-ai/Yi-34B,4,3.0,5.0,52.0,25.0,85.0
B:01-ai/Yi-1.5-34B,2,0.0,2.0,35.0,13.0,50.0
B:01-ai/Yi-1.5-9B,2,312.0,1.0,31.0,19.0,363.0
B:01-ai/Yi-1.5-6B,2,11.0,4.0,36.0,7.0,58.0
B:google/gemma-7b,3,9295.0,1.0,45.0,396.0,9737.0
B:google/gemma-2b,3,24401.0,41.0,82.0,433.0,24957.0
B:google/gemma-2-27b,2,41.0,2.0,74.0,68.0,185.0
B:google/gemma-2-9b,2,551.0,25.0,237.0,850.0,1663.0
B:google/gemma-2-2b,2,757.0,29.0,264.0,1665.0,2715.0
B:tiiuae/falcon-180B,2,2.0,0.0,7.0,5.0,14.0
B:tiiuae/falcon-40b,2,15.0,0.0,6.0,7.0,28.0
B:tiiuae/falcon-7b,2,370.0,0.0,29.0,77.0,476.0
B:tiiuae/falcon-rw-1b,1,225.0,0.0,1.0,13.0,239.0
B:microsoft/phi-2,1,992.0,8.0,63.0,412.0,1475.0
B:microsoft/phi-1_5,1,434.0,0.0,36.0,236.0,706.0
B:bigscience/bloom-560m,1,129.0,0.0,14.0,36.0,179.0
