budget,lnC,lnNstar,Lstar,Lnn,n,design,ratio,slope
6e+18,43.238291143120875,19.239765379784547,0.900256440593454,0.03462854956352202,16,meta,0.4142532213894005,-0.04179635519475053
1e+19,43.74911676688687,19.59799685339452,0.8780457701334269,0.03400385948538971,17,meta,0.42650387822850283,-0.03986348216413155
3e+19,44.84772905555498,20.310070279680865,0.8357120397927957,0.03397773827141621,16,meta,0.47579166867230216,-0.035706529252846286
6e+19,45.540876236114926,20.5806399111114,0.81263000809528,0.03479807807719085,16,meta,0.525908374046116,-0.03308378397692091
1e+20,46.051701859880914,20.807442375054816,0.7968199056900503,0.032038613266341685,18,meta,0.5142484167087429,-0.031150910946301985
3e+20,47.15031414854902,21.40414680277978,0.7640781324092659,0.03263247513013091,14,meta,0.6044403545378537,-0.026993958035016724
6e+20,47.84346132910897,21.61571335045476,0.7481307441459744,0.03274385909998445,12,meta,0.6717732807073747,-0.02437121275909135
1e+21,48.35428695287496,21.83920841010831,0.7360427550431988,0.027640674726108143,12,meta,0.615925132175319,-0.022438339728472395
3e+21,49.45289924154307,22.351220636214272,0.7117382193334567,0.019106927374948204,6,meta,0.5225787180703646,-0.018281386817187106
1e+22,50.65687204586901,22.668579115366672,0.693115775647192,0.024154119233388352,6,meta,0.8798822162365453,-0.013725768510642805
3e+18,42.545143962560935,19.625383695050996,3.9160480468898244,0.20498501039467237,5,marin_comma,0.5359408883339974,-0.1912384507850109
9e+18,43.64375625122904,19.95284887610913,3.699418934199973,0.22419798734415458,10,marin_comma,0.616179490421966,-0.1819258761685021
1.8e+19,44.33690343178899,20.20926252540145,3.573514598584741,0.19548693429086333,15,marin_comma,0.5552019479612309,-0.17605029576059228
3e+19,44.84772905555498,20.478813596391053,3.4908891205377204,0.18021939642260854,10,marin_comma,0.5247472385550529,-0.17172019515420578
9e+19,45.946341344223086,20.975869171456747,3.3244543606183683,0.15278583077874705,15,marin_comma,0.4703776530710376,-0.16240762053769692
1.8e+20,46.63948852478303,21.236483389117492,3.2019967072369857,0.15862782552264593,15,marin_comma,0.5066944294315754,-0.15653204012978716
3e+20,47.15031414854902,21.410732459524223,3.110221354497745,0.16911549845921975,15,marin_comma,0.5555628889775702,-0.1522019395234006
3e+18,42.545143962560935,19.674358926396163,3.7588149226470384,0.23044250676556477,5,marin_dclm,0.5586066379973521,-0.2062654568443001
9e+18,43.64375625122904,20.023343712527776,3.5344115304667043,0.24779440604364358,10,marin_dclm,0.6462291742024545,-0.19172332040677342
1.8e+19,44.33690343178899,20.307330265850293,3.4059864335384473,0.21260470213226712,15,marin_dclm,0.5823246666316446,-0.18254825384784223
3e+19,44.84772905555498,20.56865492653821,3.3162869937436463,0.20067197559942967,10,marin_dclm,0.5707830911154422,-0.17578654546972494
9e+19,45.946341344223086,21.07380549344636,3.1407966663518136,0.1691457530784785,15,marin_dclm,0.5245011411363182,-0.16124440903219828
1.8e+20,46.63948852478303,21.405103040415682,3.0171519633094195,0.20138630339560687,15,marin_dclm,0.6621528709214007,-0.15206934247326698
3e+20,47.15031414854902,21.524457146142236,2.9470446386221987,0.17259123861918912,15,marin_dclm,0.5938822130507388,-0.1453076340951498
3e+18,42.545143962560935,19.655931046923577,3.735435363529442,0.2083320746174237,5,marin_nemotron,0.49494348396769916,-0.2104604680794422
9e+18,43.64375625122904,19.983368556256906,3.5039955219844665,0.25062923533718534,10,marin_nemotron,0.6397822012819706,-0.19587074697841256
1.8e+19,44.33690343178899,20.28169346060931,3.3757758097988217,0.20445415330271616,15,marin_nemotron,0.5476480132155616,-0.18666565783946365
3e+19,44.84772905555498,20.559177234217227,3.2812114938227888,0.1994096713106151,10,marin_nemotron,0.5542796571647145,-0.17988182385282525
9e+19,45.946341344223086,21.06274635871516,3.0997005417803956,0.16940689067365808,15,marin_nemotron,0.5124470191054474,-0.16529210275179573
1.8e+20,46.63948852478303,21.336792602459386,2.9846295463458876,0.16916901498570586,15,marin_nemotron,0.5419061172036622,-0.15608701361284671
3e+20,47.15031414854902,21.51598778356265,2.8990333392073415,0.17362417918124767,15,marin_nemotron,0.5814483643815512,-0.14930317962620843
6e+18,43.238291143120875,18.946600899060556,3.04267784271511,0.19479900557205035,9,chin_iso,0.5230954804428496,-0.18619832597973762
1e+19,43.74911676688687,19.62579631594952,2.843946279833861,0.48747299725718996,24,chin_iso,1.3806897689558495,-0.17653241452851598
3e+19,44.84772905555498,20.01190006664777,2.7329232361072733,0.11419735698442406,16,chin_iso,0.3666180370191316,-0.15574432441040098
6e+19,45.540876236114926,20.42138552396679,2.628206124631771,0.09942496952711198,12,chin_iso,0.34854524040483353,-0.1426284998349574
3e+20,47.15031414854902,21.247580846277884,2.417170217091695,0.10249056808069977,14,chin_iso,0.4568354201059573,-0.11217449826562087
6e+20,47.84346132910897,21.527395200255445,2.3458644700946376,0.11816160887083667,13,chin_iso,0.5964223246134257,-0.09905867369017729
1e+21,48.35428695287496,21.79294782424952,2.2933520352781933,0.11529578868966252,14,chin_iso,0.6448832422331093,-0.08939276223895576
3e+21,49.45289924154307,22.069412953581125,2.2033983052453507,0.08651747598000734,8,chin_iso,0.6305509034983432,-0.06860467212084065
