set,uid,model,dev,M,C,dlo,dhi,sign,w_lo,w_hi,s_lo,s_hi
"PI-1 IsoFLOP anchors, e from A2/published paths",B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,296.80558548411165,8.0861011968e+22,1.4669674538374702,4.485591346531332,w>1,1.8070208189199644,10.133348043512832,0.4466029447310471,0.9013159327296392
"PI-1 IsoFLOP anchors, e from A2/published paths",B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,153.6586090222828,1.5619040256e+23,0.70133979541062,3.9299489995233463,w>1,1.3269392695506366,7.606197828077677,0.24638600805095884,0.8685282683144817
"PI-1 IsoFLOP anchors, e from A2/published paths",B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,28.99531803831451,8.27719839744e+23,-1.2466668463676496,2.5224954881775106,ambiguous,0.5253807058400654,3.6778192136643297,-0.9033816599736662,0.7280997401164622
"PI-1 IsoFLOP anchors, e from A2/published paths",B:huggyllama/llama-7b,llama-7b,Meta,148.40279274205582,4.0430505984e+22,0.9056160285234487,3.684313205804035,w>1,1.4408983503426396,6.7002576890291365,0.3059885176756541,0.8507520088910342
"PI-1 IsoFLOP anchors, e from A2/published paths",B:huggyllama/llama-13b,llama-13b,Meta,76.8293045111414,7.809520128e+22,0.13998837009659848,3.12867085879605,w>1,1.0580866498500836,5.029284029623357,0.05489781943502802,0.8011645406960859
"PI-1 IsoFLOP anchors, e from A2/published paths",B:huggyllama/llama-30b,llama-30b,Meta,43.03858899503889,2.732431586304e+23,-0.6599930283634832,2.7445614765820645,ambiguous,0.7112418368631895,4.124598692209942,-0.4059915322337181,0.7575521706175481
"PI-1 IsoFLOP anchors, e from A2/published paths",B:huggyllama/llama-65b,llama-65b,Meta,21.444217241505925,5.483995926528e+23,-1.4744780969297353,2.1565955313644367,ambiguous,0.4670835825991977,3.044730134260509,-1.1409444417533627,0.6715636670890454
"PI-1 IsoFLOP anchors, e from A2/published paths",B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,212.60399694026583,6.34983358464e+24,0.38512041525360363,4.832643810824838,w>1,1.1680463876609202,12.121840715104344,0.14386961805296336,0.9175042781453187
"PI-1 IsoFLOP anchors, e from A2/published paths",B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,1867.9342473118008,7.2272351232e+23,3.021947633377037,6.666788447655355,w>1,3.3833207284109226,31.247688321764958,0.7044323963724007,0.9679976326663668
"PI-1 IsoFLOP anchors, e from A2/published paths",B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,38.437525546170825,3.798787719168e+25,-1.6482267181322983,3.401305558206241,ambiguous,0.42700890503250455,5.789431644194499,-1.341871535264302,0.8272714730119016
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen-72B,Qwen-72B,Alibaba,41.50070986532617,1.301182562304e+24,-0.9397725448941276,2.9516388828725093,ambiguous,0.615581453398395,4.58999596168273,-0.6244803908229756,0.7821348845733207
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen-14B,Qwen-14B,Alibaba,211.7553754920856,2.5501123584e+23,1.0361914432554764,4.327123564668523,w>1,1.5188180405991298,9.337304825307758,0.34159328288889107,0.8929027145724526
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen-7B,Qwen-7B,Alibaba,310.8274993912754,1.111870734336e+23,1.6145605325791106,4.581435356920723,w>1,1.9178581353341864,10.64738524487258,0.4785849998098268,0.9060802274923258
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,96.27789168981808,3.053660553216e+24,-0.26018541977042364,3.9262456015121634,ambiguous,0.8743022428507086,7.591668678693253,-0.14376922646274734,0.868276654010653
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,919.1639296661056,3.19855893504e+23,2.513854789836233,5.8305001512050625,w>1,2.756401403746922,20.291143063700304,0.6372081371600496,0.9507174141515495
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,4534.517806735306,6.4836000768e+22,4.282366410296248,7.177532207242711,w>1,5.625044635027961,40.67580333404098,0.8222236328983318,0.975415359549565
"PI-1 IsoFLOP anchors, e from A2/published paths",B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,24289.886779332013,3.5570359296e+22,6.070484107473779,8.762219198797156,w>1,11.570278322004624,92.18333564752984,0.9135716555669904,0.98915205234248
