uid,tech,N_used,M_used,C_used,lnMstar,lnw,w,w_lo,w_hi,sd_lnw,s,s_lo,s_hi,M_extrap,C_extrap,Mstar
B:meta-llama/Llama-2-7b-hf,chin,6738417664.0,296.80558548411165,8.0861011968e+22,2.9405538160264877,0.983315535272002,2.6733050016617095,2.154175488191941,3.6682057296010764,0.13197043799104255,0.6259311977576796,0.5357852665757851,0.7273871549977783,0.0,True,18.92632511249327
B:meta-llama/Llama-2-13b-hf,chin,13015866880.0,153.6586090222828,1.5619040256e+23,2.922252488898147,0.7546657478782297,2.126900483529219,1.6932259134439944,2.90298300601002,0.13760965869531072,0.5298322569654622,0.4094113537596315,0.6555267468222484,0.0,True,18.583098575766524
B:meta-llama/Llama-2-70b-hf,chin,68976653312.0,28.99531803831451,8.27719839744e+23,2.8758948502700354,0.17549112616564422,1.1918314124898022,0.9320669533498651,1.668174640132153,0.1540545913917277,0.16095515731462026,-0.07288429914394273,0.4005423797110476,0.0,True,17.741292821019353
B:huggyllama/llama-7b,chin,6738417664.0,148.40279274205582,4.0430505984e+22,2.9598226375668952,0.7288109983074484,2.0726147995349407,1.7008293197222655,2.723058516345972,0.11845376311422376,0.5175176785264763,0.41205152780215853,0.6327658792504086,0.0,True,19.294549323792594
B:huggyllama/llama-13b,chin,13015866880.0,76.8293045111414,7.809520128e+22,2.9415213104385547,0.5001612109136762,1.6489870839880008,1.3405021097207062,2.1914852202159083,0.12447145419488105,0.3935671117680648,0.25401087193488253,0.5436884580487937,0.0,True,18.944645087088066
B:huggyllama/llama-30b,chin,32528947456.0,43.03858899503889,2.732431586304e+23,2.906704870501691,0.30558158537794355,1.3574142257492832,1.0816565172905748,1.850770138350878,0.13976978057179515,0.2633052011459457,0.07549209567480346,0.45968438798615674,0.0,True,18.296410087136824
B:huggyllama/llama-65b,chin,65285665792.0,21.444217241505925,5.483995926528e+23,2.8873388931572803,0.0636304650345938,1.0656985131255488,0.8422260642391607,1.4552664647959532,0.14715209638126323,0.061648310771180444,-0.18732967603343775,0.312840621157162,0.0,True,17.945491135488904
B:meta-llama/Meta-Llama-3-70B,chin,70553706496.0,212.60399694026586,6.34983358464e+24,2.8192540657377454,0.9074566268281448,2.478012002522387,1.8143763971721405,3.8102459045344363,0.1915773779157762,0.5964507036357803,0.4488464457768604,0.7375497474297037,0.0,True,16.764340910720676
B:meta-llama/Meta-Llama-3-8B,chin,8030261248.0,1867.9342473118006,7.2272351232e+23,2.8796657337469953,1.662216920961555,5.270983254526004,3.965813096813232,8.120361343871785,0.17359486435102373,0.8102820760924756,0.7478448994977701,0.8768527707508148,1.0,True,17.808319464384923
B:meta-llama/Llama-3.1-405B,chin,405853388800.0,38.437525546170825,3.798787719168e+25,2.7695260852400074,0.31419677187919426,1.369159122056123,0.985897655787886,2.2160387727484405,0.20966171323875812,0.2696247033009147,-0.014304065061240063,0.5487443575909321,0.0,True,15.951072769420694
B:meta-llama/Llama-3.1-70B,chin,70553706496.0,212.60399694026586,6.34983358464e+24,2.8192540657377454,0.9074566268281448,2.478012002522387,1.8143763971721405,3.8102459045344363,0.1915773779157762,0.5964507036357803,0.4488464457768604,0.7375497474297037,0.0,True,16.764340910720676
B:meta-llama/Llama-3.1-8B,chin,8030261248.0,1867.9342473118006,7.2272351232e+23,2.8796657337469953,1.662216920961555,5.270983254526004,3.965813096813232,8.120361343871785,0.17359486435102373,0.8102820760924756,0.7478448994977701,0.8768527707508148,1.0,True,17.808319464384923
B:Qwen/Qwen1.5-72B,chin,72287920128.0,41.50070986532617,1.301182562304e+24,2.8633198448702926,0.3080817134011635,1.3608121809858011,1.0505875692871969,1.9588203929881423,0.16183445740942173,0.26514473196765564,0.04815169222068709,0.4894886720703783,0.0,True,17.519592828754543
