model,family,lab,org,date,open_weights,arch,moe,N_total,N_active,N,D,D_src,M,C6,confidence,code,distilled,synthetic,continued,mm,sample,in_A,in_B,uid,core,hf,N_nonemb,N_emb,tied,D_card_verified,base_released,dl30_total,dlall_total,dl30,dl_all,likes,epoch_model,note,D_flag,accessibility,org_cat,country,notable,frontier,C_epoch,C_method,C_D_ratio,D_C_mismatch,year,Cmp,prod,dev,size_class,n_layer,d_model,vocab,n_heads,n_kv_heads,tied_cfg,emb_filled,emb_share,N_head,drop_step,drop_reason,drop_source,deploy,deploy_source,serve,serve_source,f_dup,f_suite,f_repl,f_moe,f_distilled,f_multimodal,f_instruct_only,f_nontransformer,f_D_undoc,f_m3_distilled,f_synthetic,clean,clean_ag,ondevice,local,gen,fam_class,d_audit,w_ref,w_ref_lo,w_ref_hi,Mstar_ref,s_ref,tier,tier_alt,w_primary,serve_model,serve_model_hi,serve_ambiguous,demo,channel,w_lab1,w_lab1_lo,w_lab1_hi,lab_path,w_primary1
Llama-2-7b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,6738417664.0,6738417664.0,6738417664.0,2000000000000.0,ObsScaling,296.80558548411165,8.0861011968e+22,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-7b-hf,True,meta-llama/Llama-2-7b-hf,6476273664.0,262144000.0,False,,True,1353768.0,66330947.0,854075.0,34451637.0,2418.0,Llama 2-7B,,,,,,,,,,,False,2023,8.0861011968e+22,True,Meta,4-9B,32.0,4096.0,32000.0,32.0,32.0,False,,0.03890290170057353,131072000.0,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama-2,common-D,,3.0433828355478063,2.525706951421174,3.660944637890018,21.96151566074668,0.6714182690657119,1,0,3.5128190754293476,0,0,False,0,none documented (Meta AI launched later on a custom model),3.8188282052560947,2.3923315900382103,6.388899122676694,meta,3.8188282052560947
Llama-2-13b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,13015866880.0,13015866880.0,13015866880.0,2000000000000.0,ObsScaling,153.6586090222828,1.5619040256e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-13b-hf,True,meta-llama/Llama-2-13b-hf,12688186880.0,327680000.0,False,,True,187130.0,19661090.0,29828.0,3568191.0,637.0,Llama 2-13B,,,,,,,,,,,False,2023,1.5619040256e+23,True,Meta,9-16B,40.0,5120.0,32000.0,40.0,40.0,False,,0.02517542650221083,163840000.0,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama-2,common-D,,2.3015790923908654,1.9008894093268744,2.778642805008258,21.85745151955319,0.5655156916805294,1,1,2.4388476138099864,0,0,False,0,none documented (Meta AI launched later on a custom model),2.823235572537852,1.7536764927757988,4.678553680966194,meta,2.823235572537852
Llama-2-70b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,68976653312.0,68976653312.0,68976653312.0,2000000000000.0,ObsScaling,28.99531803831451,8.27719839744e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-70b-hf,True,meta-llama/Llama-2-70b-hf,68452365312.0,524288000.0,False,,True,8903.0,7481398.0,3455.0,2548499.0,855.0,Llama 2-70B,,,,,,,,,,,False,2023,8.27719839744e+23,True,Meta,40-80B,80.0,8192.0,32000.0,64.0,8.0,False,,0.007600948651835915,262144000.0,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama-2,common-D,,1.1342082029477754,0.931356812570889,1.373895173503921,21.596056020424697,0.11832766029990965,1,1,0.9677742461186838,0,0,False,0,none documented (Meta AI launched later on a custom model),1.313584047852456,0.7704321365870103,2.2444050835275724,meta,1.313584047852456
llama-7b,Llama,Meta,Meta AI,2023-02-24 00:00:00,True,dense,False,6738417664.0,6738417664.0,6738417664.0,1000000000000.0,ObsScaling,148.40279274205582,4.0430505984e+22,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-7b,True,huggyllama/llama-7b,6476273664.0,262144000.0,False,,True,246007.0,7861305.0,246007.0,7861305.0,360.0,LLaMA-7B,,,,,,,,,,,False,2023,4.0430505984e+22,True,Meta,4-9B,32.0,4096.0,32000.0,32.0,32.0,False,,0.03890290170057353,131072000.0,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama,size-specific-D,,2.2581621401727494,1.9094012425156535,2.656833921758579,22.07161660136387,0.5571620025816658,1,0,2.521572533496897,0,0,False,0,none (research release),2.7930412932651243,1.8545029636648032,4.329895069736759,meta,2.7930412932651243
llama-13b,Llama,Meta,Meta AI,2023-02-27 00:00:00,True,dense,False,13015866880.0,13015866880.0,13015866880.0,1000000000000.0,ObsScaling,76.8293045111414,7.809520128e+22,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-13b,True,huggyllama/llama-13b,12688186880.0,327680000.0,False,,True,1284.0,1055759.0,1284.0,1055759.0,145.0,LLaMA-13B,,,,,,,,,,,False,2023,7.809520128e+22,True,Meta,9-16B,40.0,5120.0,32000.0,40.0,40.0,False,,0.02517542650221083,163840000.0,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama,size-specific-D,,1.7077505689864003,1.4484877999237569,2.0182176505819984,21.96703074937379,0.4144343921410437,1,1,1.7506541112186569,0,0,False,0,none (research release),2.0648777873432564,1.3523659372362993,3.196522869355962,meta,2.0648777873432564
llama-30b,Llama,Meta,Meta AI,2023-02-27 00:00:00,True,dense,False,32528947456.0,32528947456.0,32528947456.0,1400000000000.0,ObsScaling,43.03858899503889,2.732431586304e+23,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-30b,True,huggyllama/llama-30b,32102963456.0,425984000.0,False,,True,1596.0,618296.0,1596.0,618296.0,48.0,LLaMA-33B,,,,,,,,,,,False,2023,2.732431586304e+23,True,Meta,16-40B,60.0,6656.0,32000.0,52.0,52.0,False,,0.013095535924616208,212992000.0,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama,size-specific-D,,1.3382207429418487,1.1185585635052242,1.597694731203672,21.769432873742957,0.2527391274763298,1,1,1.237689184456354,0,0,False,0,none (research release),1.5787907661089988,0.9795479820986123,2.569400742269268,meta,1.5787907661089988
llama-65b,Llama,Meta,Meta AI,2023-02-24 00:00:00,True,dense,False,65285665792.0,65285665792.0,65285665792.0,1400000000000.0,ObsScaling,21.444217241505925,5.483995926528e+23,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-65b,True,huggyllama/llama-65b,64761377792.0,524288000.0,False,,True,800.0,291920.0,800.0,291920.0,78.0,LLaMA-65B,,,,,,,,,,,False,2023,5.483995926528e+23,True,Meta,40-80B,80.0,8192.0,32000.0,64.0,64.0,False,,0.00803067554936765,262144000.0,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama,size-specific-D,,0.9957237297255829,0.8237192254350053,1.1942727784051297,21.660293163841573,-0.004294635295671469,1,1,0.8412434131361805,0,0,False,0,none (research release),1.1468594928820806,0.6879486750743505,1.9076632435293515,meta,1.1468594928820806
Meta-Llama-3-70B,Llama-3,Meta,Meta AI,2024-04-18 00:00:00,True,dense,False,70553706496.0,70553706496.0,70553706496.0,15000000000000.0,ObsScaling,212.60399694026586,6.34983358464e+24,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Meta-Llama-3-70B,True,meta-llama/Meta-Llama-3-70B,68452360192.0,2101346304.0,False,,True,194673.0,10517010.0,75486.0,4075057.0,881.0,Llama 3-70B,,,,,,,,,,,False,2024,6.34983358464e+24,True,Meta,40-80B,80.0,8192.0,128256.0,64.0,8.0,False,,0.029783641545736983,1050673152.0,,,,server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama-3 herd,common-D,,2.6746307161288074,2.052816509463705,3.479459435139944,21.280916584349427,0.6261166096800928,1,1,2.5054120348052806,0,1,True,0,consumer product uses the family; size undisclosed,3.2274717320667636,1.66464073563114,6.46596972304271,meta,3.2274717320667636
Meta-Llama-3-8B,Llama-3,Meta,Meta AI,2024-04-18 00:00:00,True,dense,False,8030261248.0,8030261248.0,8030261248.0,15000000000000.0,ObsScaling,1867.9342473118006,7.2272351232e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Meta-Llama-3-8B,True,meta-llama/Meta-Llama-3-8B,6979588096.0,1050673152.0,False,,True,1458239.0,95523445.0,261762.0,47106818.0,6702.0,Llama 3-8B,,,,,,,,,,,False,2024,7.2272351232e+23,True,Meta,4-9B,32.0,4096.0,128256.0,32.0,8.0,False,,0.13083922422345584,525336576.0,,,,server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama-3 herd,common-D,,6.726198783692177,5.155307937044321,8.835483364699316,21.617201487550606,0.8513276172532214,1,1,8.355713625033404,0,1,True,0,consumer product uses the family; size undisclosed,8.747627548549858,4.575404496887148,18.126057957764626,meta,8.747627548549858
Llama-3.1-405B,Llama-3.1,Meta,Meta AI,2024-07-23 00:00:00,True,dense,False,405853388800.0,405853388800.0,405853388800.0,15600000000000.0,ObsScaling; fix: 405B: 15.6T per Llama 3 herd report (card: ~15T for all 3.1 sizes),38.437525546170825,3.798787719168e+25,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-3.1-405B,True,meta-llama/Llama-3.1-405B,401650696192.0,4202692608.0,False,,True,581157.0,28100697.0,103458.0,21315204.0,989.0,Llama 3.1-405B,,,,,,,,,,,False,2024,3.798787719168e+25,True,Meta,>80B,126.0,16384.0,128256.0,128.0,8.0,False,,0.010355199005301463,2101346304.0,,,,server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Llama-3 herd,common-D,,1.294637585696465,0.9911630702065958,1.6866005419412522,21.0080320751268,0.22758306181722765,0,0,0.9679943091076826,1,1,False,0,consumer product (Meta AI on WhatsApp and meta.ai),1.4720310891412616,0.7046855616977835,3.0961614167610203,meta,1.4720310891412616
