unit,unit_type,family,dev,n_members,members,reading,bound,fam_class,year,date,C_total,N_flagship,D_flagship,M_cw,w_ref,s_ref,w_lab1,s_lab1,w_ra2primary,s_ra2primary,serve_any,serve_all,serve_flagship,serve_hi_any,serve_developer,tier_share,tier_any,ondevice,local,has_lab,lab_path,unit_kind,id_class,own_cap,syn_protocol,syn_fixlist,R_CO,R_INF,R_DEV,deployment_rationale,codes_file,emb_share_min,emb_share_max,emb_share_cw,N_emb_share_flagship,w_band_ptmin,w_band_ptmax,all_tech_gt1,w_ref_lo,w_ref_hi,w_lab1_lo,w_lab1_hi
Llama-2,family,Llama-2,Meta,3,Llama-2-7b-hf; Llama-2-13b-hf; Llama-2-70b-hf,choice,point (family share),common-D,2023,2023-07-18 00:00:00,1.064771254272e+24,68976653312.0,2000000000000.0,44.18521172372614,1.2918697978794211,0.22592818437161366,1.5068497192963761,0.3363638143908934,1.1299184066216406,0.1149803435896628,0,0,0,0,0,1.0,1,0,0,1,meta,common-budget,point,0,0,0,0,0,0,0,readings_final.csv,0.007600948651835915,0.03890290170057353,0.012556071500202947,0.007600948651835915,0.33327031883917224,2.3577911806166196,False,1.0631260935519555,1.5638797276791967,0.8964561867363521,2.5805766130698338
Llama#1,family,Llama,Meta,2,llama-7b; llama-13b,choice,point (family share),size-specific-D,2023,2023-02-24 00:00:00,1.18525707264e+23,13015866880.0,1000000000000.0,96.17360894083193,1.862615182573147,0.4631204505599863,2.2664314841783066,0.5587777495234764,1.9544828638629979,0.48835570856655186,0,0,0,0,0,1.0,1,0,0,1,meta,common-budget,point,0,0,0,0,1,1,1,readings_final.csv,0.02517542650221083,0.03890290170057353,0.029858028960059135,0.02517542650221083,0.7415907402982518,2.7086058600963496,False,1.5779216410435815,2.203508760629506,1.5512387158304424,3.463783027967475
Llama#2,family,Llama,Meta,2,llama-30b; llama-65b,cap or choice,lower bound (point if choice),size-specific-D,2023,2023-02-24 00:00:00,8.216427512832e+23,65285665792.0,1400000000000.0,27.034891834557914,1.0883569250528664,0.08118377622173398,1.261646876665136,0.20738518955219662,0.9415376954419307,-0.06209236745495231,0,0,0,0,0,1.0,1,0,0,1,meta,common-budget,lower bound (point if choice),0,0,0,0,1,0,1,readings_final.csv,0.00803067554936765,0.013095535924616208,0.009715031000436261,0.00803067554936765,0.2641094018550433,2.088246630576752,False,0.903809467287513,1.302962646575107,0.7720150443100295,2.0937188482594964
Llama-3 herd,family,Llama-3 herd,Meta,3,Meta-Llama-3-8B; Meta-Llama-3-70B; Llama-3.1-405B,cap or choice,lower bound (point if choice),common-D,2024,2024-04-18 00:00:00,4.506043428864e+25,405853388800.0,15600000000000.0,52.0574792021918,1.4159250031248287,0.2937479048727276,1.617592026671815,0.38179715063414754,1.0763310431343103,0.07091781252729815,1,0,1,1,1,0.6666666666666666,1,0,0,1,meta,common-budget,lower bound (point if choice),0,0,0,1,1,0,1,readings_final.csv,0.010355199005301463,0.13083922422345584,0.015025460580602706,0.010355199005301463,0.25395581482742285,2.8133228630323033,False,1.0860186395338145,1.8431198716426602,0.7932826102195849,3.4351749577923396
Qwen#2,family,Qwen,Alibaba,2,Qwen-14B; Qwen-72B,cap or choice,lower bound (point if choice),size-specific-D,2023,2023-09-28 00:00:00,1.556193798144e+24,72287920128.0,3000000000000.0,54.20486125095208,1.4418796381160446,0.3064608351730406,1.4418796381160446,0.3064608351730406,1.4418796381160446,0.3064608351730406,1,1,1,1,1,1.0,1,0,0,0,,common-budget,lower bound (point if choice),0,0,0,0,0,0,0,readings_final.csv,0.03446518549141342,0.10991059428293459,0.04682831594298429,0.03446518549141342,0.40556074786391494,2.551519007518529,False,1.1734263266871061,1.7657470556841068,1.1734263266871061,1.7657470556841068
B:Qwen/Qwen-7B,model,Qwen,Alibaba,1,Qwen-7B,,point (member),size-specific-D,2023,2023-09-28 00:00:00,1.111870734336e+23,7721324544.0,2400000000000.0,310.8274993912758,3.1070785676869286,0.6781542602752874,3.1070785676869286,0.6781542602752874,3.1070785676869286,0.6781542602752874,1,1,1,1,1,1.0,1,0,0,0,,size-specific member,point,0,0,0,0,0,0,0,readings_final.csv,0.16119769411417706,0.16119769411417706,0.16119769411417706,0.16119769411417706,1.0356912229779869,3.984614763463117,True,2.5654781086322194,3.762068020245678,2.5654781086322194,3.762068020245678
Qwen2#1,family,Qwen2,Alibaba,3,Qwen2-1.5B; Qwen2-7B; Qwen2-72B,menu,point (family share),size-specific-D,2024,2024-06-07 00:00:00,3.438352447488e+24,72706203648.0,7000000000000.0,127.71058601395826,2.0507268492256236,0.5123680170386364,2.0507268492256236,0.5123680170386364,2.0507268492256236,0.5123680170386364,1,1,1,1,1,0.6666666666666666,1,0,0,0,,common-budget,point,0,1,0,0,0,1,1,readings_final.csv,0.034266905036906437,0.15117674001937598,0.04659818138336996,0.034266905036906437,0.5941988214027526,3.249627981710559,False,1.622100067959041,2.5893353206366134,1.622100067959041,2.5893353206366134
B:Qwen/Qwen2-0.5B,model,Qwen2,Alibaba,1,Qwen2-0.5B,,point (member),size-specific-D,2024,2024-06-07 00:00:00,3.5570359296e+22,494032768.0,12000000000000.0,24289.886779331995,19.949639618661116,0.9498737812253717,19.949639618661116,0.9498737812253717,19.949639618661116,0.9498737812253717,1,1,1,1,1,0.0,0,0,0,0,,size-specific member,point,0,1,0,0,0,1,1,readings_final.csv,0.2755579484152759,0.2755579484152759,0.2755579484152759,0.2755579484152759,2.0234635460153987,275.34400717363184,True,14.826453412429652,27.66037192693268,14.826453412429652,27.66037192693268
Yi,family,Yi,01.AI,2,Yi-6B; Yi-34B,menu,point (family share),common-D,2023,2023-11-02 00:00:00,7.280991498239999e+23,34388917248.0,3000000000000.0,113.15224009427111,1.9683458240456289,0.4919591934588733,1.9683458240456289,0.4919591934588733,1.9683458240456289,0.4919591934588733,0,0,0,1,0,0.0,0,0,0,0,,common-budget,point,0,0,0,0,1,1,1,readings_final.csv,0.026680223555260674,0.08650139044227212,0.035643848789376154,0.026680223555260674,0.7210276706137289,3.004543157577615,False,1.6041755008040668,2.4157185554585805,1.6041755008040668,2.4157185554585805
B:google/gemma-7b,model,Gemma,Google,1,gemma-7b,,point (member),size-specific-D,2024,2024-02-21 00:00:00,3.07356512256e+23,8537680896.0,6000000000000.0,702.766954292127,4.417266311464716,0.7736156415553738,4.417266311464716,0.7736156415553738,4.417266311464716,0.7736156415553738,0,0,0,0,1,1.0,1,0,1,0,,size-specific member,point,0,0,0,0,1,1,1,readings_final.csv,0.09211307023297766,0.09211307023297766,0.09211307023297766,0.09211307023297766,1.2137538556382514,7.34472497021701,True,3.5071938246107854,5.553142502139845,3.5071938246107854,5.553142502139845
