unit,unit_type,family,dev,n_members,members,reading,bound,fam_class,year,date,C_total,N_flagship,D_flagship,M_cw,w_ref,s_ref,w_lab1,s_lab1,w_ra2primary,s_ra2primary,serve_any,serve_all,serve_flagship,serve_hi_any,serve_developer,tier_share,tier_any,ondevice,local,has_lab,lab_path,emb_share_min,emb_share_max,emb_share_cw,N_emb_share_flagship
Llama-2,family,Llama-2,Meta,3,Llama-2-7b-hf; Llama-2-13b-hf; Llama-2-70b-hf,choice,point (family share),common-D,2023,2023-07-18 00:00:00,1.064771254272e+24,68976653312.0,2000000000000.0,44.18521172372614,1.2918697978794211,0.22592818437161366,1.5068497192963761,0.3363638143908934,1.1299184066216406,0.1149803435896628,0,0,0,0,0,1.0,1,0,0,1,meta,0.007600948651835915,0.03890290170057353,0.012556071500202947,0.007600948651835915
B:huggyllama/llama-7b,model,Llama,Meta,1,llama-7b,,point (member),size-specific-D,2023,2023-02-24 00:00:00,4.0430505984e+22,6738417664.0,1000000000000.0,148.40279274205582,2.2581621401727494,0.5571620025816658,2.7930412932651243,0.6419673413310052,2.521572533496897,0.6034220762179671,0,0,0,0,0,1.0,1,0,0,1,meta,0.03890290170057353,0.03890290170057353,0.03890290170057353,0.03890290170057353
B:huggyllama/llama-13b,model,Llama,Meta,1,llama-13b,,point (member),size-specific-D,2023,2023-02-27 00:00:00,7.809520128e+22,13015866880.0,1000000000000.0,76.82930451114143,1.7077505689864003,0.4144343921410437,2.0648777873432564,0.515709837100512,1.7506541112186569,0.4287849361037488,0,0,0,0,0,1.0,1,0,0,1,meta,0.02517542650221083,0.02517542650221083,0.02517542650221083,0.02517542650221083
B:huggyllama/llama-30b,model,Llama,Meta,1,llama-30b,,point (member),size-specific-D,2023,2023-02-27 00:00:00,2.732431586304e+23,32528947456.0,1400000000000.0,43.03858899503891,1.3382207429418487,0.2527391274763298,1.5787907661089988,0.36660384550858177,1.237689184456354,0.19204270946324642,0,0,0,0,0,1.0,1,0,0,1,meta,0.013095535924616208,0.013095535924616208,0.013095535924616208,0.013095535924616208
B:huggyllama/llama-65b,model,Llama,Meta,1,llama-65b,,point (member),size-specific-D,2023,2023-02-24 00:00:00,5.483995926528e+23,65285665792.0,1400000000000.0,21.44421724150592,0.9957237297255829,-0.004294635295671469,1.1468594928820806,0.12805360534010993,0.8412434131361805,-0.1887165883082166,0,0,0,0,0,1.0,1,0,0,1,meta,0.00803067554936765,0.00803067554936765,0.00803067554936765,0.00803067554936765
Llama-3 herd,family,Llama-3 herd,Meta,3,Meta-Llama-3-8B; Meta-Llama-3-70B; Llama-3.1-405B,cap,lower bound,common-D,2024,2024-04-18 00:00:00,4.506043428864e+25,405853388800.0,15600000000000.0,52.0574792021918,1.4159250031248287,0.2937479048727276,1.617592026671815,0.38179715063414754,1.0763310431343103,0.07091781252729815,1,0,1,1,1,0.6666666666666666,1,0,0,1,meta,0.010355199005301463,0.13083922422345584,0.015025460580602706,0.010355199005301463
B:Qwen/Qwen-72B,model,Qwen,Alibaba,1,Qwen-72B,,point (member),size-specific-D,2023,2023-11-30 00:00:00,1.301182562304e+24,72287920128.0,3000000000000.0,41.50070986532617,1.3239247440573556,0.24467005810665807,1.3239247440573556,0.24467005810665807,1.3239247440573556,0.24467005810665807,1,1,1,1,1,1.0,1,0,0,0,,0.03446518549141342,0.03446518549141342,0.03446518549141342,0.03446518549141342
B:Qwen/Qwen-14B,model,Qwen,Alibaba,1,Qwen-14B,,point (member),size-specific-D,2023,2023-09-28 00:00:00,2.5501123584e+23,14167290880.0,3000000000000.0,211.7553754920856,2.6437212977347913,0.6217453024050509,2.6437212977347913,0.6217453024050509,2.6437212977347913,0.6217453024050509,1,1,1,1,1,1.0,1,0,0,0,,0.10991059428293459,0.10991059428293459,0.10991059428293459,0.10991059428293459
B:Qwen/Qwen-7B,model,Qwen,Alibaba,1,Qwen-7B,,point (member),size-specific-D,2023,2023-09-28 00:00:00,1.111870734336e+23,7721324544.0,2400000000000.0,310.8274993912758,3.1070785676869286,0.6781542602752874,3.1070785676869286,0.6781542602752874,3.1070785676869286,0.6781542602752874,1,1,1,1,1,1.0,1,0,0,0,,0.16119769411417706,0.16119769411417706,0.16119769411417706,0.16119769411417706
B:Qwen/Qwen2-72B,model,Qwen2,Alibaba,1,Qwen2-72B,,point (member),size-specific-D,2024,2024-06-07 00:00:00,3.053660553216e+24,72706203648.0,7000000000000.0,96.27789168981806,1.9020582581712169,0.47425374816780014,1.9020582581712169,0.47425374816780014,1.9020582581712169,0.47425374816780014,1,1,1,1,1,1.0,1,0,0,0,,0.034266905036906437,0.034266905036906437,0.034266905036906437,0.034266905036906437
