set,uid,model,dev,M,C,dlo,dhi,sign,w_lo,w_hi,s_lo,s_hi
PI,B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,296.80558548411165,8.0861011968e+22,1.6201306962318727,4.31013209676257,w>1,1.911813520001505,9.405256078721301,0.47693643258720503,0.8936764728541069
PI,B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,153.6586090222828,1.5619040256e+23,0.8550120595703783,3.7544897497545846,w>1,1.4077670883242348,7.04511641621752,0.2896552218802252,0.8580577039581563
PI,B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,28.99531803831451,8.27719839744e+23,-1.0830492087329944,2.347036238408749,ambiguous,0.5693923220327227,3.3887422809168544,-0.7562583148821077,0.7049052665847929
PI,B:huggyllama/llama-7b,llama-7b,Meta,148.40279274205582,4.0430505984e+22,1.0394027491585502,3.5088539560352734,w>1,1.5155237664811925,6.200339552838972,0.3401621128503695,0.8387185102560832
PI,B:huggyllama/llama-13b,llama-13b,Meta,76.8293045111414,7.809520128e+22,0.27428411249705587,2.9532116090272877,w>1,1.1159584644132692,4.644436430461069,0.10390930138626259,0.7846886236957868
PI,B:huggyllama/llama-30b,llama-30b,Meta,43.03858899503889,2.732431586304e+23,-0.5083329083036681,2.5691022268133024,ambiguous,0.7677177608147262,3.80354359782183,-0.3025620234951561,0.7370872781443418
PI,B:huggyllama/llama-65b,llama-65b,Meta,21.444217241505925,5.483995926528e+23,-1.3179610887883224,1.9811362815956748,ambiguous,0.5039189858612827,2.8016005151590977,-0.984445968613052,0.6430611735723457
PI,B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,212.60399694026586,6.34983358464e+24,0.5787908626228484,4.657184561056077,w>1,1.2605099295059714,11.265398764006346,0.20667027161624377,0.9112326140469112
PI,B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,1867.9342473118006,7.2272351232e+23,3.1044051386556797,6.491329197886593,w>1,3.4617078150585434,29.238641775635084,0.7111252441208449,0.9657986849158872
PI,B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,38.437525546170825,3.798787719168e+25,-1.42173195096112,3.225846308437479,ambiguous,0.47744771879047876,5.351838144916937,-1.0944701600696851,0.8131483103707501
PI,B:Qwen/Qwen-72B,Qwen-72B,Alibaba,41.50070986532617,1.301182562304e+24,-0.7978388444154403,2.776179633103747,ambiguous,0.6604220364892782,4.235974505603924,-0.5141832718300501,0.7639268133750419
PI,B:Qwen/Qwen-14B,Qwen-14B,Alibaba,211.75537549208562,2.5501123584e+23,1.0962013959505645,4.151664314899762,w>1,1.5503497620025297,8.66130534373179,0.3549842593529754,0.8845439618724789
PI,B:Qwen/Qwen-7B,Qwen-7B,Alibaba,310.8274993912754,1.111870734336e+23,1.614637868089397,4.405976107151962,w>1,1.9076176259121334,9.885880981523865,0.4757859298338959,0.8988456363303441
PI,B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,96.27789168981808,3.053660553216e+24,-0.0946668455566968,3.7507863517434012,ambiguous,0.9519652378799095,7.031562219054318,-0.05045852538383349,0.8577840928022833
PI,B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,919.1639296661056,3.19855893504e+23,2.52748867006051,5.6550409014363,w>1,2.7483355338718134,18.92760178766619,0.6361434083737166,0.9471671048863871
PI,B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,4534.517806735306,6.4836000768e+22,4.382349689571759,7.002072957473949,w>1,5.771545385845478,38.1329194977303,0.8267361801481339,0.973775939184003
PI,B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,24289.886779332013,3.5570359296e+22,6.1580595173177475,8.586759949028394,w>1,11.742606481567737,86.93104111501606,0.91484003133634,0.9884966291997248
PI,B:01-ai/Yi-6B,Yi-6B,01.AI,494.9649263893441,1.0909863936e+23,2.0829620146496106,4.868266891071963,w>1,2.3006341581361713,12.572335229583967,0.5653372369250846,0.9204602819015755
PI,B:01-ai/Yi-34B,Yi-34B,01.AI,87.23740786501426,6.19000510464e+23,0.06557601011214942,3.4032063884636745,w>1,1.026577448823648,5.868900582475864,0.025889375277143592,0.8296103357099059
PI,B:google/gemma-7b,gemma-7b,Google,702.7669542921273,3.07356512256e+23,2.2655146395665726,5.380383247047827,w>1,2.4749145144961404,16.40849663985216,0.5959456400846287,0.9390559646048713
PI,B:google/gemma-2b,gemma-2b,Google,1197.044537258206,4.5111103488e+22,3.1093169652645236,5.613623553812937,w>1,3.4685158242438923,18.52431601035831,0.7116922480185046,0.9460169001953527
PI,B:google/gemma-2-27b,gemma-2-27b,Google,477.464969761453,2.12371600896e+24,1.5654871623188429,5.2953833407035535,w>1,1.870479593183534,15.699036439111563,0.4653777546441916,0.9363018231164388
