uid,unit,unit_type,reading,bound
B:meta-llama/Llama-2-7b-hf,Llama-2,family,choice,point (family share)
B:meta-llama/Llama-2-13b-hf,Llama-2,family,choice,point (family share)
B:meta-llama/Llama-2-70b-hf,Llama-2,family,choice,point (family share)
B:huggyllama/llama-7b,B:huggyllama/llama-7b,model,,point (member)
B:huggyllama/llama-13b,B:huggyllama/llama-13b,model,,point (member)
B:huggyllama/llama-30b,B:huggyllama/llama-30b,model,,point (member)
B:huggyllama/llama-65b,B:huggyllama/llama-65b,model,,point (member)
B:meta-llama/Meta-Llama-3-70B,Llama-3 herd,family,cap,lower bound
B:meta-llama/Meta-Llama-3-8B,Llama-3 herd,family,cap,lower bound
B:meta-llama/Llama-3.1-405B,Llama-3 herd,family,cap,lower bound
B:Qwen/Qwen-72B,B:Qwen/Qwen-72B,model,,point (member)
B:Qwen/Qwen-14B,B:Qwen/Qwen-14B,model,,point (member)
B:Qwen/Qwen-7B,B:Qwen/Qwen-7B,model,,point (member)
B:Qwen/Qwen2-72B,B:Qwen/Qwen2-72B,model,,point (member)
B:Qwen/Qwen2-7B,B:Qwen/Qwen2-7B,model,,point (member)
B:Qwen/Qwen2-1.5B,B:Qwen/Qwen2-1.5B,model,,point (member)
B:Qwen/Qwen2-0.5B,B:Qwen/Qwen2-0.5B,model,,point (member)
B:01-ai/Yi-6B,Yi,family,cap+menu,none
B:01-ai/Yi-34B,Yi,family,cap+menu,none
B:google/gemma-7b,B:google/gemma-7b,model,,point (member)
B:google/gemma-2b,B:google/gemma-2b,model,,point (member)
B:google/gemma-2-27b,B:google/gemma-2-27b,model,,point (member)
B:tiiuae/falcon-180B,B:tiiuae/falcon-180B,model,,point (member)
B:tiiuae/falcon-40b,B:tiiuae/falcon-40b,model,,point (member)
B:tiiuae/falcon-7b,B:tiiuae/falcon-7b,model,,point (member)
B:microsoft/phi-2,B:microsoft/phi-2,model,,point (member)
B:microsoft/phi-1_5,B:microsoft/phi-1_5,model,,point (member)
B:mosaicml/mpt-30b,MPT,family,menu,upper bound
B:mosaicml/mpt-7b,MPT,family,menu,upper bound
B:deepseek-ai/deepseek-llm-67b-base,DeepSeek-LLM,family,cap+menu,none
B:deepseek-ai/deepseek-llm-7b-base,DeepSeek-LLM,family,cap+menu,none
B:stabilityai/stablelm-base-alpha-3b,StableLM-alpha,family,choice,point (family share)
B:stabilityai/stablelm-base-alpha-7b-v2,B:stabilityai/stablelm-base-alpha-7b-v2,model,,point (member)
B:stabilityai/stablelm-2-1_6b,B:stabilityai/stablelm-2-1_6b,model,,point (member)
B:stabilityai/stablelm-base-alpha-7b,StableLM-alpha,family,choice,point (family share)
B:HuggingFaceTB/SmolLM-135M,B:HuggingFaceTB/SmolLM-135M,model,,point (member)
B:HuggingFaceTB/SmolLM-360M,B:HuggingFaceTB/SmolLM-360M,model,,point (member)
B:HuggingFaceTB/SmolLM-1.7B,B:HuggingFaceTB/SmolLM-1.7B,model,,point (member)
