design,budget_C,c,n_budget,nwin,nleft,nright,xstar,Nstar,Mstar,Lstar,curv,slope,S,sigma,sigma_pop,se_sigma,lo_sigma,hi_sigma,se_curv,se_slope,weight,share_nonconvex_draws
Chinchilla,6e+18,43.238291143120875,12,9,3,6,19.36818704513676,257926971.11836803,15.031644069124276,3.1105326589390585,0.2788192431658876,-0.2519035322074577,1.1068492796530665,0.6437389844103846,0.6690881671984571,0.06544561021222768,0.5536726109477456,0.7931173646300479,0.07192727320023022,0.010432325985231198,0.038692725089507544,0.0
Chinchilla,1e+19,43.74911676688687,26,14,4,10,19.662160344144272,346073017.55179363,13.915963151602035,2.984753752180103,0.1908586473664149,-0.22606437010106373,0.8442668222377995,0.7031689095984494,0.715985496885332,0.04226622296506266,0.6275739757371024,0.7854091126275615,0.03742819719618928,0.00646613461046902,0.14520160121644637,0.0
Chinchilla,3e+19,44.84772905555498,17,14,3,11,20.289166470816095,647847878.1502551,11.913076289637027,2.7653482829464773,0.14064460533440126,-0.18097764400217828,0.7771380056904069,0.7201658671272234,0.709016266442647,0.044507016882344166,0.6482019590889404,0.8240451741602849,0.03082550053964389,0.0023002521121680535,0.14878854003067996,0.0
Chinchilla,6e+19,45.540876236114926,15,15,8,7,20.638871576030578,919068831.7356255,11.838697498427482,2.645382688536241,0.16083825543702862,-0.15777197858074143,1.019434863426765,0.6623756068478968,0.6620830362219482,0.03279344923794789,0.6109240162692385,0.7609721777015299,0.023093553514514545,0.00208376025062918,0.32698759891233203,0.0
Chinchilla,1e+20,46.051701859880914,15,15,7,8,20.900135156027087,1193475118.51023,11.700973911033255,2.574420924879745,0.11804985482172148,-0.14340859794851415,0.8231713893758529,0.7084231611039953,0.7101385633687195,0.052294091471679696,0.6282875039203462,0.817301266772729,0.029495965762435482,0.002306908117225869,0.0808251781230356,0.0
Chinchilla,3e+20,47.15031414854902,13,11,6,5,21.39257974736869,1952896998.6209147,13.11026071864506,2.4252965430023155,0.09769415204047416,-0.11696120622954856,0.8352697034325997,0.7054002649478613,0.6735557619752124,0.0557782332501107,0.6157269630373313,0.8451685423630299,0.02607157825169168,0.0018236539736984276,0.08894465787398237,0.0
Chinchilla,6e+20,47.84346132910897,13,10,6,4,21.538453801402742,2259600356.988269,19.585593237804808,2.3521578266487,0.15379219019990242,-0.10395943849607299,1.4793480267374841,0.5748203354854847,0.6180875972574368,0.046175098631407646,0.5082937190717336,0.7070171531030096,0.028928334247499535,0.0016974983018465193,0.0527231144930181,0.0
Chinchilla,1e+21,48.35428695287496,17,14,10,4,21.817675745904108,2987419313.7935553,18.674818121695587,2.3013068177316622,0.12981896513744795,-0.09566801445377791,1.356973549400569,0.5957747270177705,0.6066269569840967,0.03813629500740847,0.5316023920204345,0.679094584203298,0.019981123181146837,0.0024978573846463166,0.09273728617775034,0.0
Chinchilla,3e+21,49.45289924154307,9,8,3,5,22.20651661899713,4407249426.471394,25.74155299645965,2.2039021128510727,0.12423433660622707,-0.08133889702925441,1.5273668705090118,0.5669951761245047,0.5927077000201812,0.05374257194446365,0.475531430055256,0.678179792866633,0.029959812378712102,0.006230185186533313,0.025099298083247713,0.0
Llama 3,6e+18,43.238291143120875,16,13,4,9,19.280614529292343,236300422.30042675,17.908986308996198,0.9000484629521918,0.0393185800460108,-0.0421376245976547,0.933099110864432,0.6818726283717592,0.6943755840104933,0.0272114373588337,0.637442646166957,0.7430164384689738,0.0043171042940781,0.0020415334167381,0.048321242075526,0.0
Llama 3,1e+19,43.74911676688687,17,16,5,11,19.650579705422356,342088387.774921,14.24203619258786,0.8779010631098725,0.0385233455309477,-0.0401628055641906,0.9591796436973856,0.6758629893456127,0.6922805000440344,0.0257309881873861,0.6291377315305515,0.7290938774902818,0.0044093057270376,0.0011127980192957,0.0434820008185559,0.0
