uid,model,dev,year,gen,N,D,M,Cmp,set,dlo,dhi,Mstar_hi_eff,Mstar_lo_eff,binding_upper,binding_lower,tau_break,sign_tau1
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,2023,Llama-2,6738417664.0,2000000000000.0,296.80558548411165,8.0861011968e+22,S1,0.8683910811838365,3.711724644459016,124.54738537926994,7.252546769059337,Marin,Llama 3,2.3830735954856337,w>1
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,2023,Llama-2,13015866880.0,2000000000000.0,153.6586090222828,1.5619040256e+23,S1,0.03010073695422477,3.116921704769092,149.10228994982785,6.806047888833269,Marin,Llama 3,1.0305583440334023,w>1
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,2023,Llama-2,68976653312.0,2000000000000.0,28.99531803831451,8.27719839744e+23,S1,-2.0951415269941442,1.6115001588193796,235.63309121624556,5.7871168325309075,Marin,Llama 3,1.0,not identified
B:huggyllama/llama-7b,llama-7b,Meta,2023,Llama,6738417664.0,1000000000000.0,148.40279274205582,4.0430505984e+22,S1,0.3640995692963722,2.9521086054105954,103.11352649927869,7.75099749536384,Marin,Llama 3,1.4392175088987373,w>1
B:huggyllama/llama-13b,llama-13b,Meta,2023,Llama,13015866880.0,1000000000000.0,76.8293045111414,7.809520128e+22,S1,-0.47360171596036515,2.3568844763811256,123.36998549256577,7.276876079450605,Marin,Llama 3,1.0,not identified
B:huggyllama/llama-30b,llama-30b,Meta,2023,Llama,32528947456.0,1400000000000.0,43.03858899503889,2.732431586304e+23,S1,-1.3957634584599203,1.8985093031428004,173.7922447603276,6.44682543225321,Marin,Llama 3,1.0,not identified
B:huggyllama/llama-65b,llama-65b,Meta,2023,Llama,65285665792.0,1400000000000.0,21.444217241505925,5.483995926528e+23,S1,-2.283643505781073,1.2696555528177709,210.41852474166936,6.024288997738782,Marin,Llama 3,1.0,not identified
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,2024,Llama-3 herd,70553706496.0,15000000000000.0,212.60399694026586,6.34983358464e+24,S1,-0.6644014488536802,3.8034400449252956,413.15908597947276,4.739782369708413,Marin,Llama 3,1.0,not identified
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,2024,Llama-3 herd,8030261248.0,15000000000000.0,1867.9342473118006,7.2272351232e+23,S1,2.107617754478965,5.763711652591255,227.00468684860712,5.864262721774286,Marin,Llama 3,8.22861533496687,w>1
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,2024,Llama-3 herd,405853388800.0,15600000000000.0,38.437525546170825,3.798787719168e+25,S1,-2.869193431253506,2.2691162702032543,677.3767662911927,3.9745754603668955,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen-72B,Qwen-72B,Alibaba,2023,Qwen,72287920128.0,3000000000000.0,41.50070986532617,1.301182562304e+24,S1,-1.8610522374102034,2.0142880890424615,266.870299226758,5.536831707633325,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen-14B,Qwen-14B,Alibaba,2023,Qwen,14167290880.0,3000000000000.0,211.75537549208562,2.5501123584e+23,S1,0.2165057817734235,3.4851384828884586,170.5325073453743,6.4901992826409876,Marin,Llama 3,1.241730264736118,w>1
B:Qwen/Qwen-7B,Qwen-7B,Alibaba,2023,Qwen,7721324544.0,2400000000000.0,310.8274993912754,1.111870734336e+23,S1,0.8275627486107497,3.7885809669597568,135.8668477319627,7.0333078388520365,Marin,Llama 3,2.287736151827663,w>1
B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,2024,Qwen2,72706203648.0,7000000000000.0,96.27789168981808,3.053660553216e+24,S1,-1.2545926702153487,2.9393776820245083,337.5897447024973,5.092969365962082,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,2024,Qwen2,7615616512.0,7000000000000.0,919.1639296661056,3.19855893504e+23,S1,1.6223998136562399,4.975181332978831,181.4653399672417,6.348910045403251,Marin,Llama 3,5.065231353998697,w>1
B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,2024,Qwen2,1543714304.0,7000000000000.0,4534.517806735306,6.4836000768e+22,S1,3.655040308553681,6.416887147667281,117.26469398077674,7.408195461284107,Marin,Llama 3,38.669079778425484,w>1
B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,2024,Qwen2,494032768.0,12000000000000.0,24289.886779332013,3.5570359296e+22,S1,5.49679962001569,8.037771834464479,99.58541725460435,7.846311323911596,Marin,Llama 3,243.9100768863723,w>1
B:01-ai/Yi-6B,Yi-6B,01.AI,2023,Yi,6061035520.0,3000000000000.0,494.9649263893441,1.0909863936e+23,S1,1.297994081156606,4.251999858029411,135.16453621825235,7.046190007328294,Marin,Llama 3,3.6619437334517704,w>1
B:01-ai/Yi-34B,Yi-34B,01.AI,2023,Yi,34388917248.0,3000000000000.0,87.23740786501426,6.19000510464e+23,S1,-0.913746901290402,2.6846417476703532,217.5394317487856,5.953572624948455,Marin,Llama 3,1.0,not identified
B:google/gemma-7b,gemma-7b,Google,2024,Gemma,8537680896.0,6000000000000.0,702.7669542921273,3.07356512256e+23,S1,1.3648967376981451,4.702867579477315,179.49163361152043,6.373557275176544,Marin,Llama 3,3.9153187262931075,w>1
B:google/gemma-2b,gemma-2b,Google,2024,Gemma,2506172416.0,3000000000000.0,1197.044537258206,4.5111103488e+22,S1,2.421981056742591,5.050259161336759,106.23247526555778,7.670269494404506,Marin,Llama 3,11.268160082553461,w>1
B:google/gemma-2-27b,gemma-2-27b,Google,2024,Gemma-2,27227128320.0,13000000000000.0,477.464969761453,2.12371600896e+24,S1,0.4467795064586877,4.505028526786433,305.42715011549956,5.277551550590947,Marin,Llama 3,1.5632695704389608,w>1
B:tiiuae/falcon-180B,falcon-180B,TII,2023,Falcon,179522565120.0,3500000000000.0,19.49615636151623,3.76997386752e+24,S1,-2.9097355597038246,1.3630300074489798,357.79238792333103,4.988759736280576,Marin,Llama 3,1.0,not identified
B:tiiuae/falcon-40b,falcon-40b,TII,2023,Falcon,41835970560.0,1000000000000.0,23.902875602367764,2.5101582336e+23,S1,-1.9605977173581772,1.3021725071203716,169.79579126565378,6.500156559381074,Marin,Llama 3,1.0,not identified
B:tiiuae/falcon-7b,falcon-7b,TII,2023,Falcon,7217189760.0,1500000000000.0,207.83712911547445,6.495470784e+22,S1,0.5718222876109138,3.334343521665459,117.32319210380939,7.406894222688069,Marin,Llama 3,1.771492280329169,w>1
B:microsoft/phi-2,phi-2,Microsoft,2023,Phi-2,2779683840.0,1400000000000.0,503.65440121420426,2.3349344256e+22,S1,1.735100655403131,4.121832709346778,88.83579499648897,8.166640392562027,Marin,Llama 3,5.6694984407367555,w>1
B:microsoft/phi-1_5,phi-1_5,Microsoft,2023,Phi-1.5,1418270720.0,150000000000.0,105.76260081009076,1.276443648e+21,S1,0.9492036943506297,2.2980946041319608,40.93532053234897,10.623859451341795,Marin,Llama 3,2.583651463691662,w>1
B:mosaicml/mpt-30b,mpt-30b,MosaicML,2023,MPT,30000000000.0,1050000000000.0,35.0,1.89e+23,S1,-1.5014891267726775,1.6559998517924819,157.09287457697616,6.681538060992221,Marin,Llama 3,1.0,not identified
B:mosaicml/mpt-7b,mpt-7b,MosaicML,2023,MPT,7000000000.0,1000000000000.0,142.85714285714286,4.2e+22,S1,0.3156564183464834,2.917661983865155,104.18714066515524,7.722847522258117,Marin,Llama 3,1.371159069584876,w>1
