unit,dlo,dhi,Cmp,year,n_members,dlo_S2c,members,units_file,id_tau1,id_tau1.3,id_tau1.84,id_tau3.4,id_tau4.4,id_tau8,id_tau10,tau_break
Llama-2,-2.0951415269941442,3.711724644459016,1.064771254272e+24,2023,3,-2.5463407501644606,Llama-2-7b-hf; Llama-2-13b-hf; Llama-2-70b-hf,49,False,False,False,False,False,False,False,1.0
Llama#1,-0.47360171596036515,2.9521086054105954,1.18525707264e+23,2023,2,-0.7807174111441997,llama-7b; llama-13b,49,False,False,False,False,False,False,False,1.0
Llama#2,-2.283643505781073,1.8985093031428004,8.216427512832e+23,2023,2,-2.7077953430724526,llama-30b; llama-65b,49,False,False,False,False,False,False,False,1.0
Llama-3 herd,-2.869193431253506,5.763711652591255,4.506043428864e+25,2024,3,-3.5642382698347617,Meta-Llama-3-70B; Meta-Llama-3-8B; Llama-3.1-405B,49,False,False,False,False,False,False,False,1.0
Qwen#2,-1.8610522374102034,3.4851384828884586,1.556193798144e+24,2023,2,-2.308331056566608,Qwen-72B; Qwen-14B,49,False,False,False,False,False,False,False,1.0
B:Qwen/Qwen-7B,0.8275627486107497,3.7885809669597568,1.111870734336e+23,2023,1,0.656084990084711,Qwen-7B,49,True,True,True,False,False,False,False,2.287736151827663
Qwen2#1,-1.2545926702153487,6.416887147667281,3.438352447488e+24,2024,3,-1.7674611677682348,Qwen2-72B; Qwen2-7B; Qwen2-1.5B,49,False,False,False,False,False,False,False,1.0
B:Qwen/Qwen2-0.5B,5.49679962001569,8.037771834464479,3.5570359296e+22,2024,1,5.2810710200378335,Qwen2-0.5B,49,True,True,True,True,True,True,True,243.9100768863723
Yi,-0.913746901290402,4.251999858029411,7.280991498239999e+23,2023,2,-1.3493147373906673,Yi-6B; Yi-34B,49,False,False,False,False,False,False,False,1.0
B:google/gemma-7b,1.3648967376981451,4.702867579477315,3.07356512256e+23,2024,1,1.095894671236997,gemma-7b,49,True,True,True,True,False,False,False,3.9153187262931075
B:google/gemma-2b,2.421981056742591,5.050259161336759,4.5111103488e+22,2024,1,2.3237135552507286,gemma-2b,49,True,True,True,True,True,True,True,11.268160082553461
B:google/gemma-2-27b,0.4467795064586877,4.505028526786433,2.12371600896e+24,2024,1,-0.01296588893633377,gemma-2-27b,49,True,True,False,False,False,False,False,1.5632695704389608
B:tiiuae/falcon-180B,-2.9097355597038246,1.3630300074489798,3.76997386752e+24,2023,1,-3.4508111487782775,falcon-180B,49,False,False,False,False,False,False,False,1.0
B:tiiuae/falcon-40b,-1.9605977173581772,1.3021725071203716,2.5101582336e+23,2023,1,-2.3352216934727688,falcon-40b,49,False,False,False,False,False,False,False,1.0
B:tiiuae/falcon-7b,0.5718222876109138,3.334343521665459,6.495470784e+22,2023,1,0.2546912999818227,falcon-7b,49,True,True,False,False,False,False,False,1.771492280329169
B:microsoft/phi-2,1.735100655403131,4.121832709346778,2.3349344256e+22,2023,1,1.4733644926781322,phi-2,49,True,True,True,True,True,False,False,5.6694984407367555
B:microsoft/phi-1_5,0.9492036943506297,2.2980946041319608,1.276443648e+21,2023,1,0.9511928730003145,phi-1_5,49,True,True,True,False,False,False,False,2.583651463691662
MPT,-1.5014891267726775,2.917661983865155,2.31e+23,2023,2,-1.8517482523834796,mpt-30b; mpt-7b,49,False,False,False,False,False,False,False,1.0
