uid,unit,unit_type,reading,bound,unit_kind,id_class,own_cap,syn_protocol,syn_fixlist,R_CO,R_INF,R_DEV,deployment_rationale,model,gen,dev,date,year,N,D,M,Cmp,tier,serve_model,emb_share,w_ref,s_ref,W_unit,s_unit,unit_year,C_unit,codes_file
B:meta-llama/Llama-2-7b-hf,Llama-2,family,choice,point (family share),common-budget,point,0,0,0,0,0,0,0,Llama-2-7b-hf,Llama-2,Meta,2023-07-18 00:00:00,2023,6738417664.0,2000000000000.0,296.80558548411165,8.0861011968e+22,1,0,0.0389029017005735,3.0433828355478063,0.6714182690657119,1.2918697978794211,0.22592818437161366,2023,1.064771254272e+24,readings_final.csv
B:meta-llama/Llama-2-13b-hf,Llama-2,family,choice,point (family share),common-budget,point,0,0,0,0,0,0,0,Llama-2-13b-hf,Llama-2,Meta,2023-07-18 00:00:00,2023,13015866880.0,2000000000000.0,153.6586090222828,1.5619040256e+23,1,0,0.0251754265022108,2.3015790923908654,0.5655156916805294,1.2918697978794211,0.22592818437161366,2023,1.064771254272e+24,readings_final.csv
B:meta-llama/Llama-2-70b-hf,Llama-2,family,choice,point (family share),common-budget,point,0,0,0,0,0,0,0,Llama-2-70b-hf,Llama-2,Meta,2023-07-18 00:00:00,2023,68976653312.0,2000000000000.0,28.99531803831451,8.27719839744e+23,1,0,0.0076009486518359,1.1342082029477754,0.1183276602999096,1.2918697978794211,0.22592818437161366,2023,1.064771254272e+24,readings_final.csv
B:huggyllama/llama-7b,Llama#1,family,choice,point (family share),common-budget,point,0,0,0,0,1,1,1,llama-7b,Llama,Meta,2023-02-24 00:00:00,2023,6738417664.0,1000000000000.0,148.40279274205582,4.0430505984e+22,1,0,0.0389029017005735,2.2581621401727494,0.5571620025816658,1.862615182573147,0.4631204505599863,2023,1.18525707264e+23,readings_final.csv
B:huggyllama/llama-13b,Llama#1,family,choice,point (family share),common-budget,point,0,0,0,0,1,1,1,llama-13b,Llama,Meta,2023-02-27 00:00:00,2023,13015866880.0,1000000000000.0,76.8293045111414,7.809520128e+22,1,0,0.0251754265022108,1.7077505689864003,0.4144343921410437,1.862615182573147,0.4631204505599863,2023,1.18525707264e+23,readings_final.csv
B:huggyllama/llama-30b,Llama#2,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,0,0,0,1,0,1,llama-30b,Llama,Meta,2023-02-27 00:00:00,2023,32528947456.0,1400000000000.0,43.03858899503889,2.732431586304e+23,1,0,0.0130955359246162,1.338220742941849,0.2527391274763298,1.0883569250528664,0.08118377622173398,2023,8.216427512832e+23,readings_final.csv
B:huggyllama/llama-65b,Llama#2,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,0,0,0,1,0,1,llama-65b,Llama,Meta,2023-02-24 00:00:00,2023,65285665792.0,1400000000000.0,21.444217241505925,5.483995926528e+23,1,0,0.0080306755493676,0.9957237297255828,-0.0042946352956714,1.0883569250528664,0.08118377622173398,2023,8.216427512832e+23,readings_final.csv
B:meta-llama/Meta-Llama-3-70B,Llama-3 herd,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,0,0,1,1,0,1,Meta-Llama-3-70B,Llama-3 herd,Meta,2024-04-18 00:00:00,2024,70553706496.0,15000000000000.0,212.60399694026583,6.34983358464e+24,1,0,0.0297836415457369,2.674630716128807,0.6261166096800928,1.4159250031248287,0.2937479048727276,2024,4.506043428864e+25,readings_final.csv
B:meta-llama/Meta-Llama-3-8B,Llama-3 herd,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,0,0,1,1,0,1,Meta-Llama-3-8B,Llama-3 herd,Meta,2024-04-18 00:00:00,2024,8030261248.0,15000000000000.0,1867.9342473118008,7.2272351232e+23,1,0,0.1308392242234558,6.726198783692177,0.8513276172532214,1.4159250031248287,0.2937479048727276,2024,4.506043428864e+25,readings_final.csv
B:meta-llama/Llama-3.1-405B,Llama-3 herd,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,0,0,1,1,0,1,Llama-3.1-405B,Llama-3 herd,Meta,2024-07-23 00:00:00,2024,405853388800.0,15600000000000.0,38.437525546170825,3.798787719168e+25,0,1,0.0103551990053014,1.294637585696465,0.2275830618172276,1.4159250031248287,0.2937479048727276,2024,4.506043428864e+25,readings_final.csv
B:Qwen/Qwen-72B,Qwen#2,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,0,0,0,0,0,0,Qwen-72B,Qwen,Alibaba,2023-11-30 00:00:00,2023,72287920128.0,3000000000000.0,41.50070986532617,1.301182562304e+24,1,1,0.0344651854914134,1.3239247440573556,0.244670058106658,1.4418796381160446,0.3064608351730406,2023,1.556193798144e+24,readings_final.csv
B:Qwen/Qwen-14B,Qwen#2,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,0,0,0,0,0,0,Qwen-14B,Qwen,Alibaba,2023-09-28 00:00:00,2023,14167290880.0,3000000000000.0,211.7553754920856,2.5501123584e+23,1,1,0.1099105942829345,2.6437212977347913,0.6217453024050509,1.4418796381160446,0.3064608351730406,2023,1.556193798144e+24,readings_final.csv
B:Qwen/Qwen-7B,B:Qwen/Qwen-7B,model,,point (member),size-specific member,point,0,0,0,0,0,0,0,Qwen-7B,Qwen,Alibaba,2023-09-28 00:00:00,2023,7721324544.0,2400000000000.0,310.8274993912754,1.111870734336e+23,1,1,0.161197694114177,3.1070785676869286,0.6781542602752874,3.1070785676869286,0.6781542602752874,2023,1.111870734336e+23,readings_final.csv
B:Qwen/Qwen2-72B,Qwen2#1,family,menu,point (family share),common-budget,point,0,1,0,0,0,1,1,Qwen2-72B,Qwen2,Alibaba,2024-06-07 00:00:00,2024,72706203648.0,7000000000000.0,96.27789168981808,3.053660553216e+24,1,1,0.0342669050369064,1.9020582581712169,0.4742537481678001,2.0507268492256236,0.5123680170386364,2024,3.438352447488e+24,readings_final.csv
B:Qwen/Qwen2-7B,Qwen2#1,family,menu,point (family share),common-budget,point,0,1,0,0,0,1,1,Qwen2-7B,Qwen2,Alibaba,2024-06-07 00:00:00,2024,7615616512.0,7000000000000.0,919.1639296661056,3.19855893504e+23,1,1,0.1431262656519646,4.954946435161385,0.7981814711651006,2.0507268492256236,0.5123680170386364,2024,3.438352447488e+24,readings_final.csv
B:Qwen/Qwen2-1.5B,Qwen2#1,family,menu,point (family share),common-budget,point,0,1,0,0,0,1,1,Qwen2-1.5B,Qwen2,Alibaba,2024-06-07 00:00:00,2024,1543714304.0,7000000000000.0,4534.517806735306,6.4836000768e+22,0,1,0.1511767400193759,9.753901990263437,0.8974769275928524,2.0507268492256236,0.5123680170386364,2024,3.438352447488e+24,readings_final.csv
B:Qwen/Qwen2-0.5B,B:Qwen/Qwen2-0.5B,model,,point (member),size-specific member,point,0,1,0,0,0,1,1,Qwen2-0.5B,Qwen2,Alibaba,2024-06-07 00:00:00,2024,494032768.0,12000000000000.0,24289.886779332013,3.5570359296e+22,0,1,0.2755579484152759,19.949639618661116,0.9498737812253716,19.949639618661116,0.9498737812253717,2024,3.5570359296e+22,readings_final.csv
B:01-ai/Yi-6B,Yi,family,menu,point (family share),common-budget,point,0,0,0,0,1,1,1,Yi-6B,Yi,01.AI,2023-11-02 00:00:00,2023,6061035520.0,3000000000000.0,494.9649263893441,1.0909863936e+23,0,0,0.0865013904422721,3.7904764973965337,0.7361809258844253,1.9683458240456289,0.4919591934588733,2023,7.280991498239999e+23,readings_final.csv
B:01-ai/Yi-34B,Yi,family,menu,point (family share),common-budget,point,0,0,0,0,1,1,1,Yi-34B,Yi,01.AI,2023-11-02 00:00:00,2023,34388917248.0,3000000000000.0,87.23740786501426,6.19000510464e+23,0,0,0.0266802235552606,1.8146027362193395,0.4489151922676671,1.9683458240456289,0.4919591934588733,2023,7.280991498239999e+23,readings_final.csv
B:google/gemma-7b,B:google/gemma-7b,model,,point (member),size-specific member,point,0,0,0,0,1,1,1,gemma-7b,Gemma,Google,2024-02-21 00:00:00,2024,8537680896.0,6000000000000.0,702.7669542921273,3.07356512256e+23,1,0,0.0921130702329776,4.417266311464716,0.7736156415553738,4.417266311464716,0.7736156415553738,2024,3.07356512256e+23,readings_final.csv
B:google/gemma-2b,B:google/gemma-2b,model,,point (member),size-specific member,point,0,0,0,0,0,1,1,gemma-2b,Gemma,Google,2024-02-21 00:00:00,2024,2506172416.0,3000000000000.0,1197.044537258206,4.5111103488e+22,1,0,0.2091986954500101,5.513796343727807,0.8186367544863087,5.513796343727807,0.8186367544863087,2024,4.5111103488e+22,readings_final.csv
