design,log10C,budget_C,y,se,nleft,nright,Mstar,source,study,porian
Chinchilla,18.7782,6e+18,0.670204,0.0659524,3,6,29.8627,IsoFLOP budget,Hoffmann et al. (2022),False
Chinchilla,19,1e+19,0.703629,0.062629,4,9,24.3232,IsoFLOP budget,Hoffmann et al. (2022),False
Chinchilla,19.4771,3e+19,0.791017,0.0531528,3,10,19.1602,IsoFLOP budget,Hoffmann et al. (2022),False
Chinchilla,19.7782,6e+19,0.672429,0.0447673,7,7,16.2052,IsoFLOP budget,Hoffmann et al. (2022),False
Chinchilla,20,1e+20,0.76411,0.0594352,7,7,14.896,IsoFLOP budget,Hoffmann et al. (2022),False
Chinchilla,20.4771,3e+20,0.711619,0.0731896,5,5,15.9474,IsoFLOP budget,Hoffmann et al. (2022),False
Chinchilla,20.7782,6e+20,0.564433,0.0539698,5,4,22.6967,IsoFLOP budget,Hoffmann et al. (2022),False
Chinchilla,21,1e+21,0.616797,0.0381329,10,4,21.7687,IsoFLOP budget,Hoffmann et al. (2022),False
Chinchilla,21.4771,3e+21,0.578771,0.0542605,3,5,28.491,IsoFLOP budget,Hoffmann et al. (2022),False
Llama 3,18.7782,6e+18,0.681873,0.0272114,4,9,17.909,IsoFLOP budget,Grattafiori et al. (2024),False
Llama 3,19,1e+19,0.675863,0.025731,5,11,14.242,IsoFLOP budget,Grattafiori et al. (2024),False
Llama 3,19.4771,3e+19,0.73378,0.0232072,3,9,12.1471,IsoFLOP budget,Grattafiori et al. (2024),False
Llama 3,19.7782,6e+19,0.749479,0.0284363,4,10,16.3098,IsoFLOP budget,Grattafiori et al. (2024),False
Llama 3,20,1e+20,0.669879,0.0498105,8,5,11.7196,IsoFLOP budget,Grattafiori et al. (2024),False
Llama 3,20.4771,3e+20,0.618143,0.013499,9,5,12.8104,IsoFLOP budget,Grattafiori et al. (2024),False
Llama 3,20.7782,6e+20,0.584783,0.0151337,9,2,16.8877,IsoFLOP budget,Grattafiori et al. (2024),False
Llama 3,21,1e+21,0.609459,0.0166275,5,4,17.5173,IsoFLOP budget,Grattafiori et al. (2024),False
"Marin, Comma",18.4771,3e+18,0.740465,0.121783,3,2,6.0867,IsoFLOP budget,Marin (2026),False
"Marin, Comma",18.9542,9e+18,0.718777,0.0397501,3,5,9.93061,IsoFLOP budget,Marin (2026),False
"Marin, Comma",19.2553,1.8e+19,0.673549,0.036878,3,6,11.5386,IsoFLOP budget,Marin (2026),False
"Marin, Comma",20.2553,1.8e+20,0.760148,0.141338,2,4,28.1978,IsoFLOP budget,Marin (2026),False
"Marin, Comma",20.4771,3e+20,0.685774,0.0892387,2,4,20.4668,IsoFLOP budget,Marin (2026),False
"Marin, DCLM",18.4771,3e+18,0.728336,0.153944,3,2,5.4567,IsoFLOP budget,Marin (2026),False
"Marin, DCLM",18.9542,9e+18,0.70026,0.0446188,3,5,7.86383,IsoFLOP budget,Marin (2026),False
"Marin, DCLM",19.2553,1.8e+19,0.690845,0.053159,3,6,10.8235,IsoFLOP budget,Marin (2026),False
"Marin, DCLM",19.4771,3e+19,0.735267,0.112368,2,3,10.3172,IsoFLOP budget,Marin (2026),False
"Marin, DCLM",19.9542,9e+19,0.767335,0.118124,2,3,12.8806,IsoFLOP budget,Marin (2026),False
"Marin, DCLM",20.2553,1.8e+20,0.697319,0.0715371,2,4,12.436,IsoFLOP budget,Marin (2026),False
"Marin, DCLM",20.4771,3e+20,0.736857,0.0599608,3,4,11.6434,IsoFLOP budget,Marin (2026),False
"Marin, Nemotron-CC",18.4771,3e+18,0.750192,0.0946064,3,2,5.6764,IsoFLOP budget,Marin (2026),False
"Marin, Nemotron-CC",18.9542,9e+18,0.700208,0.0446107,3,5,8.53504,IsoFLOP budget,Marin (2026),False
"Marin, Nemotron-CC",19.2553,1.8e+19,0.712583,0.0658653,2,7,11.8926,IsoFLOP budget,Marin (2026),False
"Marin, Nemotron-CC",19.4771,3e+19,0.713105,0.0778009,2,3,10.8967,IsoFLOP budget,Marin (2026),False
"Marin, Nemotron-CC",19.9542,9e+19,0.722296,0.0731674,2,3,12.0423,IsoFLOP budget,Marin (2026),False
"Marin, Nemotron-CC",20.2553,1.8e+20,0.669653,0.0425032,2,4,11.831,IsoFLOP budget,Marin (2026),False
"Marin, Nemotron-CC",20.4771,3e+20,0.732649,0.0519995,2,5,12.4632,IsoFLOP budget,Marin (2026),False
"Porian, RefinedWeb",16.0969,1.25e+16,0.41296,0.0456285,3,2,13.1222,IsoFLOP budget,Porian et al. (2024),True
