mx,mc,hx,hc,loocv_rmse,design,hc_min
0.15,0.45,0.363986,0.627106,0.00699411,"Marin, Comma",0.549306
0.15,0.6,0.363986,0.836142,0.00637906,"Marin, Comma",0.549306
0.15,0.8,0.363986,1.11486,0.00596938,"Marin, Comma",0.549306
0.15,1,0.363986,1.39357,0.0057474,"Marin, Comma",0.549306
0.15,1.3,0.363986,1.81164,0.00561322,"Marin, Comma",0.549306
0.15,1.6,0.363986,2.22971,0.00558222,"Marin, Comma",0.549306
0.15,2,0.363986,2.78714,0.00557913,"Marin, Comma",0.549306
0.15,3,0.363986,4.18071,0.00559502,"Marin, Comma",0.549306
0.2,0.45,0.485315,0.627106,0.00606387,"Marin, Comma",0.549306
0.2,0.6,0.485315,0.836142,0.00554914,"Marin, Comma",0.549306
0.2,0.8,0.485315,1.11486,0.00528098,"Marin, Comma",0.549306
0.2,1,0.485315,1.39357,0.00515771,"Marin, Comma",0.549306
0.2,1.3,0.485315,1.81164,0.00508511,"Marin, Comma",0.549306
0.2,1.6,0.485315,2.22971,0.00506625,"Marin, Comma",0.549306
0.2,2,0.485315,2.78714,0.00506195,"Marin, Comma",0.549306
0.2,3,0.485315,4.18071,0.00506732,"Marin, Comma",0.549306
0.3,0.45,0.727972,0.627106,0.00531755,"Marin, Comma",0.549306
0.3,0.6,0.727972,0.836142,0.00496548,"Marin, Comma",0.549306
0.3,0.8,0.727972,1.11486,0.00479354,"Marin, Comma",0.549306
0.3,1,0.727972,1.39357,0.00472821,"Marin, Comma",0.549306
0.3,1.3,0.727972,1.81164,0.00469811,"Marin, Comma",0.549306
0.3,1.6,0.727972,2.22971,0.0046937,"Marin, Comma",0.549306
0.3,2,0.727972,2.78714,0.00469604,"Marin, Comma",0.549306
0.3,3,0.727972,4.18071,0.00470448,"Marin, Comma",0.549306
0.45,0.45,1.09196,0.627106,0.00488803,"Marin, Comma",0.549306
0.45,0.6,1.09196,0.836142,0.00467818,"Marin, Comma",0.549306
0.45,0.8,1.09196,1.11486,0.00457482,"Marin, Comma",0.549306
0.45,1,1.09196,1.39357,0.00454375,"Marin, Comma",0.549306
0.45,1.3,1.09196,1.81164,0.00453825,"Marin, Comma",0.549306
0.45,1.6,1.09196,2.22971,0.00454331,"Marin, Comma",0.549306
0.45,2,1.09196,2.78714,0.00455088,"Marin, Comma",0.549306
0.45,3,1.09196,4.18071,0.0045632,"Marin, Comma",0.549306
0.6,0.45,1.45594,0.627106,0.00486025,"Marin, Comma",0.549306
0.6,0.6,1.45594,0.836142,0.0046903,"Marin, Comma",0.549306
0.6,0.8,1.45594,1.11486,0.0046009,"Marin, Comma",0.549306
0.6,1,1.45594,1.39357,0.00457606,"Marin, Comma",0.549306
0.6,1.3,1.45594,1.81164,0.00457845,"Marin, Comma",0.549306
0.6,1.6,1.45594,2.22971,0.00458888,"Marin, Comma",0.549306
0.6,2,1.45594,2.78714,0.00460091,"Marin, Comma",0.549306
0.6,3,1.45594,4.18071,0.00461805,"Marin, Comma",0.549306
0.8,0.45,1.94126,0.627106,0.00506014,"Marin, Comma",0.549306
0.8,0.6,1.94126,0.836142,0.00488878,"Marin, Comma",0.549306
0.8,0.8,1.94126,1.11486,0.00479571,"Marin, Comma",0.549306
0.8,1,1.94126,1.39357,0.00476936,"Marin, Comma",0.549306
0.8,1.3,1.94126,1.81164,0.00477147,"Marin, Comma",0.549306
0.8,1.6,1.94126,2.22971,0.00478239,"Marin, Comma",0.549306
0.8,2,1.94126,2.78714,0.00479509,"Marin, Comma",0.549306
