C_b,cc,u,M,N,D,lnw_local,neff,lnw_chin_full,lnw_chin_M100,lnw_kappa_full,lnw_kappa_M100,design
3e+18,42.5451,1.0964,2.99338,4.08699e+08,1.22339e+09,-0.409908,27.6959,-0.423017,-0.397878,-0.424618,-0.419643,"Marin, Comma"
3e+18,42.5451,1.28996,3.63265,3.70999e+08,1.34771e+09,-0.316913,27.709,-0.335871,-0.331452,-0.33276,-0.340231,"Marin, Comma"
3e+18,42.5451,1.48352,4.40844,3.36777e+08,1.48466e+09,-0.224879,27.6579,-0.248725,-0.265027,-0.240902,-0.260819,"Marin, Comma"
3e+18,42.5451,1.67708,5.34991,3.05711e+08,1.63553e+09,-0.134775,27.5311,-0.161579,-0.198601,-0.149044,-0.181406,"Marin, Comma"
3e+18,42.5451,1.87064,6.49244,2.77511e+08,1.80173e+09,-0.0472758,27.3114,-0.0744336,-0.132176,-0.0571857,-0.101994,"Marin, Comma"
3e+18,42.5451,2.0642,7.87898,2.51913e+08,1.98481e+09,0.0373703,26.9816,0.0127121,-0.0657499,0.0346724,-0.0225821,"Marin, Comma"
3e+18,42.5451,2.25776,9.56162,2.28675e+08,2.18651e+09,0.119405,26.5306,0.0998578,0.000675766,0.12653,0.05683,"Marin, Comma"
3e+18,42.5451,2.45132,11.6036,2.07581e+08,2.40869e+09,0.199542,25.9577,0.187004,0.0671014,0.218389,0.136242,"Marin, Comma"
3e+18,42.5451,2.64487,14.0817,1.88433e+08,2.65346e+09,0.27887,25.2734,0.274149,0.133527,0.310247,0.215654,"Marin, Comma"
3e+18,42.5451,2.83843,17.089,1.71052e+08,2.92309e+09,0.358704,24.4977,0.361295,0.199953,0.402105,0.295066,"Marin, Comma"
3e+18,42.5451,3.03199,20.7385,1.55273e+08,3.22013e+09,0.440423,23.6556,0.448441,0.266378,0.493963,0.374478,"Marin, Comma"
3e+18,42.5451,3.22555,25.1674,1.4095e+08,3.54735e+09,0.525349,22.7724,0.535587,0.332804,0.585821,0.453891,"Marin, Comma"
3e+18,42.5451,3.41911,30.5422,1.27948e+08,3.90783e+09,0.614656,21.8693,0.622732,0.39923,0.677679,0.533303,"Marin, Comma"
3e+18,42.5451,3.61267,37.0648,1.16146e+08,4.30493e+09,0.709343,20.9607,0.709878,0.465655,0.769537,0.612715,"Marin, Comma"
9e+18,43.6438,0.0414001,1.04227,1.19965e+09,1.25036e+09,-0.960997,32.7418,-0.999893,-0.868293,-1.02701,-0.945365,"Marin, Comma"
9e+18,43.6438,0.400622,1.49275,1.00242e+09,1.49637e+09,-0.805886,34.153,-0.838162,-0.745015,-0.856533,-0.797986,"Marin, Comma"
9e+18,43.6438,0.759843,2.13794,8.37621e+08,1.79079e+09,-0.645537,35.1073,-0.67643,-0.621737,-0.686055,-0.650606,"Marin, Comma"
9e+18,43.6438,1.11906,3.06199,6.99913e+08,2.14312e+09,-0.482398,35.5953,-0.514698,-0.49846,-0.515578,-0.503227,"Marin, Comma"
9e+18,43.6438,1.47829,4.38542,5.84844e+08,2.56479e+09,-0.320814,35.5935,-0.352966,-0.375182,-0.3451,-0.355848,"Marin, Comma"
9e+18,43.6438,1.83751,6.28087,4.88693e+08,3.06941e+09,-0.164925,35.0678,-0.191234,-0.251904,-0.174623,-0.208469,"Marin, Comma"
9e+18,43.6438,2.19673,8.99555,4.08349e+08,3.67333e+09,-0.0160552,34.0199,-0.0295022,-0.128626,-0.00414552,-0.0610893,"Marin, Comma"
9e+18,43.6438,2.55595,12.8835,3.41215e+08,4.39606e+09,0.128755,32.5283,0.13223,-0.00534794,0.166332,0.08629,"Marin, Comma"
9e+18,43.6438,2.91517,18.452,2.85118e+08,5.26099e+09,0.275881,30.7153,0.293962,0.11793,0.336809,0.233669,"Marin, Comma"
9e+18,43.6438,3.27439,26.4272,2.38243e+08,6.2961e+09,0.432818,28.6735,0.455693,0.241208,0.507287,0.381048,"Marin, Comma"
9e+18,43.6438,3.63362,37.8494,1.99075e+08,7.53486e+09,0.606233,26.4394,0.617425,0.364486,0.677764,0.528428,"Marin, Comma"
9e+18,43.6438,3.99284,54.2085,1.66346e+08,9.01736e+09,0.800904,24.0408,0.779157,0.487764,0.848242,0.675807,"Marin, Comma"
9e+18,43.6438,4.35206,77.6382,1.38998e+08,1.07915e+10,1.01935,21.5722,0.940889,0.611042,1.01872,0.823186,"Marin, Comma"
9e+18,43.6438,4.71128,111.194,1.16146e+08,1.29148e+10,1.26255,19.1931,1.10262,0.734319,1.1892,0.970565,"Marin, Comma"
1.8e+19,44.3369,-0.87721,0.415942,2.68562e+09,1.11706e+09,-1.38642,30.5304,-1.47776,-1.25191,-1.52713,-1.38085,"Marin, Comma"
1.8e+19,44.3369,-0.394007,0.674349,2.1092e+09,1.42234e+09,-1.17679,34.4996,-1.26021,-1.08608,-1.29782,-1.1826,"Marin, Comma"
1.8e+19,44.3369,0.089196,1.09329,1.6565e+09,1.81105e+09,-0.969535,37.5784,-1.04266,-0.920257,-1.0685,-0.984357,"Marin, Comma"
1.8e+19,44.3369,0.572399,1.77251,1.30097e+09,2.30598e+09,-0.759034,39.5772,-0.825104,-0.754431,-0.839186,-0.786111,"Marin, Comma"
1.8e+19,44.3369,1.0556,2.8737,1.02174e+09,2.93617e+09,-0.547492,40.4737,-0.607552,-0.588605,-0.60987,-0.587866,"Marin, Comma"
1.8e+19,44.3369,1.5388,4.65902,8.02442e+08,3.73859e+09,-0.342254,40.2532,-0.39,-0.422779,-0.380554,-0.38962,"Marin, Comma"
1.8e+19,44.3369,2.02201,7.55347,6.30213e+08,4.7603e+09,-0.148822,38.9095,-0.172449,-0.256953,-0.151239,-0.191375,"Marin, Comma"
