spec,M_bin,delta,delta_bc,se,lo,hi,ratio,ratio_lo,ratio_hi,n_corpora
kappa_full,M<16,-0.0889058,-0.0729154,0.0112463,-0.0940671,-0.0517165,0.914932,0.910222,0.949598,3
kappa_full,16-64,0.0688576,0.0392237,0.00641904,0.0266115,0.0513755,1.07128,1.02697,1.05272,3
kappa_full,64-256,-0.0870443,-0.138508,0.0116799,-0.160672,-0.115689,0.916636,0.851572,0.890752,3
kappa_full,"256-1,024",-0.426963,-0.492369,0.0310171,-0.549397,-0.43318,0.652488,0.577298,0.648444,3
kappa_full,">=1,024",-1.02613,-1.10039,0.0882711,-1.26539,-0.931098,0.358392,0.282129,0.394121,3
kappa_full,M>=256,-0.547559,-0.614354,0.0385543,-0.682233,-0.539499,0.57836,0.505487,0.583041,3
chin_full,M<16,-0.0887414,-0.0870647,0.0126283,-0.1119,-0.0632201,0.915082,0.894134,0.938737,3
chin_full,16-64,0.0091412,-0.00371305,0.00851313,-0.02036,0.011944,1.00918,0.979846,1.01202,3
chin_full,64-256,-0.171187,-0.19281,0.0175479,-0.225906,-0.157487,0.842664,0.797793,0.854288,3
chin_full,"256-1,024",-0.531665,-0.556593,0.0320163,-0.614406,-0.494257,0.587626,0.540962,0.610024,3
chin_full,">=1,024",-1.15227,-1.17531,0.0827893,-1.32888,-1.01449,0.315918,0.264775,0.362589,3
chin_full,M>=256,-0.656392,-0.680537,0.0369299,-0.74841,-0.60772,0.518719,0.473118,0.544591,3
chin_M100,M<16,-0.0696835,-0.0576848,0.0108578,-0.0794948,-0.0383689,0.932689,0.923583,0.962358,3
chin_M100,16-64,-0.207008,-0.222899,0.0142581,-0.25161,-0.197019,0.813013,0.777548,0.821175,3
chin_M100,64-256,-0.533655,-0.564469,0.0271766,-0.614399,-0.512455,0.586458,0.540966,0.599023,3
chin_M100,"256-1,024",-1.02703,-1.06684,0.042831,-1.14676,-0.984722,0.358069,0.317664,0.373543,3
chin_M100,">=1,024",-1.72899,-1.77125,0.0806366,-1.92946,-1.61317,0.177463,0.145227,0.199255,3
chin_M100,M>=256,-1.1697,-1.20955,0.0440427,-1.29547,-1.12421,0.310459,0.27377,0.32491,3
kappa_M100,M<16,-0.056572,-0.0603954,0.0112695,-0.0831296,-0.0401097,0.944998,0.920232,0.960684,3
kappa_M100,16-64,-0.0444927,-0.0512202,0.00883811,-0.0679402,-0.0331949,0.956483,0.934316,0.96735,3
kappa_M100,64-256,-0.27431,-0.28208,0.0245383,-0.32495,-0.233062,0.760096,0.722563,0.792105,3
kappa_M100,"256-1,024",-0.678499,-0.682689,0.0361633,-0.751387,-0.61609,0.507378,0.471712,0.540052,3
kappa_M100,">=1,024",-1.32854,-1.32647,0.0718678,-1.46269,-1.18649,0.264864,0.231611,0.305289,3
kappa_M100,M>=256,-0.809471,-0.81203,0.0358971,-0.880953,-0.742762,0.445094,0.414388,0.475798,3
