sample,design,slope,se,se_unscaled,n_budgets,t,resid_var_scale,wald_equal_slopes,df,p_equal_slopes,wald_unscaled,p_unscaled
all budgets,Chinchilla,-0.0600423,0.0332171,0.0211371,9,-1.80758,2.46963,11.211,5,0.0473528,27.6871,4.1901e-05
all budgets,Farseer (local path),0.00138703,0.0114206,0.00726731,8,0.121449,2.46963,11.211,5,0.0473528,27.6871,4.1901e-05
all budgets,Llama 3,-0.0576213,0.0155395,0.00988831,8,-3.70805,2.46963,11.211,5,0.0473528,27.6871,4.1901e-05
all budgets,"Marin, Comma",-0.01482,0.0858941,0.0546572,5,-0.172538,2.46963,11.211,5,0.0473528,27.6871,4.1901e-05
all budgets,"Marin, DCLM",0.0178054,0.0638692,0.0406421,7,0.27878,2.46963,11.211,5,0.0473528,27.6871,4.1901e-05
all budgets,"Marin, Nemotron-CC",-0.0083329,0.0521983,0.0332155,7,-0.159639,2.46963,11.211,5,0.0473528,27.6871,4.1901e-05
budgets <= 3e20 (common window),Chinchilla,0.0179056,0.0587245,0.0467807,6,0.304909,1.57581,13.3205,5,0.0205533,20.9907,0.000813357
budgets <= 3e20 (common window),Farseer (local path),0.0382095,0.0170737,0.0136011,6,2.23792,1.57581,13.3205,5,0.0205533,20.9907,0.000813357
budgets <= 3e20 (common window),Llama 3,-0.0501406,0.0176218,0.0140378,6,-2.84538,1.57581,13.3205,5,0.0205533,20.9907,0.000813357
budgets <= 3e20 (common window),"Marin, Comma",-0.01482,0.068612,0.0546572,5,-0.215997,1.57581,13.3205,5,0.0205533,20.9907,0.000813357
budgets <= 3e20 (common window),"Marin, DCLM",0.0178054,0.0510186,0.0406421,7,0.348999,1.57581,13.3205,5,0.0205533,20.9907,0.000813357
budgets <= 3e20 (common window),"Marin, Nemotron-CC",-0.0083329,0.0416959,0.0332155,7,-0.19985,1.57581,13.3205,5,0.0205533,20.9907,0.000813357
