uid,model,dev,gen,fam_class,year,Cmp,M,Mstar_ref,M_over_Mstar,w_ref,w_sig060,sigma_meta_line,w_meta_line,sigma_pi_lower,w_pi_upper,s_ref,s_sig060,s_meta_line,s_pi_upper
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,Llama-2,common-D,2023,8.0861e+22,296.806,21.9615,13.5148,3.04338,5.67379,0.588396,6.18077,0.484958,15.884,0.671418,0.823751,0.838208,0.937044
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,Llama-2,common-D,2023,1.5619e+23,153.659,21.8575,7.03003,2.30158,3.66976,0.579109,4.1263,0.468358,9.14946,0.565516,0.727503,0.757652,0.890704
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,Llama-2,common-D,2023,8.2772e+23,28.9953,21.5961,1.34262,1.13421,1.21703,0.555585,1.26576,0.426313,1.48657,0.118328,0.178329,0.20996,0.327312
B:huggyllama/llama-7b,llama-7b,Meta,Llama,size-specific-D,2023,4.04305e+22,148.403,22.0716,6.72369,2.25816,3.56237,0.598174,3.59708,0.502434,6.60068,0.557162,0.719288,0.721997,0.8485
B:huggyllama/llama-13b,llama-13b,Meta,Llama,size-specific-D,2023,7.80952e+22,76.8293,21.967,3.49748,1.70775,2.30411,0.588887,2.39666,0.485835,3.76238,0.414434,0.565993,0.582753,0.734211
B:huggyllama/llama-30b,llama-30b,Meta,Llama,size-specific-D,2023,2.73243e+23,43.0386,21.7694,1.97702,1.33822,1.57522,0.571219,1.66801,0.454257,2.26791,0.252739,0.365167,0.400482,0.559066
B:huggyllama/llama-65b,llama-65b,Meta,Llama,size-specific-D,2023,5.484e+23,21.4442,21.6603,0.990024,0.995724,0.993338,0.561392,0.992198,0.436692,0.987151,-0.00429464,-0.00670623,-0.00786375,-0.0130166
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,Llama-3 herd,common-D,2024,6.34983e+24,212.604,21.2809,9.99036,2.67463,4.63861,0.526842,7.90177,0.37494,46.3868,0.626117,0.784418,0.873446,0.978442
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,Llama-3 herd,common-D,2024,7.22724e+23,1867.93,21.6172,86.4096,6.7262,19.5453,0.557498,34.4432,0.429733,371.425,0.851328,0.948837,0.970967,0.997308
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,Llama-3 herd,common-D,2024,3.79879e+25,38.4375,21.008,1.82966,1.29464,1.49594,0.501608,1.82259,0.329837,3.41258,0.227583,0.331523,0.451329,0.706967
B:Qwen/Qwen-72B,Qwen-72B,Alibaba,Qwen,size-specific-D,2023,1.30118e+24,41.5007,21.5257,1.92796,1.32392,1.54905,0.549204,1.71401,0.414907,2.52371,0.24467,0.354443,0.416574,0.603758
B:Qwen/Qwen-14B,Qwen-14B,Alibaba,Qwen,size-specific-D,2023,2.55011e+23,211.755,21.7803,9.72234,2.64372,4.55527,0.572193,5.47669,0.455998,15.08,0.621745,0.780474,0.817408,0.933687
B:Qwen/Qwen-7B,Qwen-7B,Alibaba,Qwen,size-specific-D,2023,1.11187e+23,310.827,21.9111,14.1858,3.10708,5.86008,0.583903,6.61953,0.476928,18.3359,0.678154,0.829354,0.848932,0.945462
B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,Qwen2,size-specific-D,2024,3.05366e+24,96.2779,21.3936,4.50031,1.90206,2.72581,0.53717,3.6546,0.393398,10.1688,0.474254,0.633136,0.726372,0.90166
B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,Qwen2,size-specific-D,2024,3.19856e+23,919.164,21.7447,42.2707,4.95495,12.1346,0.568997,17.0486,0.450286,96.625,0.798181,0.917591,0.941344,0.989651
B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,Qwen2,size-specific-D,2024,6.4836e+22,4534.52,21.9965,206.147,9.7539,34.8967,0.591511,39.6401,0.490526,253.258,0.897477,0.971344,0.974773,0.996051
B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,Qwen2,size-specific-D,2024,3.55704e+22,24289.9,22.092,1099.49,19.9496,106.527,0.59998,106.568,0.505663,939.872,0.949874,0.990613,0.990616,0.998936
B:01-ai/Yi-6B,Yi-6B,01.AI,Yi,common-D,2023,1.09099e+23,494.965,21.9141,22.5866,3.79048,7.99037,0.584171,9.19835,0.477406,30.3388,0.736181,0.874849,0.891285,0.967039
B:01-ai/Yi-34B,Yi-34B,01.AI,Yi,common-D,2023,6.19001e+23,87.2374,21.6414,4.03105,1.8146,2.53286,0.559684,2.99431,0.433639,6.17612,0.448915,0.60519,0.666033,0.838086
B:google/gemma-7b,gemma-7b,Google,Gemma,size-specific-D,2024,3.07357e+23,702.767,21.751,32.3097,4.41727,10.1443,0.56956,13.8251,0.451291,68.4144,0.773616,0.901422,0.927668,0.985383
B:google/gemma-2b,gemma-2b,Google,Gemma,size-specific-D,2024,4.51111e+22,1197.04,22.0542,54.2774,5.5138,14.3355,0.596628,14.8851,0.499672,54.5626,0.818637,0.930243,0.932819,0.981672
B:google/gemma-2-27b,gemma-2-27b,Google,Gemma-2,singleton,2024,2.12372e+24,477.465,21.4497,22.2597,3.76693,7.91309,0.542293,13.7194,0.402555,99.9758,0.734532,0.873627,0.927111,0.989998
B:tiiuae/falcon-180B,falcon-180B,TII,Falcon,size-specific-D,2023,3.76997e+24,19.4962,21.3611,0.912694,0.961704,0.940914,0.534197,0.923432,0.388085,0.86585,-0.0398214,-0.0627961,-0.0829172,-0.154935
B:tiiuae/falcon-40b,falcon-40b,TII,Falcon,size-specific-D,2023,2.51016e+23,23.9029,21.7828,1.09733,1.0405,1.06388,0.572416,1.07184,0.456396,1.11698,0.0389231,0.0600418,0.0670274,0.104728
B:tiiuae/falcon-7b,falcon-7b,TII,Falcon,size-specific-D,2023,6.49547e+22,207.837,21.9962,9.44875,2.61166,4.4694,0.591486,4.71683,0.49048,10.3095,0.617102,0.776257,0.787993,0.903002
B:microsoft/phi-2,phi-2,Microsoft,Phi-2,singleton,2023,2.33493e+22,503.654,22.1592,22.7289,3.80067,8.0239,0.605918,7.62608,0.516277,18.6655,0.736888,0.875372,0.868871,0.946425
B:microsoft/phi-1_5,phi-1_5,Microsoft,Phi-1.5,singleton,2023,1.27644e+21,105.763,22.6288,4.67381,1.93306,2.79542,0.646919,2.32006,0.589559,2.92559,0.482686,0.642272,0.568976,0.658188
B:mosaicml/mpt-30b,mpt-30b,MosaicML,MPT,common-D,2023,1.8e+23,33.3333,21.8351,1.52659,1.19821,1.32581,0.577107,1.36342,0.464781,1.62767,0.165419,0.245746,0.266549,0.385626
B:mosaicml/mpt-7b,mpt-7b,MosaicML,MPT,common-D,2023,4.2e+22,142.857,22.0656,6.47422,2.22196,3.47369,0.597636,3.51673,0.501474,6.40352,0.549947,0.712122,0.715645,0.843836
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,DeepSeek-LLM,common-D,2024,8.04e+23,29.8507,21.6006,1.38194,1.14829,1.24068,0.555995,1.29477,0.427046,1.54344,0.129139,0.19399,0.227661,0.352098
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,DeepSeek-LLM,common-D,2024,8.4e+22,285.714,21.9555,13.0133,2.99459,5.53256,0.587858,6.04347,0.483997,15.4199,0.666065,0.819252,0.834532,0.935149
B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,StableLM-alpha,common-D,2023,2.7e+22,500,22.136,22.5876,3.79055,7.99062,0.603869,7.72899,0.512614,19.3749,0.736186,0.874853,0.870617,0.948387
B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,StableLM-alpha-v2,singleton,2023,4.54701e+22,159.665,22.0529,7.2401,2.33073,3.74251,0.596517,3.81532,0.499472,7.27044,0.570949,0.7328,0.737899,0.862457
B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,StableLM-2,singleton,2024,1.97342e+22,1216.16,22.1861,54.8164,5.53713,14.4302,0.608291,13.1756,0.520518,39.9779,0.819401,0.930701,0.924102,0.974986
