scenario,n,median_w,median_s,share_w_gt1,n_decision_units,median_s_decision,median_s_family_level,median_s_members_sizespecific_singletons,w|OLMo-2-1124-7B,w|SmolLM2-1.7B,w|Meta-Llama-3-8B,w|Qwen3-0.6B-Base,w|Llama-3.1-405B,s_f|Llama-3 herd,sigma_min,sigma_max,sigma_median
"Reference (kappa-free Chinchilla, sigma* = 0.701)",77,3.98623,0.749137,0.974026,56,0.73571,0.629086,0.749137,3.98623,11.3419,6.7262,29.5632,1.29464,0.293748,0.701,0.701,
Constant sigma* = 0.7,77,4.00082,0.750051,0.974026,56,0.736637,0.630031,0.750051,4.00082,11.4149,6.76013,29.8287,1.29552,0.29434,0.7,0.7,
Constant sigma* = 0.65,77,5.70881,0.824832,0.974026,56,0.81294,0.710986,0.824832,5.70881,21.3117,11.0348,71.2437,1.38445,0.348801,0.65,0.65,
Constant sigma* = 0.624,77,7.02442,0.857639,0.974026,56,0.846781,0.749463,0.857639,7.02442,30.6751,14.686,118.389,1.43911,0.377891,0.624,0.624,
Constant sigma* = 0.596,77,8.96172,0.888414,0.974026,56,0.878795,0.787953,0.888414,8.96172,47.0495,20.5449,214.963,1.50608,0.409853,0.596,0.596,
Constant sigma* = 0.6,77,8.64322,0.884302,0.974026,56,0.8745,0.782647,0.884302,8.64322,44.1524,19.5453,196.733,1.49594,0.405245,0.6,0.6,
Constant sigma* = 0.55,77,14.1109,0.929133,0.974026,56,0.921694,0.844216,0.929133,14.1109,104.426,38.4114,653.45,1.63933,0.463887,0.55,0.55,
"sigma*(C_i): primary meta-regression line (linear drift, pooled)",77,10.6828,0.906392,0.974026,56,0.885986,0.815449,0.906392,10.6828,57.535,34.4432,297.112,1.82259,0.519147,0.501608,0.660591,0.577107
"sigma*(C_i) = PI lower bound, top-budget value + drift (drift of Chinchilla and Llama 3 (design FE, inverse variance))",77,44.9158,0.977736,0.974026,56,0.96253,0.918243,0.972172,41.259,513.423,371.425,6762.28,3.41258,0.749879,0.329837,0.595713,0.464781
"sigma*(C_i) = PI lower bound, top-budget value + drift (pooled drift (primary three-level meta-regression))",77,19.2957,0.948175,0.974026,56,0.932646,0.878219,0.948175,19.1931,157.259,82.1512,1218.83,2.11174,0.589832,0.446959,0.595713,0.522459
