panel,object,sigma_star,kappa,C,M_over_Mstar,value
b,pct_reducible_loss_above_frontier,0.6,0.5352,1e+22,5.0,7.56451804541729
b,pct_reducible_loss_above_frontier,0.6,0.5352,1e+22,10.0,15.316859061460853
b,pct_reducible_loss_above_frontier,0.6,0.5352,1e+22,0.2,7.698591622791806
b,pct_reducible_loss_above_frontier,0.7370283018867925,1.0000000000000002,1e+22,5.0,4.127757293213263
b,pct_reducible_loss_above_frontier,0.7370283018867925,1.0000000000000002,1e+22,10.0,8.491921233136868
b,pct_reducible_loss_above_frontier,0.7370283018867925,1.0000000000000002,1e+22,0.2,4.1678657197695035
b,pct_reducible_loss_above_frontier,0.85,2.0218666666666665,1e+22,5.0,2.046447114793626
b,pct_reducible_loss_above_frontier,0.85,2.0218666666666665,1e+22,10.0,4.214292140650366
b,pct_reducible_loss_above_frontier,0.85,2.0218666666666665,1e+22,0.2,2.0562982310418754
a,SmolLM2-135M:C,,,,,1.614180096e+21
a,SmolLM2-135M:M,,,,,14868.229424630446
a,SmolLM2-135M:Mstar_ref,,,,,22.590493832947104
a,SmolLM2-135M:M_over_Mstar,,,,,658.1630988051212
a,SmolLM2-135M:w_ref,,,,,16.020520283377447
a,SmolLM2-135M:s_ref,,,,,0.9375800546853912
a,SmolLM2-135M:N_total,,,,,134515008.0
a,SmolLM2-135M:N_nonemb,,,,,106203456.0
a,SmolLM2-135M:w_ref_nonemb_units,,,,,17.710444877817142
a,SmolLM2-360M:C,,,,,8.68370688e+21
a,SmolLM2-360M:M,,,,,11055.186607127853
a,SmolLM2-360M:Mstar_ref,,,,,22.31791281947621
a,SmolLM2-360M:M_over_Mstar,,,,,495.35038050154515
a,SmolLM2-360M:w_ref,,,,,14.187999867403722
a,SmolLM2-360M:s_ref,,,,,0.929517901794075
a,SmolLM2-360M:N_total,,,,,361821120.0
a,SmolLM2-360M:N_nonemb,,,,,314635200.0
a,SmolLM2-360M:w_ref_nonemb_units,,,,,15.05476859624965
a,SmolLM2-1.7B:C,,,,,1.12950841344e+23
a,SmolLM2-1.7B:M,,,,,6427.574964128989
a,SmolLM2-1.7B:Mstar_ref,,,,,21.908623742479037
a,SmolLM2-1.7B:M_over_Mstar,,,,,293.38104664541044
a,SmolLM2-1.7B:w_ref,,,,,11.341912093495042
a,SmolLM2-1.7B:s_ref,,,,,0.9118314450194396
a,SmolLM2-1.7B:N_total,,,,,1711376384.0
a,SmolLM2-1.7B:N_nonemb,,,,,1610713088.0
a,SmolLM2-1.7B:w_ref_nonemb_units,,,,,11.637468654462745
text,sigma_star_ref,,,,,0.7005534232668366
text,k_ref=1/sigma*-1,,,,,0.42744288556435484
text,sigma_min_over_mixes,,,,,0.6990432031214515
text,sigma_max_over_mixes,,,,,0.7020701829306192
text,a_ref,,,,,0.5036073384721135
text,gamma_ref(kappa*alpha*beta/S),,,,,0.16544260459011453
text,"Gopher_w_ref(280B,300B)",,,,,0.27655039075610555
