dataset,null,n_budgets,level_gap,se_level,slope_gap,se_slope,t_level,t_slope,F,df2,p_F
Chinchilla n=240,"A3 (this fit), design-consistent argmins",9,0.025776024103947352,0.045645188030344334,-0.017422624980988934,0.02270661504677885,0.5647040841810484,-0.76729292081166,0.45381456450922103,7,0.6526511629044517
Chinchilla n=240,"Hoffmann, design-consistent argmins",9,0.12237078324820495,0.045586796213920526,0.04168070840283723,0.02267756750519493,2.6843470787893935,1.8379708667293837,5.2919280731755745,7,0.03980555766112401
Chinchilla n=240,"Besiroglu, design-consistent argmins",9,0.027522796737778146,0.04564853386753069,-0.01612625033008543,0.022708279463999555,0.60292838358506,-0.7101484881605007,0.4339167554845675,7,0.6642783148790287
Chinchilla n=245,"A3 (this fit), design-consistent argmins",9,0.0005988323750558939,0.04688028899953508,-0.0754855817206212,0.023331666480562615,0.012773649391577612,-3.235327480079809,5.233753534739175,7,0.04074130098322511
Chinchilla n=245,"Hoffmann, design-consistent argmins",9,0.14539273725010557,0.05071641233711131,0.027399130133608895,0.02524085160293929,2.866778830562422,1.0855073578586498,4.698373543663062,7,0.05083832080667369
Chinchilla n=245,"Besiroglu, design-consistent argmins",9,0.04635860505499737,0.04875485830202879,-0.027835168607249692,0.02426461349718442,0.9508509853072078,-1.1471507102505296,1.1100361741439895,7,0.3813054291137147
Meta Llama 3 IsoFLOPs,"A3 (this fit), design-consistent argmins",10,-0.042455168050807755,0.041386509374519265,-0.06321961658111686,0.01791525770517045,-1.0258214256877252,-3.528814244344992,6.752419784246048,8,0.01915204352942481
"Marin 2026-03, Comma","A3 (this fit), design-consistent argmins",7,0.04496822193334234,0.018468609751850697,0.004734722145364409,0.012016871667762856,2.4348460732858452,0.3940062169479636,3.041858149794572,5,0.13668205771407166
"Marin 2026-03, DCLM","A3 (this fit), design-consistent argmins",7,0.03340494368531616,0.019902223775099027,0.002679918083794702,0.01294967364744376,1.6784528233026537,0.2069486966819208,1.4300158215554968,5,0.32274853137961335
"Marin 2026-03, Nemotron-CC","A3 (this fit), design-consistent argmins",7,0.03851714109796893,0.018725668767856318,-0.007472228311640723,0.01218413088477411,2.0569167155239767,-0.613275446751675,2.303506574095207,5,0.19541326818450427
(Mis)Fitting FineWeb/C4,"A3 (this fit), design-consistent argmins",22,0.06217375519415778,0.02631560966140135,0.00796929608479254,0.019427574506953146,2.362618840837713,0.4102054058235794,2.8751181310241116,20,0.07988914542921595
