n,scheme,estimator,vs,param,diff,sd_diff,z,p,lo,hi,corr,B
240,pairs,lad_log,huber,alpha,0.0003643843194935936,0.0033071858030001323,0.11017957296594595,0.9122669620436249,-0.006426213171534349,0.006232869582127554,0.9793263326198832,400
240,pairs,lad_log,huber,beta,-0.0013543603908096058,0.00396318128708996,-0.34173566453329474,0.7325498297857529,-0.007649587518827567,0.007723150732086981,0.9825948154956313,400
240,pairs,lad_log,huber,a,-0.0011851724103797423,0.0037907953372130713,-0.31264478953671526,0.7545505455961433,-0.006865256051133247,0.007444050253484786,0.9821375117752182,400
240,pairs,lad_log,huber,gamma,-0.00022479775331180063,0.0011983655206269429,-0.18758696694994556,0.8512004437385197,-0.002398200934276856,0.002143287605463109,0.9785265522062576,400
240,pairs,lad_log,huber,sigma_star,0.00026880595108425,0.0013035021314548275,0.20621826738728688,0.8366204191958373,-0.0022999985841329006,0.0024988667697977756,0.9793364435501211,400
240,pairs,lad_log,huber,Mstar_1e+21,0.12476116444138441,0.7120954830196343,0.17520285890922357,0.8609202379947145,-1.3828649099026387,1.4599605966119422,0.9799978286839606,400
240,pairs,lad_log,huber,Mstar_5.76e+23,0.3781867135501642,1.5856834250031473,0.23850076729496847,0.8114927203056777,-3.286092527174904,3.5529099086202405,0.9782343055633274,400
240,pairs,lad_log,huber,w_chin70b,-0.007795176338427634,0.031074314161108983,-0.25085594159898394,0.8019254888793168,-0.05516818613339497,0.06849322264260807,0.9829239866216596,400
240,pairs,gauss_log,huber,alpha,0.012942299561630177,0.010043812357673555,1.2885843642570796,0.19754262209535522,-0.00445742734064405,0.035413564978053674,0.7709048819144059,400
240,pairs,gauss_log,huber,beta,0.03871092845504598,0.017783521173050057,2.176786479930097,0.02949650227227958,-0.004232299168497834,0.06326887844314724,0.711697200967327,400
240,pairs,gauss_log,huber,a,0.015880153137980635,0.013676927116276294,1.1610907189146589,0.2456050086763123,-0.016539231073639426,0.03485439988995802,0.7315617402486297,400
240,pairs,gauss_log,huber,gamma,0.012371911091488719,0.004874327586846412,2.5381780093883854,0.011143128966244597,0.0010125054186269835,0.019592382391162025,0.7298814881569334,400
240,pairs,gauss_log,huber,sigma_star,-0.013758363959525566,0.005375287990022222,-2.5595584804133793,0.010480522076092335,-0.020824358926359355,-0.0005407988932017089,0.727153989823901,400
240,pairs,gauss_log,huber,Mstar_1e+21,-0.5520390732337397,2.1623596189709127,-0.255294756889911,0.7984954492074658,-4.070143459338035,4.129683157033843,0.7811218277891219,400
240,pairs,gauss_log,huber,Mstar_5.76e+23,-3.654028543457043,4.945974480424176,-0.7387883940605506,0.46003550033980367,-12.35758740532565,6.275049102399268,0.7488352188053761,400
240,pairs,gauss_log,huber,w_chin70b,0.09847232977494502,0.11193143416405772,0.879755812211021,0.378991607114773,-0.18070551090498768,0.2723729836740802,0.7499145224990309,400
240,pairs,nls_lev,huber,alpha,0.0103045899198842,0.00984939787517829,1.0462152154349507,0.29546167954226144,-0.0059877561835748805,0.03213151063294979,0.7779959348091596,400
240,pairs,nls_lev,huber,beta,0.06044818790369566,0.01996759898033135,3.0273137978801974,0.002467376737924097,0.010410532650794911,0.08495976374232131,0.664752587650898,400
240,pairs,nls_lev,huber,a,0.030676609940483157,0.014514070834545654,2.1135772513572313,0.034551390517737854,-0.004103715379230216,0.04984313070912947,0.6977617651533212,400
240,pairs,nls_lev,huber,gamma,0.01626594235712861,0.005106576063022998,3.185293268205913,0.0014460738198114574,0.00336747553258928,0.022967772345227233,0.7021326374892997,400
240,pairs,nls_lev,huber,sigma_star,-0.018716490627234128,0.005801112288654722,-3.226362410504983,0.0012537449533778322,-0.02594954884918455,-0.0037430293073143412,0.6903352961561757,400
240,pairs,nls_lev,huber,Mstar_1e+21,-3.112718050282165,2.291294776009324,-1.3584974237594554,0.17430589949982522,-6.886107423012633,1.9008135712624683,0.7479660521357246,400
240,pairs,nls_lev,huber,Mstar_5.76e+23,-7.5532834832985305,5.3180598094286555,-1.4203081112226181,0.15551800079015388,-17.861248736615746,1.6552330692481023,0.7052261576961905,400
240,pairs,nls_lev,huber,w_chin70b,0.255023831414394,0.13146806881551001,1.9398157568760714,0.052402085012013155,-0.04566905944085514,0.45165263565932956,0.7120550093436271,400
240,cluster,lad_log,huber,alpha,0.0003643843194935936,0.0037505585514184376,0.09715468096232914,0.9226035570750348,-0.007147550629861159,0.007357250959384965,0.9883402306198493,400
240,cluster,lad_log,huber,beta,-0.0013543603908096058,0.005148849526792737,-0.2630413617181873,0.7925186992543769,-0.009663487865074077,0.008376046398504465,0.993734686174996,400
240,cluster,lad_log,huber,a,-0.0011851724103797423,0.004626061813514117,-0.25619467662915735,0.797800518932685,-0.008703292415575378,0.008543135740690445,0.9946331410894405,400
240,cluster,lad_log,huber,gamma,-0.00022479775331180063,0.00159970452761428,-0.14052454652175853,0.8882455595914162,-0.003002153266212962,0.002586455425690872,0.9872083468254297,400
240,cluster,lad_log,huber,sigma_star,0.00026880595108425,0.0016570859644324176,0.16221605689377797,0.8711357156934089,-0.0027396783170577,0.0032870805665142205,0.9870474515624749,400
240,cluster,lad_log,huber,Mstar_1e+21,0.12476116444138441,0.7830222377648501,0.15933284959762728,0.8734066411000262,-1.329977750665637,1.5848577604623482,0.9936844608105272,400
240,cluster,lad_log,huber,Mstar_5.76e+23,0.3781867135501642,5.603862302929403,0.06748679626772203,0.9461941731130332,-5.375270074063279,8.48197774765073,0.9898939567860222,400
240,cluster,lad_log,huber,w_chin70b,-0.007795176338427634,0.03903890641556668,-0.19967711839692628,0.8417331102548217,-0.07422165246609533,0.083214393115073,0.993387668623045,400
240,cluster,gauss_log,huber,alpha,0.012942299561630177,0.011879265910271355,1.0894864766382302,0.275939415203055,-0.005173547021303975,0.03976728389960929,0.8815380947395626,400
240,cluster,gauss_log,huber,beta,0.03871092845504598,0.019139939227035174,2.022520970200719,0.043122559428214365,-0.012283676752540032,0.058716625688635615,0.9398839670563351,400
240,cluster,gauss_log,huber,a,0.015880153137980635,0.013575633197539901,1.1697541401500406,0.24209992373569622,-0.019184464214052486,0.03009493800119648,0.9515367173699216,400
240,cluster,gauss_log,huber,gamma,0.012371911091488719,0.0061238383775090765,2.0202870044589747,0.043353626008111025,-0.0013903103655792234,0.021396938472122456,0.9318352495496133,400
240,cluster,gauss_log,huber,sigma_star,-0.013758363959525566,0.006443087764509359,-2.1353680816379916,0.032730955754456385,-0.021997702113915874,0.001196262672336364,0.9296666142388434,400
240,cluster,gauss_log,huber,Mstar_1e+21,-0.5520390732337397,2.1817332830422744,-0.2530277543659965,0.8002467660036967,-5.039967536280664,3.577680495416663,0.9488283092595843,400
240,cluster,gauss_log,huber,Mstar_5.76e+23,-3.654028543457043,10.847357759100932,-0.33685885766893914,0.7362233012916948,-27.82382957548303,9.766807881580135,0.9623813329232197,400
240,cluster,gauss_log,huber,w_chin70b,0.09847232977494502,0.11531053049187108,0.8539751690925307,0.39311874779667055,-0.19095293245267303,0.24428530122975725,0.9421231617870215,400
240,cluster,nls_lev,huber,alpha,0.0103045899198842,0.01288884566992668,0.7994967263769571,0.4240024440964725,-0.01123741304347382,0.04040829469196845,0.869680549021718,400
