sample,scheme,param,sd_diff,corr,sd_huber,sd_lad
n240,pairs,alpha,0.0033071858030001323,0.9793263326198832,0.015614173424226436,0.016271727907547388
n240,pairs,beta,0.00396318128708996,0.9825948154956313,0.02118930355254467,0.021282488349304584
n240,pairs,a,0.0037907953372130713,0.9821375117752184,0.01961208965706249,0.02012883936909992
n240,cluster,alpha,0.0037505585514184376,0.9883402306198492,0.023546222778945254,0.024373104455479716
n240,cluster,beta,0.005148849526792737,0.9937346861749962,0.046066146337559934,0.04572428563753856
n240,cluster,a,0.004626061813514117,0.9946331410894405,0.04414335124416273,0.04464160786658074
n245,pairs,alpha,0.003823270366701424,0.9787631712458043,0.017729453802588044,0.018539640621670864
n245,pairs,beta,0.005092178386596504,0.9956291512296861,0.05354816354174301,0.05427279200188461
n245,pairs,a,0.004176505424738787,0.9922971648276036,0.032901945836672115,0.03355966306814119
n245,cluster,alpha,0.0035354033280269323,0.9918600227561377,0.027553406324645903,0.027764780512904094
n245,cluster,beta,0.004599185524908925,0.998816291173164,0.09262097020105103,0.09343615504023113
n245,cluster,a,0.004494516721017533,0.997787765100651,0.0657271260768911,0.06663427603568176
