dataset,lnC,C,lnNstar,Nstar,Dstar,Lstar,a_A2,lnG_A2,E_A1,lnK_A1,gamma_A1
llama_3,43.238291143120875,5.999999999999989e+18,19.239765379784547,226842245.42642462,4408349944.342021,0.9002564405934539,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,43.74911676688687,1.0000000000000033e+19,19.59799685339452,324565152.92814857,5135075813.378014,0.8780457701334319,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,44.84772905555498,3.0000000000000025e+19,20.31007027968088,661532902.6121457,7558203046.676706,0.8357120397927975,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,45.540876236114926,6.000000000000016e+19,20.580639911111287,867078359.8506167,11532983018.65458,0.8126300080952786,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,46.05170185988092,1.0000000000000079e+20,20.807442375054958,1087820918.705897,15321149262.779339,0.7968199056900511,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,47.150314148549015,2.999999999999974e+20,21.40414680277974,1975617417.2607305,25308543831.99683,0.7640781324092707,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,47.84346132910897,6.000000000000001e+20,21.615713350454712,2441096963.565728,40965189622.754395,0.7481307441459677,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,48.354286952874965,1.0000000000000055e+21,21.8392084101083,3052443975.414985,54601056729.963066,0.7360427550431972,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,49.45289924154307,3.0000000000000094e+21,22.351220636214318,5093446937.313577,98165349743.23601,0.711738219333462,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
llama_3,50.656872045869015,1.00000000000001e+22,22.66857911536665,6995823152.197386,238237392570.90628,0.6931157756471897,0.4632208729054041,0.24434555151130183,0.5731580995187046,4.537099444779388,0.13642709824790128
marin_202603__comma__llama_2,42.545143962560935,3.00000000000001e+18,19.6253836950512,333576804.4649808,1498905179.5790923,3.9160480468897916,0.4049294587482617,3.052993745369193,0.12528496312365994,3.4061727233553216,0.0509145935312626
marin_202603__comma__llama_2,43.64375625122904,9.000000000000009e+18,19.952848876109194,462820050.2379075,3241000469.251371,3.69941893419994,0.4049294587482617,3.052993745369193,0.12528496312365994,3.4061727233553216,0.0509145935312626
marin_202603__comma__llama_2,44.33690343178899,1.8000000000000051e+19,20.20926252540137,598096413.4362705,5015913709.905018,3.573514598584701,0.4049294587482617,3.052993745369193,0.12528496312365994,3.4061727233553216,0.0509145935312626
marin_202603__comma__llama_2,44.84772905555498,3.0000000000000025e+19,20.47881359639101,783133389.4879581,6384608378.48989,3.49088912053773,0.4049294587482617,3.052993745369193,0.12528496312365994,3.4061727233553216,0.0509145935312626
