object,A2_A1,A2_A1_se,A2_A1_rse,A2_A1_se_wild,A2_A1_rse_wild,A2_se_ols,A2_A1_Efixed,A3_analytic,A3_analytic_se,A3_analytic_rse,A3_analytic_se_wild,A3_design_se_wild,A3_design,A3_design_se,A3_design_rse,dataset
a,0.4632208729054041,0.011161165076638063,0.006057887866116812,0.45094152686119565,0.08934289278630358,0.018194145185045876,0.4632208729054041,0.526819450663199,0.02382404315186216,0.023356522472290243,0.021551066329891528,0.021932790288826096,0.5264404894865206,0.024042409427552598,0.023773498737289518,Meta Llama 3 IsoFLOPs
lnNstar_ref,20.749802992213134,0.018806715242813674,0.015421763988044743,0.435658058906177,0.15353269625801608,,20.749802992213134,20.754312866309416,0.05614323602165001,0.05405766476050617,0.05112239164611949,0.04891203880728759,20.752450796383307,0.054179725441807304,0.052160129494224224,Meta Llama 3 IsoFLOPs
gamma,0.13642709824790128,0.005985350494469873,0.0029366955413043577,0.0207321674684718,0.010964129498373717,,0.15138318151636948,0.14936239724288242,0.0052435230885176706,0.004894629017535545,0.004365982672550982,0.004357408307781596,0.14946680911919408,0.005231402083593484,0.0048859029777168555,Meta Llama 3 IsoFLOPs
Lstar_ref,0.7958120938182969,0.00031476050542801316,0.00026528991771769853,0.0012546636449195902,0.000676727800828053,,0.7947453965363603,0.7966759919622859,0.0003489116681313269,0.00034217358661277233,0.00029011808217244475,0.00029074647846667225,0.7966444854770256,0.00034795242637840747,0.0003381481066974678,Meta Llama 3 IsoFLOPs
a,0.4049294587482617,2.8124778425301273,0.03195771331571196,0.06219090797435073,0.03223692658605518,0.013405621381796585,0.4049294587482617,0.3445042756857399,0.026773988026490073,0.02640246131858616,0.02468332936744763,0.01798951813787877,0.40019473660289717,0.024331924489793256,0.02495109323239542,"Marin 2026-03, Comma"
lnNstar_ref,20.709998673096802,1.6136348772191533,0.04392034545757419,0.042727586689727835,0.03147071187513038,,20.709998673096802,20.6214755745943,0.03425229645966109,0.033678075462500394,0.03272536968007229,0.030290308453483135,20.663225436053832,0.0492875375385057,0.04958880871690417,"Marin 2026-03, Comma"
gamma,0.0509145935312626,0.01744279352665213,0.010520480561720811,0.04828748795566175,0.046900294620700556,,0.21439146103891724,0.22936518545031453,0.017898495921835064,0.02041825412823698,0.0171990166353144,0.014252398425714147,0.19737461379594765,0.0177431086998756,0.018287495005298835,"Marin 2026-03, Comma"
Lstar_ref,3.3993581948745852,0.06622862135071146,0.005505952274789785,0.0067578674169158715,0.007820765397794352,,3.3766156937615985,3.38442086953631,0.008140202846816155,0.008384474760257407,0.006348225888648217,0.006437675275321205,3.38387655410839,0.009428268305563004,0.008731604457057448,"Marin 2026-03, Comma"
a,0.4235790714857159,0.0471870690789275,0.03017207807361886,0.08039747059002485,0.03177770063066499,0.014092924030589692,0.4235790714857159,0.37117687075037675,0.020428089521898715,0.019558129769350435,0.016735614710215823,0.011222073883911,0.42089915340192136,0.017568770260817244,0.014552689153560571,"Marin 2026-03, DCLM"
lnNstar_ref,20.81534556712738,0.06461215718379422,0.0344032747422788,0.04910476935182931,0.028286967521999804,,20.81534556712738,20.742201854971242,0.02446475823205529,0.018651101864353453,0.017145184870360358,0.019054752170781245,20.78091895997686,0.03323497947634266,0.035560809893552314,"Marin 2026-03, DCLM"
