experiment,label,likelihood,LR,LR_p,n_loss,n_argmin,E,A,B,alpha,beta,a,gamma,sigma_star,G,K,lnG,lnK,Mstar_1e+21,Mstar_5.76e+23,Mstar_1e+26,w_chin70b,se_E,se_A,se_B,se_alpha,se_beta,se_a,se_gamma,se_sigma_star,se_Mstar_1e+21,se_Mstar_5.76e+23,se_Mstar_1e+26,se_w_chin70b
llama_3,Meta Llama 3 IsoFLOPs,laplace,7.3964227563832265,0.024767787079910467,133,10,0.5911315881455546,44.83045924438748,111.97971273683903,0.2928342733259764,0.297406561615067,0.5038732395476733,0.14755135395134852,0.7721289746578804,0.20655426755392453,141.1995668420009,-1.5771921042347936,4.950174257363225,16.341184255967615,15.556072977663192,14.946900086315251,1.0770279410770702,0.00815766618270792,13.036784355515788,42.63964040738633,0.014685478932537886,0.015600350744742452,0.017933276133193447,0.005260938169152189,0.006266582351250197,2.3827855693303386,5.801874428476051,8.94104247475693,0.12593585952359787
llama_3,Meta Llama 3 IsoFLOPs,gauss,3.829981466879256,0.147343197944475,133,10,0.6024920369901287,63.770718375556264,130.79830790994876,0.314040332137918,0.30505763203395264,0.4927453322221945,0.1547419077904667,0.7636216847781705,0.3284202064519609,183.59435118845641,-1.1134613732968757,5.212728710765672,18.219894148293715,19.980104052665602,21.53240438058422,1.0002155065636698,0.0060330366812846765,10.879096732770225,31.533299787202804,0.01034378995724271,0.011596790558662648,0.010720631368205204,0.004396661160796283,0.005134323893648738,1.7774850605698815,4.487919084978493,7.507246362394913,0.07055192232375328
marin_202603__comma__llama_2,"Marin 2026-03, Comma",laplace,2.3385727727923,0.3105885023820684,85,7,2.7269916716123204,280345.8373846523,1703.45206399309,0.6791365276017776,0.3607870552231014,0.3469361222129888,0.23561699333935515,0.6579112749082595,248.5626969015448,19081.676872544565,5.515695115128701,9.8564838275422,25.09558168520853,175.64638091113636,851.6007679972242,0.3220578430536242,0.06626440166642066,858648.3280147898,1774.1296974837078,0.044928223107611846,0.035835949589608174,0.023264542894011517,0.01742822962022713,0.013842840471101755,4.822018076282394,90.96565094123251,750.661340205023,0.08714787661630913
marin_202603__comma__llama_2,"Marin 2026-03, Comma",gauss,-1.349318469369442,1.0,85,7,2.7887469849828306,752859.6093629296,3539.0122014823087,0.731852199715658,0.39823978457798204,0.3523959023803716,0.25790171632785924,0.638958858089704,196.66022881802718,44773.56265228053,5.281477512872269,10.709373124845373,24.11139808994026,157.4424114384134,721.5449138386856,0.3105798185697177,0.043483561847668474,531212.4621744989,2240.031811962704,0.03956704537590779,0.028039818216735905,0.01496886008079278,0.014693063729224326,0.012236382214280033,2.829532799050605,47.596575851327856,338.928315296819,0.059219131643780246
marin_202603__dclm__llama_2,"Marin 2026-03, DCLM",laplace,1.3641318835772016,0.505571431556012,85,7,2.5901836339388145,377322.5664331237,4235.764715205397,0.6898522157680833,0.4066814120570783,0.3708791064289386,0.25585177335209014,0.6458835072960898,97.1469039356121,43296.036110816596,4.576224306407875,10.675816365015265,17.67129723913721,91.22730963265823,345.523322906335,0.4338826456315884,0.042432127519499756,503232.8278466988,5783.865627067148,0.03920316948340229,0.03164055830632825,0.01845546331441558,0.014783252308842794,0.011886179022008255,2.34740733271033,30.810170856346083,179.7455001647058,0.10473150853804968
marin_202603__dclm__llama_2,"Marin 2026-03, DCLM",gauss,-0.6077646946994973,1.0,85,7,2.6896885403493367,1225169.4856648594,14435.280562769507,0.7536176462311857,0.47004378815280573,0.3841289550727996,0.2894863589712081,0.6204125466364862,55.433163045452375,154733.21160579575,4.015178025585929,11.949457697461654,15.802076837268212,68.93189922158318,227.73229272540482,0.46766886639528416,0.041545965133128464,3219895.221272301,17347.225621710106,0.052136993896051205,0.03711454957036948,0.016083942682570893,0.01946259534368047,0.015382986832464026,1.974452728361067,23.3096420389432,124.74489423993413,0.10109498244574318
marin_202603__nemotron__llama_2,"Marin 2026-03, Nemotron-CC",laplace,1.3481825697566445,0.5096193090312564,88,7,2.5352103267305295,219241.001373296,4063.39054040389,0.6615341305350381,0.40416796022836116,0.3792504150375099,0.25088709356689143,0.6523791095115751,66.99592504264113,35809.83992205168,4.204631797282252,10.485977992780077,17.039737942903116,79.08655347730296,274.7633235714908,0.47939872571523306,0.05010605068510049,193541.2603719955,4913.833340901899,0.03541821314078453,0.03425058151451496,0.017668632411575257,0.015918391021911983,0.012816609614705045,2.1556545845757666,24.306731659359105,126.92566263409111,0.10524156291529348
marin_202603__nemotron__llama_2,"Marin 2026-03, Nemotron-CC",gauss,0.14638470779010015,0.929422034881818,88,7,2.593086836516246,364510.4834689508,7367.771793600701,0.6896772355898988,0.4355316661378786,0.38706738408229113,0.26695156344088816,0.6399572197859466,48.22175412458713,65017.319982429035,3.875810249623256,11.082408974651415,15.882780988240233,66.74365896870462,213.92064851789394,0.5062979358459061,0.04243623141985389,218492.203227627,5919.619783372763,0.03560333502520185,0.03061347042112636,0.014661759773602163,0.014908446272150195,0.012138181597270615,1.7710302208060398,18.66982819116461,90.1947469395,0.09138787884129757
misfitting__fineweb_c4__transformer,(Mis)Fitting FineWeb/C4,laplace,9.861768553520825,0.007220115876998536,176,22,2.7025876842115903,52746.94967948,1713813.667731664,0.6312000564508353,0.7092138844914012,0.5291006478139606,0.33396835876834546,0.5987281921820313,0.06829792164389611,542476.7329548273,-2.683875942679573,13.20390047491448,14.264193671336322,9.853421517960033,7.2986199298114895,1.6084208642071383,0.03679786714101464,85475.5684496724,1785975.7394891202,0.04386257255787754,0.03563532758229858,0.01856963312069315,0.016194288258091362,0.011135694373260813,3.2323396938763125,5.466073727142415,6.889069645835753,0.4761865393986591
misfitting__fineweb_c4__transformer,(Mis)Fitting FineWeb/C4,gauss,11.959903502085442,0.0025289483084045485,176,22,2.6933314113716285,42687.19228066871,1569815.967607922,0.6194543761903456,0.7047445367419348,0.5322044368556097,0.3296763674381259,0.6016487136853664,0.059625295245607286,460027.7274320134,-2.819675378077593,13.039042043674806,14.01755964136676,9.308435836202852,6.6777175262029305,1.660735197762467,0.04281440249287226,213571.62651774212,1621527.9786442248,0.06827221564113899,0.03134563975992563,0.02607971719130409,0.02126375919530985,0.014326046679211543,4.8763970728519705,8.699037972795397,11.767512235205809,0.6706551554103496
