experiment,label,n,n_budgets,approach,E,A,B,alpha,beta,a,gamma,sigma_star,G,K,lnG,lnK,Mstar_1e+21,Mstar_5.76e+23,Mstar_1e+26,w_chin70b,se_strat_E,se_cluster_E,rse_cluster_E,se_strat_A,se_cluster_A,rse_cluster_A,se_strat_B,se_cluster_B,rse_cluster_B,se_strat_alpha,se_cluster_alpha,rse_cluster_alpha,se_strat_beta,se_cluster_beta,rse_cluster_beta,se_strat_a,se_cluster_a,rse_cluster_a,se_strat_gamma,se_cluster_gamma,rse_cluster_gamma,se_strat_sigma_star,se_cluster_sigma_star,rse_cluster_sigma_star,se_strat_Mstar_1e+21,se_cluster_Mstar_1e+21,rse_cluster_Mstar_1e+21,se_strat_Mstar_5.76e+23,se_cluster_Mstar_5.76e+23,rse_cluster_Mstar_5.76e+23,se_strat_Mstar_1e+26,se_cluster_Mstar_1e+26,rse_cluster_Mstar_1e+26,se_strat_lnG,se_cluster_lnG,rse_cluster_lnG,se_strat_lnK,se_cluster_lnK,rse_cluster_lnK,Mstar_3.8e25,rse_strat_a,rse_strat_gamma,rse_strat_alpha,rse_strat_beta,rse_strat_lnG,rse_strat_E,path_resid_sd,meta_repro_D_coef,meta_repro_D_exp,meta_pub_D_coef,meta_pub_D_exp,meta_pub_Dstar_3_8e25,meta_repro_Dstar_3_8e25
llama_3,Meta Llama 3 IsoFLOPs,133,10,A3 primal (Huber-LSE),0.5941934045812454,38.328998634688105,160.22630633424092,0.2835172411627058,0.31565624887207494,0.526819450663199,0.14936239724288242,0.7694753765641235,0.07680612228932081,150.61740772111884,-2.5664709246969015,5.014742897803541,13.94859842914472,9.918923532689208,7.522047382347353,1.234206055001499,0.008368350171043194,0.016057320146575977,0.011582834516995552,13.775842598067458,407.3667916533613,19.738173133602068,50.712363863127116,160.74247840865021,73.01584045083132,0.017916770591314135,0.05030444445956395,0.02110566626067427,0.017142286570078113,0.02400473797877271,0.01871111837822537,0.023824043151862165,0.03194532879194638,0.022533849604731492,0.005243523088517673,0.015210566011138222,0.008450615453969659,0.006074328288150296,0.017717962142975278,0.010217234021763498,3.3508451021630394,2.709884521260578,2.510169624065405,7.7698896504165225,15.227293761410722,5.410265345909182,12.369907082900712,55.224137267529905,6.9232048365691385,1.0051951371846055,1.418136826685558,0.9660537080968327,0.1907277484665135,0.5922386236622633,0.3177668641271893,7.922751073737393,,,,,,,,,,,,,
llama_3,Meta Llama 3 IsoFLOPs,133,10,"A2 argmins + A1 frontier (alpha, beta via kappa = 1)",0.5731580995187046,,,0.29451846025893896,0.2541587244391098,0.4632208729054041,0.13642709824790128,0.7847208002675895,1.2767854494120627,93.41943851996822,0.24434555151130183,4.537099444779388,18.847252160906056,30.08152849954143,43.958140425336374,,0.01227874403084725,,,,,,,,,0.013679629043929973,,,0.013023006392793366,,,0.011161165076638061,,,0.0059853504944698726,,,0.007578754259540193,,,,,,,,,,,,0.48803210107097283,,,0.21433610545741924,,,40.93821731216022,0.006057887866116812,0.0029366955413043577,0.008975323601559787,0.006604915666966595,0.26960633166570863,0.00418888881059429,0.13291297986699185,0.2993551447462768,0.5367791270945963,0.299,0.537,16293522313716.691,16102030192194.871
marin_202603__comma__llama_2,"Marin 2026-03, Comma",85,7,A3 primal (Huber-LSE),2.700928990775179,216045.49580616856,1393.164471712563,0.6657832765464533,0.34991103212803176,0.3445042756857399,0.22936518545031453,0.6631971928477981,270.2423348124388,15077.518291878112,5.599319092795845,9.620960058514797,26.62657263405216,192.21313171698822,955.5920123684616,0.3158619865321957,0.06944999231838167,0.08319286517948109,0.08393127103550113,959117.9887970153,8224047.416526008,1269797.4883870562,1975.828987395777,4212.457195442223,1195.9290780784409,0.04828480647004184,0.08467619450268843,0.08184373319773877,0.03846050970570165,0.03814277308125621,0.03426958537708891,0.026773988026490086,0.02569180877762471,0.02142732087890386,0.017898495921835064,0.02292483820217174,0.017417450252618823,0.014146946125805028,0.02166341770777841,0.018326513810067533,5.4175304193433265,5.305062649675406,4.12324044665728,101.47016720688937,158.31536118411844,92.0021038062713,826.9892990277903,1902.8360527068528,758.1227130035163,1.140913676033287,1.110486351015201,0.9115036442697322,0.6795099355107371,0.8783158259240021,0.6967030582924918,707.2758069466041,,,,,,,,,,,,,
marin_202603__comma__llama_2,"Marin 2026-03, Comma",85,7,"A2 argmins + A1 frontier (alpha, beta via kappa = 1)",0.12528496312365994,,,0.1257369461057547,0.08556060164592103,0.4049294587482617,0.0509145935312626,0.904446351886696,21.17865310487807,30.14963217773482,3.052993745369193,3.4061727233553216,15.60297949207113,52.24891265582115,139.28775871538141,,0.5783278043886289,,,,,,,,,0.05268509818396573,,,0.029549053257130083,,,2.8124778425301287,,,0.01744279352665213,,,0.03317409216953307,,,,,,,,,,,,124.25117679405872,,,0.7598760530402241,,,115.88108379869946,0.03195771331571196,0.010520480561720811,0.033490674854420775,0.015463609845548853,1.317956800981938,0.6820419937778018,0.05451032240937763,,,,,,
marin_202603__dclm__llama_2,"Marin 2026-03, DCLM",85,7,A3 primal (Huber-LSE),2.5879630379510643,347108.3432662601,4082.8716879365948,0.6858168381481563,0.404818678020824,0.37117687075037675,0.2545593478917503,0.6471160994354697,95.29555664423823,41077.38594964719,4.556983184643886,10.62321302885441,17.862340665177918,91.8651720143589,346.8723322195276,0.43418575397657005,0.04251241406852976,0.06625706872927913,0.05916291449171842,508075.1611400653,3088257.2668362893,510918.8867381585,6084.916146731136,6952.143112791389,2515.6202394193815,0.03991471205584542,0.06144621331454322,0.052460210538331595,0.032359563299988715,0.0342337065199873,0.02949386647888715,0.02042808952189871,0.018000805980442094,0.015769187606224852,0.014470349650790321,0.0196483977398217,0.01585179585126545,0.011604594237998006,0.017115651700107103,0.014479490739168384,2.621480483475229,2.7052312278178134,1.9557860141702883,35.30432716288374,46.64026243296142,31.40931116067142,213.1655274246705,341.5599350017093,187.33576475015002,0.8752564863186143,0.7718956104942806,0.6659990934382964,0.5583387960152483,0.7543445633927526,0.63056695702477,270.33512402055885,,,,,,,,,,,,,
marin_202603__dclm__llama_2,"Marin 2026-03, DCLM",85,7,"A2 argmins + A1 frontier (alpha, beta via kappa = 1)",1.0054982265346226,,,0.17885470644327722,0.1314301871053877,0.4235790714857159,0.07575911048609366,0.8656940992796529,10.434542559090017,60.31579472751171,2.345121702394355,4.099594005213583,11.31874005202339,29.902409489707434,65.76689996069771,,0.6211036881909482,,,,,,,,,0.08424695608668825,,,0.06450184772497745,,,0.0471870690789275,,,0.033743517097572125,,,0.04249617835750199,,,,,,,,,,,,2.074728826109675,,,1.1854188314566239,,,56.72581126305419,0.03017207807361886,0.022738059133609313,0.05928183461957883,0.031902451184914804,1.2251307021257294,0.7779500376071022,0.05730505216576215,,,,,,
marin_202603__nemotron__llama_2,"Marin 2026-03, Nemotron-CC",88,8,A3 primal (Huber-LSE),2.520236086114886,143077.05148488874,3798.249528877809,0.6392516314921384,0.40037281259625995,0.3851129269544345,0.24618406686433494,0.6579760219686652,51.44950793480003,29921.175019309463,3.940600898284859,10.306321703353031,16.737692228157755,72.10565010274506,235.81222075805698,0.512184678953415,0.05272982134161412,0.0772570780669689,0.07333923309871013,238264.68639202602,2699793.566378235,453907.7399504318,6001.466134478196,13069.094005944267,2441.2365975246985,0.03685357936090114,0.07866742012950352,0.07462646241820525,0.037282184065573924,0.04036773492030294,0.030965379510752702,0.020998629163788814,0.020426568728411396,0.018237154754638822,0.016253660248522327,0.024827203896376243,0.016122400602367883,0.013038139577840745,0.022352772586940156,0.018529144059693317,2.495835808786681,2.6977411546744983,1.942376202478323,27.30026102476913,38.59053242638366,28.121207130240226,144.4744291441793,247.49862417097572,155.33487772689813,0.8989652047330774,0.8774104279228415,0.785132652095536,0.6241760941147595,0.946894998676112,0.6216841631025958,188.80410954809497,,,,,,,,,,,,,
marin_202603__nemotron__llama_2,"Marin 2026-03, Nemotron-CC",88,8,"A2 argmins + A1 frontier (alpha, beta via kappa = 1)",0.882824288621672,,,0.17677375609541926,0.1292609404948972,0.4223734822719682,0.0746645469363178,0.8672896392049882,10.711564085005081,59.75103074307075,2.371323913479915,4.090186441592879,12.017043134541042,32.237517414181646,71.78980891037806,,0.5503914687736987,,,,,,,,,0.05189773680536057,,,0.03491256498116493,,,0.027970149528530316,,,0.020347601980582986,,,0.030140467532030618,,,,,,,,,,,,1.2236511281761688,,,0.6416484874485359,,,61.776446774356124,0.027389600873943733,0.01977865994261538,0.054058544160672066,0.03146067325505275,1.2126486113394905,0.6481754656950428,0.055412417689095064,,,,,,
misfitting__fineweb_c4__transformer,(Mis)Fitting FineWeb/C4,176,26,A3 primal (Huber-LSE),2.6915530169216764,35988.73545691655,1579616.855808167,0.6102097401327828,0.7047876477013286,0.5359612530197957,0.3270487769264502,0.6033187257823818,0.05051805370443512,415147.7612587165,-2.985424507490674,12.936389787067462,13.762608019139142,8.712930261046086,6.012958555389979,1.7285909285238557,0.03449198959953934,0.05791204196751543,0.054461555142842004,34506.80888922045,254201.71460006994,45693.209993338336,1545603.8752124372,3299532.174676725,1035191.0114029659,0.03679290770520142,0.05075681008451085,0.044832930462841404,0.03526199861807698,0.039966826654754366,0.030662138898474526,0.016941268080159128,0.018846051491842077,0.016773812589282937,0.01439948150018291,0.020204247790210052,0.016507676793078307,0.010290771293634914,0.013702565866310423,0.011041418969823332,3.0279815672513126,3.1019965693183944,2.9423992007075275,4.593535805012622,4.859003768597986,4.4934626515981835,5.455971469421202,5.785008403126191,4.781739347354626,0.6878365549920755,0.7742834925152943,0.6849192304097319,0.5358747053155358,0.7438032172587807,0.5869211809979821,6.446310602267655,,,,,,,,,,,,,
misfitting__fineweb_c4__transformer,(Mis)Fitting FineWeb/C4,176,26,"A2 argmins + A1 frontier (alpha, beta via kappa = 1)",1.9573077912575085,,,0.3198021596391199,0.34289024949834307,0.5174199142323614,0.16547200601179737,0.7511194282661693,0.11602602992611216,1202.7164597381363,-2.15394071713401,7.092337993878645,14.667746445932522,11.754136994390059,9.821193135315882,,0.8512357009753095,,,,,,,,,0.18121281643500808,,,0.20633411549790284,,,0.06363181993200084,,,0.08178372049591276,,,0.08747679332553396,,,,,,,,,,,,2.636808228684793,,,2.8443891248398896,,,10.157913704583216,0.04084817547752651,0.07773084434984925,0.18469910197892866,0.1300941805634939,1.6886367316446056,0.47148162200114613,0.10890915617547015,,,,,,
