sigma_star,S,obj,kappa,a,lnE,LR,dobj,sample,objective
0.5,2.0,0.01979317218656849,0.2778634791886132,0.49720119240490834,0.4912962153111473,343.6279336543668,0.015064927732386362,full (n=240),gauss
0.51,1.9215686274509802,0.018211776006176142,0.29367628717230937,0.4976818095012483,0.4987079370590618,323.6434646109351,0.013483531551994013,full (n=240),gauss
0.52,1.8461538461538458,0.016706053005663492,0.31032535479893597,0.4982071089809892,0.5058564180338118,302.93211045746995,0.011977808551481364,full (n=240),gauss
0.53,1.773584905660377,0.015279439885421665,0.3278549307362957,0.4987799792552857,0.512742328895288,281.5089945789177,0.010551195431239536,full (n=240),gauss
0.54,1.7037037037037033,0.013935086077612534,0.346300910749158,0.4994118275342986,0.5193501522819565,259.4054053729427,0.009206841623430405,full (n=240),gauss
0.55,1.6363636363636362,0.01267583727236593,0.36571473067349247,0.5001023586198317,0.5256869660671085,236.6744692830095,0.007947592818183802,full (n=240),gauss
0.56,1.5714285714285712,0.011504220689300697,0.38613824167980976,0.5008632484361173,0.5317411077049079,213.39840053319182,0.006775976235118568,full (n=240),gauss
0.57,1.5087719298245617,0.010422432072784732,0.40762796427019027,0.5016964752053331,0.5375194764343363,189.69754346740774,0.005694187618602603,full (n=240),gauss
0.58,1.4482758620689657,0.009432324939466238,0.43023718236269437,0.5026104147452954,0.5430180526494469,165.74127146793555,0.004704080485284109,full (n=240),gauss
0.59,1.3898305084745766,0.008535402126872699,0.45402610534481763,0.5036116649892394,0.548237793742972,141.76043709667871,0.00380715767269057,full (n=240),gauss
0.6,1.3333333333333335,0.0077328099839827445,0.4790631790710943,0.5047088109062214,0.5531832965969374,118.06039942912993,0.0030045655298006155,full (n=240),gauss
0.61,1.278688524590164,0.007025335332891613,0.5054218544976105,0.5059089037619151,0.5578570509249375,95.03255184613903,0.0022970908787094844,full (n=240),gauss
0.62,1.2258064516129035,0.0064134053799156775,0.533173528014702,0.5072221933643719,0.5622535315071111,73.16073794556043,0.0016851609257335486,full (n=240),gauss
0.63,1.1746031746031744,0.005897090617780767,0.5624173973543688,0.5086544659009131,0.5663860955021429,53.01723153248729,0.0011688461635986384,full (n=240),gauss
0.64,1.125,0.005476110825195011,0.5932530026774157,0.5102190695050516,0.570257845965602,35.241879190853595,0.0007478663710128817,full (n=240),gauss
0.65,1.0769230769230766,0.005149844018625383,0.625791849058418,0.5119228089906236,0.5738728031895346,20.498986631273496,0.0004215995644432542,full (n=240),gauss
0.66,1.0303030303030303,0.0049173383806185855,0.6601579320029597,0.5137806759025814,0.5772331174159457,9.41122135163559,0.00018909392643645662,full (n=240),gauss
0.67,0.9850746268656714,0.004777326878576883,0.6965013369882643,0.5158055495658411,0.5803480933378128,2.4785225707267173,4.9082424394754354e-05,full (n=240),gauss
0.68,0.9411764705882351,0.004728244454182129,0.7349824342975725,0.5180102411726046,0.5832201867824234,0.0,0.0,full (n=240),gauss
0.69,0.8985507246376816,0.00476824743122909,0.7757929207481683,0.5204088598442651,0.5858566683650827,2.021961666186561,4.0002977046961485e-05,full (n=240),gauss
0.7,0.8571428571428572,0.004895234876035072,0.8191516496970936,0.5230209208231866,0.5882643265066181,8.329986096886946,0.00016699042185294288,full (n=240),gauss
0.71,0.8169014084507045,0.005106871508200908,0.8653043822288554,0.5258652721030314,0.5904445316467173,18.487921232974077,0.00037862705401877934,full (n=240),gauss
0.72,0.7777777777777777,0.005400611816825477,0.9145483809271332,0.5289647696891311,0.5924058975685951,31.90998342960601,0.0006723673626433477,full (n=240),gauss
0.73,0.7397260273972601,0.005773724983876811,0.9672211226719777,0.5323447021890175,0.5941513071128813,47.94323225875486,0.0010454805296946819,full (n=240),gauss
0.74,0.7027027027027026,0.0062233202275203,1.0237260094841791,0.5360341304995759,0.5956860457787494,65.93989936645077,0.0014950757733381715,full (n=240),gauss
0.75,0.6666666666666665,0.0067463721969801185,1.0845348083511852,0.5400673017612723,0.5970128753145756,85.3082221995612,0.0020181277427979896,full (n=240),gauss
0.76,0.6315789473684212,0.007339746061651792,1.1502119320115796,0.5444858360720752,0.5981341037579846,105.54006317959453,0.0026115016074696627,full (n=240),gauss
0.77,0.5974025974025974,0.008000221970953195,1.221435349750411,0.5493326247107844,0.5990517761209684,126.21967329351038,0.0032719775167710657,full (n=240),gauss
0.78,0.5641025641025639,0.008724518620333762,1.2990323901689582,0.5546650309388372,0.5997676207607091,147.01999484098,0.003996274166151633,full (n=240),gauss
0.79,0.5316455696202529,0.009509315649078639,1.3839941355946093,0.5605495390104698,0.6002748690459062,167.69230332073536,0.00478107119489651,full (n=240),gauss
0.8,0.5,0.010351274687986106,1.4775816640755073,0.567062329427989,0.6005745171085664,188.0533651471474,0.005623030233803977,full (n=240),gauss
0.81,0.46913580246913567,0.011247058905920915,1.5813586829658395,0.5742996959878792,0.6006584452046266,207.97264358694096,0.0065188144517387865,full (n=240),gauss
0.82,0.4390243902439024,0.012193350927055759,1.697327740595832,0.582378090231779,0.6005165281832309,227.3608355798394,0.00746510647287363,full (n=240),gauss
0.83,0.4096385542168677,0.013186869066211731,1.8280950425184452,0.5914421239486842,0.6001339862585674,246.16022027925223,0.008458624612029602,full (n=240),gauss
0.84,0.38095238095238093,0.01422438185215602,1.9771256697322281,0.601667565065526,0.5994914879651534,264.33685002259045,0.009496137397973892,full (n=240),gauss
0.85,0.3529411764705883,0.015302720882804828,2.1491455507283828,0.6132936307850094,0.598555375536019,281.8743997897297,0.0105744764286227,full (n=240),gauss
0.86,0.32558139534883734,0.016418792062390882,2.3508099772204214,0.6266036161445744,0.5972890734811741,298.7694129659958,0.011690547608208753,full (n=240),gauss
0.87,0.29885057471264354,0.017569585451705422,2.5918383757733183,0.6419835949136665,0.5956344875616845,315.02767813167355,0.012841340997523293,full (n=240),gauss
0.88,0.27272727272727293,0.01875218398815532,2.887045118454389,0.6599246916304763,0.5935127102607124,330.6614982544976,0.014023939533973191,full (n=240),gauss
0.89,0.24719101123595522,0.019963771915651657,3.260730074543315,0.6811788734983475,0.5908007619314679,345.68765867655344,0.015235527461469528,full (n=240),gauss
