technology,w,se,lo,hi,Mstar_at_chin70b_C,lnN_gap
"Hoffmann A3, rounded (literature)",0.6213444142925475,,,,92.83242126136037,
"Hoffmann A3, TeX precision (literature)",0.7127988870971359,,,,59.185328063832586,
Besiroglu et al. published (literature),1.0305637099988985,,,,18.381682057701386,
"Huber-LSE refit, n240 (this module)",1.0402021033327846,0.14461200403179822,0.8303837110389961,1.4103561921070806,17.910742424854394,
"System (loss + argmin, laplace), n240",1.0275347724035082,0.12148820974947619,0.8442106045586847,1.3402466803153308,18.532558019147675,
"System (loss + argmin, gauss), n240",1.1293467065942724,0.13115826075574205,0.8923829886612122,1.3921961803152423,14.568450478081253,
"A2 path (parabola argmins), n240: ln N_70B - ln N*_A2(C_70B)",,,,,21.01055084573795,0.02464622961188212
"Huber-LSE refit, n245 (this module)",1.5417650344671137,0.5158422797603244,0.9796089549001312,3.136640625277325,6.797799518827656,
"System (loss + argmin, laplace), n245",1.449988304257352,0.6830900427609025,0.9879403856875569,2.8891080324319223,7.963343825166697,
"System (loss + argmin, gauss), n245",2.488333016636429,0.6526275083005402,1.4066800506283077,3.839567028694011,3.2256451887998523,
"A2 path (parabola argmins), n245: ln N_70B - ln N*_A2(C_70B)",,,,,24.94086271325562,0.11038762882478537
