k,n,Lmax_kept,dropped_maxM,huber_E,huber_A,huber_B,huber_alpha,huber_beta,huber_a,huber_gamma,huber_sigma_star,huber_Mstar_1e+21,huber_Mstar_5.76e+23,huber_w_chin70b,lad_E,lad_A,lad_B,lad_alpha,lad_beta,lad_a,lad_gamma,lad_sigma_star,lad_Mstar_1e+21,lad_Mstar_5.76e+23,lad_w_chin70b,gauss_E,gauss_A,gauss_B,gauss_alpha,gauss_beta,gauss_a,gauss_gamma,gauss_sigma_star,gauss_Mstar_1e+21,gauss_Mstar_5.76e+23,gauss_w_chin70b,huber_se_E,huber_lo_E,huber_hi_E,huber_se_A,huber_lo_A,huber_hi_A,huber_se_B,huber_lo_B,huber_hi_B,huber_se_alpha,huber_lo_alpha,huber_hi_alpha,huber_se_beta,huber_lo_beta,huber_hi_beta,huber_se_a,huber_lo_a,huber_hi_a,huber_se_gamma,huber_lo_gamma,huber_hi_gamma,huber_se_sigma_star,huber_lo_sigma_star,huber_hi_sigma_star,huber_se_Mstar_1e+21,huber_lo_Mstar_1e+21,huber_hi_Mstar_1e+21,huber_se_Mstar_5.76e+23,huber_lo_Mstar_5.76e+23,huber_hi_Mstar_5.76e+23,huber_se_w_chin70b,huber_lo_w_chin70b,huber_hi_w_chin70b
0,245,5.005581996196243,,1.8913384984442463,495.7260095775787,12845.612989990412,0.3493128937894458,0.4530492945435715,0.5646443727424693,0.19723755980459837,0.7136836231685306,15.503068934170866,6.8159456421668585,1.5417650221210324,1.890619004956795,497.999122123411,12652.138194452273,0.3495436091463687,0.45234770051566714,0.5641010135230335,0.19717790418996567,0.7138035630087449,15.518138906432487,6.869859848506831,1.5364980242322512,1.9918303268765427,749.5378612992104,370523.1822286081,0.37209787327938476,0.6120482480021507,0.6219079004296169,0.2314106071255078,0.6702084679221753,9.630639509809036,2.044657210148025,3.0791311455061603,0.04464710131602588,1.7976679150258896,1.9575149955252698,137.04943642308868,269.8395062840654,761.483896020419,59193.674820523906,1922.008538831547,207417.95739137958,0.017503727779392218,0.313933184623295,0.3752252075111984,0.05397821807866587,0.3612213804139523,0.5829838689360394,0.03204012388548042,0.5076316179779885,0.6224717209295584,0.011367162622836555,0.17505669029208898,0.21683070537825933,0.01428301905435332,0.683479695818437,0.7396392413545149,3.674176864352963,10.160930713473487,23.82443286588782,5.398759380957913,2.268031333380113,21.63964239648042,0.5031661363048017,0.9734803639263284,2.798263471673744
1,244,4.665232074214,0.03606833029110803,1.8549500686320384,463.6594195744611,5466.318787642307,0.34536298029344364,0.41224499660476216,0.5441402535023103,0.1879258996471878,0.7252662513145276,17.635479429754422,10.062265546229547,1.2981044894342957,1.847294108054474,434.70613189877486,5281.08283752277,0.34142363096258055,0.4106163147176567,0.5460033301106697,0.18641843948404532,0.7267336374020722,17.251102972219424,9.612572181995796,1.3181224092099535,1.980671563078745,739.883530828472,209678.02850722027,0.37179865638268017,0.5847325386453596,0.6113052472148791,0.2272824695541742,0.676468424673947,10.895552157371549,2.64697738084212,2.636358044286668,0.03847723992353859,1.795142605689721,1.932284076937536,131.73125044146138,285.00962133148715,796.7820077627292,9529.86121231497,1616.9592085711242,33416.22933222164,0.016014060097719038,0.3169060613315294,0.3774458037259918,0.04142027324451403,0.3522758129857743,0.49779128094080943,0.027263336560649994,0.4951401167661839,0.5967379967347191,0.009581129503587766,0.17404562976421675,0.20899999745609577,0.011422224513092393,0.7012038822459012,0.7416620211088191,3.6062719450653526,12.18248445721727,26.171280989945746,6.278039495112966,3.408661454274426,26.812711450926987,0.30525282087197136,0.9015354603035619,2.065507332717926
2,243,3.793872243318985,0.1732374538169388,1.8484216738149322,469.36243026348495,4523.954547216546,0.34613610447564763,0.4031350392054574,0.5380362537717513,0.18623377294722498,0.7274655337640227,18.406321425080147,11.349448056463217,1.2371895956588983,1.8483585932969362,456.774957523814,4696.31153950141,0.3445671308156659,0.40490617959487085,0.5402543012146445,0.18615387448035256,0.7274120437638911,18.183978945084846,10.900619080686065,1.2561537906904134,1.929115669185347,666.5986948021907,28438.02901732877,0.3666963750615885,0.48977042268302573,0.5718498650184313,0.20969527258171744,0.700165673754424,15.632981442555042,6.271477185051736,1.6452623210675446,0.034809490390849254,1.7895479747096936,1.9215898663982722,139.4682588205427,279.4710566519112,820.1602206752547,5559.353870975345,1613.0054902788197,23605.548777906755,0.016352180312666977,0.31552344191875314,0.37938721957450966,0.03453786543325224,0.3529361779951447,0.48302416708281154,0.02462817982826823,0.48996892150146387,0.5826176551936757,0.008391044289964577,0.1728371937615341,0.20545149033930465,0.009764861217070146,0.7060498798357194,0.7422579281050512,3.543742923320366,13.242647611484937,27.749213622108048,6.839027936815183,4.665781094274496,31.89311748543712,0.24414284944815537,0.8445515063819752,1.8354862562608225
3,242,3.7655629197937,0.3077575235197861,1.8318540127012084,478.3661218352759,2938.209743223486,0.34726706233159066,0.38246046408623874,0.524114070307454,0.18200755352232234,0.7326738587072692,19.963280871437245,14.692708872473657,1.1194974131482922,1.8288156360124572,482.4883762444386,2801.326947740636,0.34776622302012006,0.3799566703655146,0.5221172424544958,0.18157474138208027,0.7332123086438633,20.441936019942588,15.431784787878536,1.0993094570213544,1.9083256254586158,642.3074449656417,14865.793734115668,0.36467260946685875,0.4590438060542605,0.557283790154709,0.20322613396929906,0.7082864231714636,17.33065361676521,8.36681213571057,1.4331726326441896,0.029771306079542887,1.785825700032457,1.8962694931890478,120.25970720626236,293.9258860408885,715.6299857632471,3559.9382791145867,1514.0427931042184,15287.89577072365,0.014930369227869108,0.3183465873774653,0.3709567212737682,0.027621247121704703,0.3494122920020178,0.4604244111893632,0.021693619303568428,0.492542224862755,0.5791115684404499,0.006766720224167826,0.17226852488402097,0.1974146603207655,0.007757800187277096,0.7133387955621048,0.7435170273535224,3.303215712380688,13.92666323736855,27.101879118861042,6.367135984104435,5.399929554199068,29.362857290848638,0.20503815647794527,0.8690396122188685,1.6841446000535456
4,241,3.446995430227908,0.3077575235197861,1.820862711497666,478.3137992599448,2311.2138443957765,0.34733414341535696,0.37084276546237305,0.516366874064325,0.17935184589119785,0.7357872820815595,21.011041015461224,17.064304659738127,1.0589155321428716,1.8192102333038627,476.1628650636941,2241.6716305320897,0.3470402994328481,0.3693622760440848,0.515579212983968,0.17892676445530842,0.7362678927105824,21.077442856612876,17.290497959471494,1.0537711974715407,1.877974147477517,604.707158733333,6761.6904828757015,0.3613429742410659,0.42145917630722823,0.5383980818295245,0.19454636421396515,0.7187000339229797,19.799948003241777,12.152739619467395,1.2160489564590928,0.02806026668976779,1.7774684758239954,1.8932871638330204,128.0888805827637,286.01740119259836,755.1344312727556,2082.9553434908157,1142.4037118065319,8505.113384554033,0.01592067264770739,0.31639990253162226,0.374926379229877,0.024313325228428682,0.3368350731002787,0.43340631802998814,0.021614233536024353,0.48260266622108,0.568897098739676,0.006207642335424209,0.1706770600433178,0.19416455504694907,0.0069082819788185024,0.7195240197390861,0.7446417301704007,3.527710620237115,14.488978902968505,27.673001214014512,7.620276371695725,6.107498906509449,35.56195383192609,0.1853678146395556,0.8194819796932259,1.556901030629928
5,240,3.4059279641864753,0.4044518996859125,1.8172181024581464,477.82589637983915,2143.4172900154426,0.34731050246601725,0.3671724309236887,0.5138995121712991,0.17848269778925505,0.736788570448849,21.384525494106445,17.92101346875027,1.0402020674634807,1.8174480947909049,480.32337488952123,2119.503737688896,0.34758732904101586,0.3666661091584203,0.5133557495820393,0.1784359538450696,0.7368508672965879,21.383020332197916,18.044050174181248,1.037642015814981,1.8645500952994138,593.3221017223597,4875.637808258397,0.36025279819267014,0.4058833618548294,0.5297796697517385,0.19085460845365249,0.7230302068592518,20.832485587681706,14.266983211150981,1.1386744326250815,0.02464009028130922,1.7726737156948351,1.866895707714569,119.4536784719058,278.5825955637579,739.4326089761032,1226.1440584443326,1081.8290513276065,6160.833944505505,0.015082599398679414,0.31474857312346943,0.3726455832477373,0.020603779183879307,0.33352580080755784,0.41785898605315835,0.020187401424218245,0.481936304358966,0.5560326231662953,0.005182706285119633,0.1693089217665585,0.18929562141334985,0.005731329040490379,0.7241214908138742,0.7462970104959966,3.5308658866379505,15.683407040518539,28.67108124636783,7.643629904612204,7.663897273500122,35.66710193108823,0.16617799378606346,0.8150453739194484,1.4193219202758056
6,239,3.4059279641864753,0.45639240941944537,1.8129276051379275,478.3540297807116,1956.9537965217698,0.34741985464214226,0.36273941180195984,0.5107860010308148,0.17745719823136683,0.737964009998617,21.85913174828073,19.05833989731985,1.0174327414061033,1.8127791374010933,480.96304489180994,1974.7365428179207,0.3476803350496733,0.36310363332753925,0.5108494978531092,0.17761232457352633,0.737793945711315,21.888797169933266,19.06880604059008,1.0172506562901782,1.85164832131944,585.7518053118451,3608.5177095175795,0.35951755742498154,0.391507820970606,0.5212977247280013,0.1874156846854114,0.7270016538947418,21.87726798626763,16.688282786982153,1.0706941261908793,0.025380034094363065,1.7567716834389802,1.8578467430382766,109.71761151145677,297.84364913046403,700.4674121350985,821.8492485673087,792.0594544256288,4147.834090713652,0.013476595614128733,0.3188835310818598,0.369573582451976,0.0183739620706828,0.31834310271241734,0.39830395012751607,0.017569466521163864,0.47444287847096683,0.5435975556492952,0.005129752300243948,0.16630212227204558,0.18709560429035763,0.005579659218007498,0.7275561450801431,0.7502020191566221,3.2308406165257475,16.463630587096986,28.525702285508824,7.770590372468229,9.626511648704904,38.11018859399691,0.13291992740467576,0.7990275974057683,1.3011319803395056
7,238,3.395737776160633,42.72830816636102,1.8105248157623788,463.3720422851667,1935.2269706879476,0.3456101832276106,0.36221168153633365,0.5117271725664052,0.17685812187322242,0.7386010232155176,21.747177833528344,18.735228930257623,1.0235643137564394,1.8136085549063683,462.16411579299165,2048.8566919536506,0.34544981710031536,0.3650061799802905,0.513763247097875,0.17747941974282505,0.737883220444889,21.441305043285567,17.999749538591225,1.0383506773048437,1.8519790583872475,588.8962848748384,3615.5289301883095,0.3598167920970325,0.39159847035693063,0.5211478791075562,0.18751775806865298,0.7268986355103001,21.89132551510439,16.73084581239499,1.0697053970754795,0.024075336626457455,1.7682884413081823,1.8582074930454435,131.01121829326544,272.285419002576,753.3018960584536,807.908863957336,929.5212647157999,3917.10912440474,0.016326010909080278,0.3141365721479408,0.3738250376349885,0.01717076972871555,0.3265693121303613,0.3965961571663537,0.01915486303898956,0.47815301650577374,0.5474889241450329,0.005008714806279573,0.16779631633518305,0.18694072179007823,0.0053742072786662435,0.7272036306654535,0.7479982841416255,3.518218103117473,15.812261747872704,28.56756484806709,8.126553494417298,8.615547143453433,37.50295498536331,0.148602788541645,0.7982413494331898,1.3465901315830118
8,237,3.325255034889082,42.72830816636102,1.8067060293903563,464.4227932926239,1787.34058428931,0.3457791398463684,0.3583306032516581,0.5089130022189895,0.17597150016391513,0.7396149527972387,22.182856056127353,19.806610338203562,1.003556464249377,1.8065816579510774,465.045841520434,1796.168460222556,0.3457763739044836,0.3585893415582877,0.5090953941770049,0.17603315936999853,0.7395449471070372,22.046675463926864,19.63942859777565,1.0065608111471247,1.829750226393069,573.8576823836866,2258.1193405429685,0.35831911692871093,0.3690560654310979,0.5073806123461302,0.18180417296261395,0.733305785333699,23.584096223928547,21.471976421885586,0.9746107822364104,0.024315728377011427,1.7530923919327215,1.8426959378122638,105.77890194649417,291.74786368827336,670.018274614778,613.9591786039792,715.3567496021029,3042.198165643354,0.013458588650053685,0.3177883955831577,0.36763572261832406,0.018572677704258467,0.31311803733347787,0.3851221234854054,0.018916514656051275,0.46560629487178323,0.5391029833037376,0.00483778080945439,0.1647896563631534,0.18361058026993476,0.005251814016281626,0.7313618359934144,0.7515571836429695,3.5089607318385077,16.557271552337088,29.962951990659253,9.169420097182233,10.031584418396221,46.28212545207188,0.1347153554795272,0.7557504574317657,1.2673458500727464
9,236,3.3004424648947897,42.72830816636102,1.8083202397873326,473.8929620933609,1807.608376480561,0.34691292414373986,0.3588660451746018,0.5084680342929505,0.17639413261018688,0.7391586758115183,22.223923195108462,19.955840448080693,1.0009036740268242,1.8086423011561816,481.73103408910623,1777.2931028478179,0.3478596113844856,0.35804980736366243,0.5072177787323252,0.17644057939712865,0.7391230416446358,22.383225871857825,20.420879369604105,0.9927807477513576,1.8305313955151898,580.4541095385907,2271.997454103779,0.3589543072456739,0.3693439045915942,0.5071327906460945,0.18203749954793422,0.7330576955710337,23.605761742328355,21.559515062444486,0.9731325137111462,0.024338049848515127,1.7503190229069028,1.845067496709474,125.49295512891933,262.73596727789504,718.9938676687592,652.6491107407485,959.6592794775463,3472.445048776152,0.01588560538723815,0.31183170350925155,0.3710733732247162,0.01722310082720739,0.32807895207611193,0.3909666156534721,0.019228943023268923,0.47580480051898233,0.5469431432932141,0.004951763748647582,0.16562038321825887,0.18426403337703204,0.0053608682319939436,0.7306914934555998,0.7507843905899007,3.4802711615234956,16.215624938803742,29.367496564919556,8.918075945698707,9.002765331956018,38.26168805650929,0.14211550904123407,0.7970911365293148,1.316902401867007
