rule,n,n_dropped,dropped_max_L,dropped_min_L,E,A,B,alpha,beta,a,gamma,sigma_star,Mstar_1e+21,Mstar_5.76e+23,w_chin70b,se_E,se_A,se_B,se_alpha,se_beta,se_a,se_gamma,se_sigma_star,se_Mstar_1e+21,se_Mstar_5.76e+23,se_w_chin70b,sigma_u
none (n=245),245,0,,,1.8913384984442463,495.7260095775787,12845.612989990412,0.3493128937894458,0.4530492945435715,0.5646443727424693,0.19723755980459837,0.7136836231685306,15.503068934170866,6.8159456421668585,1.5417650221210324,0.045893799305977645,148.51647020699752,92059.230189125,0.017376134836241043,0.05950983991831842,0.03294170459677422,0.012235667441866773,0.015672843168208033,3.623567246786049,5.098576653968866,0.5656187806750511,
drop 5 highest loss (Besiroglu),240,5,5.005581996196243,3.446995430227908,1.8172181024581464,477.82589637983915,2143.4172900154426,0.34731050246601725,0.3671724309236887,0.5138995121712991,0.17848269778925505,0.736788570448849,21.384525494106445,17.92101346875027,1.0402020674634807,0.0267876476662373,124.0076773898293,1572.082856825535,0.015690674522202366,0.01914061943862412,0.018009073429955454,0.005673361575653286,0.00625344259347163,3.201406853270274,6.67714083711189,0.15234661002490288,
drop the 6 lowest-loss runs (L <= 5th lowest; ties),239,6,2.205693537488266,2.0773942450664395,1.9248886476699203,582.9410569823735,21877.32841045355,0.3589250783921061,0.4787608014651024,0.5715278399424756,0.20513567475462408,0.7047996447375067,14.612326988200676,5.886067890149733,1.6711979925463671,0.03998775861950387,133.59528978448964,82555.92733394926,0.0140122274402905,0.05671575554374203,0.03164645632805447,0.011154983674809228,0.014288627207354986,3.6456549558304823,5.073400900187728,0.5388048400093932,
drop 5 largest |residual| (n=245 fit),240,5,5.005581996196243,2.0773942450664395,1.8279316873147022,502.40230674080726,2408.0222493821007,0.3502819866059433,0.37290185994991715,0.5156390891829928,0.1806190845306979,0.7344344387653058,21.13064990004376,17.32095636952071,1.053623948207155,0.026823730325317624,120.0496933412533,2154.636221387494,0.014897010344504951,0.023765250032518417,0.0203404245140112,0.005964352019759226,0.006761206909804373,3.402665436994454,6.724346734934453,0.18056366280556232,
drop D/N < 0.4 (selection on X),241,4,5.005581996196243,3.7655629197937,1.820862711497666,478.3137992599448,2311.2138443957765,0.34733414341535696,0.37084276546237305,0.516366874064325,0.17935184589119785,0.7357872820815595,21.011041015461224,17.064304659738127,1.0589155321428716,0.028872016991823242,130.90832469153318,1977.311488256395,0.016060141329977722,0.024282754601633,0.021397171296756782,0.006405518669554755,0.007082915910092948,3.5285540814577754,7.36656514215751,0.18264237729094784,
drop D/N < 1,234,11,5.005581996196243,2.524086450542411,1.783893117779629,442.16351758709794,1271.7930885302417,0.3426259727218302,0.34200129380547767,0.4995437817430781,0.1711566741368638,0.7449823761147649,22.726120028093472,22.858304110658242,0.9552965652986567,0.024900239557902524,117.39620570258016,503.71411267357905,0.014672555639502663,0.01948483504057866,0.020953911257250955,0.0049789902495723515,0.0053965716812068775,3.8887946517606893,11.93998930196989,0.1375015173190845,
drop D/N < 2,224,21,5.005581996196243,2.286445840825226,1.7723693477860103,364.96237879596094,1396.559723289964,0.3309090519084766,0.3468482042971059,0.5117587471345305,0.16934560182015732,0.7468936907425382,20.162560689670844,17.363108043824703,1.0492509491357798,0.025725315257304843,80.26036691221418,638.783653636316,0.012547790940419131,0.022569848489759705,0.022347104442772794,0.005168261934648078,0.005819886367880558,3.398544892140924,10.346052891461925,0.1514650237231059,
drop the 1e19 IsoFLOP budget,211,34,5.005581996196243,2.845487739252996,1.7668952187032743,564.5477510235004,707.0586823711853,0.3569537024315259,0.3133594458502039,0.46748217106208434,0.16686949178133895,0.7489758275305436,27.41739085031683,41.4526228849339,0.7829253846796936,0.028205775240127257,133.49455245682122,369.1606216572071,0.013835090753874757,0.021929756957858,0.023706828966801048,0.005596249396612553,0.0055733688312867135,3.9208539244322513,20.208144953183556,0.11910049901507765,
IsoFLOP-profile runs only,137,108,3.4059279641864753,2.0773942450664395,1.9446185013689452,896.61023971408,27928.03797934531,0.38313592416313286,0.4896903424271033,0.5610398783484333,0.21495453228339859,0.6961785414103041,15.761037111158826,7.2542594888724485,1.5584380407193132,0.045644895225892844,706.2756055693764,148378.8602320513,0.02969383665440789,0.05533324819230935,0.02971814183190545,0.014907875046880426,0.015876096226687807,3.2837264921082774,4.316755049824973,0.5812459994690327,
"IsoFLOP runs only, 5 highest loss dropped",132,113,5.005581996196243,2.0773942450664395,1.8631783281152723,639.229408613361,4407.8842003094405,0.3632578945101979,0.40233803827406267,0.5255226955175566,0.19090026789103143,0.7231714424697255,18.807697047047004,13.596551609178812,1.1596645584781677,0.03964565727941848,406.7481095333957,4117.1648581453,0.026194993033198687,0.028027306115510082,0.021685444762888088,0.010504125837164684,0.010903735971662554,3.2865846756393515,7.210389270826208,0.193459651092012,
"Gaussian MLE, n=245",245,0,,,1.9918303268765427,749.5378612992104,370523.1822286081,0.37209787327938476,0.6120482480021507,0.6219079004296169,0.2314106071255078,0.6702084679221753,9.630639509809036,2.044657210148025,3.0791311455061603,,,,,,,,,,,,0.017022246138105372
"Gaussian MLE, n=240 (ignores truncation)",240,5,,,1.8645500978702578,593.322141550476,4875.637780336402,0.360252801990197,0.40588336139566683,0.5297796668439524,0.19085460941796692,0.7230302059866489,20.832486104644406,14.266984092559843,1.1386744062694798,,,,,,,,,,,,0.006910706365156263
"Hausman-Wise truncated MLE, n=240 (L < Lbar)",240,5,,,1.864823291109319,596.1542464833409,4882.183975492762,0.36051886723698523,0.40594532338268174,0.5296337759165046,0.1909429689438655,0.7229444743154313,20.8459668364766,14.302717471694594,1.1376439694682121,,,,,,,,,,,,0.0069139593114984094
