dataset,likelihood,n_loss,n_argmin,Q_restricted,Q_unrestricted,LR,LR_p,c0_level_shift,c1_slope_shift,alpha_r,beta_r,a_r
chinchilla_n240,laplace,240,9,-1304.645654121858,-1305.1527811473961,1.0142540510764775,0.6022232678895332,0.025925167449929946,-0.016274858767231073,0.3476664111593175,0.3658205719157571,0.5127221387264814
chinchilla_n240,gauss,240,9,-1211.2163433960013,-1212.8868561606257,3.341025529248782,0.18815056394628327,0.05145058880274275,-0.032727349261499894,0.36221496222309707,0.4055307007726036,0.5282096927649783
chinchilla_n245,laplace,245,9,-1200.3512128804568,-1204.2552286055873,7.808031450260842,0.020160788486093734,-0.0035540850298521783,-0.07783275772841085,0.35756068821925735,0.4493938891649878,0.5569010967404194
chinchilla_n245,gauss,245,9,-1009.5675848832689,-1016.649887895238,14.164606023938177,0.000839836765355075,-0.10134252904318802,-0.12481425484547916,0.39881764774637507,0.6004297160968151,0.6008819615870803
llama_3,laplace,133,10,-774.3706414567503,-778.1190009039461,7.496718894391734,0.023556359625223292,-0.045009474186156945,-0.06369980297241813,0.2928342733122587,0.297406561640896,0.5038732395810942
llama_3,gauss,133,10,-727.5402472403382,-729.5626869050371,4.044879329397872,0.13233222468426256,0.020261408545910686,-0.04047777733302598,0.3140403317560712,0.3050576323590899,0.4927453327925091
marin_202603__comma__llama_2,laplace,85,7,-446.504370600932,-448.4656293043536,3.9225174068432125,0.14068123348128161,0.04781300078294696,0.005323057145562796,0.6791365276017776,0.3607870552231014,0.3469361222129888
marin_202603__comma__llama_2,gauss,85,7,-425.2368445085067,-425.4269593713795,0.38022972574560754,0.8268641524965716,0.010472516704819917,-0.00720425748216473,0.7318522001019541,0.39823978498351353,0.35239590249230474
marin_202603__dclm__llama_2,laplace,85,7,-445.11582811566893,-446.4317392730139,2.6318223146898845,0.26822981229857473,0.04515782329319254,-0.0007461618426755791,0.6898522157680833,0.4066814120570783,0.3708791064289386
marin_202603__dclm__llama_2,gauss,85,7,-411.3202865519756,-411.8665814011512,1.0925896983512757,0.5790914615662879,0.010502066198776153,-0.015617016160771631,0.7536176104150816,0.47004376971541856,0.3841289570365371
marin_202603__nemotron__llama_2,laplace,88,7,-460.3916374477416,-461.8593740634109,2.9354732313386194,0.2304464843153346,0.043496949991160355,-0.007561738561127252,0.6615341351748742,0.4041679602783212,0.37925041341543636
marin_202603__nemotron__llama_2,gauss,88,7,-437.1737617968918,-438.1287369459534,1.9099502981231353,0.38482170761471585,0.015028411768073267,-0.019222188291179762,0.6896772505991046,0.43553167743321164,0.3870673850720665
misfitting__fineweb_c4__transformer,laplace,176,22,-850.1077799980793,-852.308945200529,4.4023304048994305,0.11067412544011139,0.06177066625942647,0.012454633545135622,0.6312000561816582,0.7092138845171562,0.5291006479292606
misfitting__fineweb_c4__transformer,gauss,176,22,-776.2215587539296,-779.4590275568565,6.474937605853938,0.03926315220228012,0.08570960698686986,0.01502569852743567,0.6194544425443876,0.7047445439894684,0.5322044127477892
