dataset,likelihood,n_loss,n_argmin,LR,LR_p,F_approx,df2,p_F_approx
chinchilla_n240,laplace,240,9,1.0142540510764777,0.6022232678895332,0.41751632743511446,7,0.6740627099195935
chinchilla_n240,gauss,240,9,3.341025529248782,0.1881505639462832,1.5732824152582365,7,0.2727259849970282
chinchilla_n245,laplace,245,9,7.808031450260842,0.0201607884860937,4.833820700286532,7,0.04800468469128751
chinchilla_n245,gauss,245,9,14.164606023938177,0.000839836765355,13.388080585003966,7,0.004052351706161593
llama_3,laplace,133,10,7.496718894391734,0.0235563596252232,4.465222081967761,8,0.0498524539175535
llama_3,gauss,133,10,4.044879329397872,0.1323322246842625,1.9941398126708174,8,0.1983044641198095
marin_202603__comma__llama_2,laplace,85,7,3.922517406843213,0.1406812334812816,1.8782555177041982,5,0.24637535469074157
marin_202603__comma__llama_2,gauss,85,7,0.3802297257456075,0.8268641524965716,0.13955215397869203,5,0.8730204219080362
marin_202603__dclm__llama_2,laplace,85,7,2.6318223146898845,0.2682298122985747,1.1410254108648026,5,0.3906526250122428
marin_202603__dclm__llama_2,gauss,85,7,1.0925896983512755,0.5790914615662879,0.4223116805525384,5,0.676914296897362
marin_202603__nemotron__llama_2,laplace,88,7,2.9354732313386194,0.2304464843153346,1.302444124519162,5,0.3505039521203765
marin_202603__nemotron__llama_2,gauss,88,7,1.909950298123135,0.3848217076147158,0.784258076294963,5,0.5055415204668999
misfitting__fineweb_c4__transformer,laplace,176,22,4.4023304048994305,0.1106741254401113,2.2153214514795017,20,0.13519200186123267
misfitting__fineweb_c4__transformer,gauss,176,22,6.474937605853938,0.0392631522022801,3.4220709620147827,20,0.052699281505139035
