experiment,experiment_label,model,k,ssr,rmse,share_explained,test,LR,df,p_wild,B_wild,n,n_clusters
gadre,Gadre et al.: 3 corpora,pooled,5,0.09179117639987182,0.029708710261190787,0.0,vs CE,30.728726701086046,6.0,0.002,499.0,104,37
gadre,Gadre et al.: 3 corpora,Eshift,7,0.07001041652731385,0.025945656322271023,0.8987438325816783,vs CE,2.5580244690270506,4.0,0.004,499.0,104,37
gadre,Gadre et al.: 3 corpora,hicks,7,0.0741790532347694,0.026706930322622217,0.7267325458763141,vs CE,8.573152589474214,4.0,0.002,499.0,104,37
gadre,Gadre et al.: 3 corpora,daug,7,0.07625690187286661,0.027078394359438224,0.6409938636882347,vs CE,11.446268950502303,4.0,0.002,499.0,104,37
gadre,Gadre et al.: 3 corpora,paug,7,0.07360678567638931,0.02660371317280102,0.7503461361132955,vs CE,7.767715154018345,4.0,0.002,499.0,104,37
gadre,Gadre et al.: 3 corpora,hicksE,9,0.06832516826368348,0.025631480093162535,0.9682825673259634,vs CE,0.02397669252000924,2.0,0.896,499.0,104,37
gadre,Gadre et al.: 3 corpora,daugE,9,0.06866865337002394,0.025695826765708613,0.9541092729729004,vs CE,0.5454969405272944,2.0,0.13,499.0,104,37
gadre,Gadre et al.: 3 corpora,paugE,9,0.06854188592528837,0.02567209760489908,0.9593401032926347,vs CE,0.3533277664780504,2.0,0.15,499.0,104,37
gadre,Gadre et al.: 3 corpora,CE,11,0.0683094180451786,0.025628525657116652,0.9689324717290195,CE vs full,1.1526595091757261,4.0,0.09,499.0,104,37
gadre,Gadre et al.: 3 corpora,full,15,0.0675565067610362,0.025486894588772367,1.0,,,,,,104,37
datadecide,DataDecide: 25 recipes,pooled,5,25.722207005383616,0.0342808099549444,0.0,vs CE,58184.93115284224,72.0,0.05,19.0,21888,44
datadecide,DataDecide: 25 recipes,Eshift,29,2.210064123723911,0.010048457437868816,0.9806089056535896,vs CE,4464.4866351182545,48.0,0.01,99.0,21888,44
datadecide,DataDecide: 25 recipes,hicks,29,4.051931767819804,0.01360592340390956,0.9037910748022601,vs CE,17732.384115122593,48.0,0.05,19.0,21888,44
datadecide,DataDecide: 25 recipes,daug,29,3.511655029664683,0.01266639079091435,0.926324120115014,vs CE,14600.073369559426,48.0,0.05,19.0,21888,44
datadecide,DataDecide: 25 recipes,paug,29,4.286426806294342,0.013994090111047179,0.8940111102870272,vs CE,18963.79700835355,48.0,0.05,19.0,21888,44
datadecide,DataDecide: 25 recipes,hicksE,53,1.8142948705102668,0.009104390906423537,0.9971150512753865,vs CE,145.44493156499925,24.0,0.01,99.0,21888,44
datadecide,DataDecide: 25 recipes,daugE,53,1.8079600499713928,0.009088482490435692,0.9973792543923633,vs CE,68.88671224577845,24.0,0.01,99.0,21888,44
datadecide,DataDecide: 25 recipes,paugE,53,1.864051055927318,0.009228388337758053,0.9950398955238717,vs CE,737.6294834559045,24.0,0.01,99.0,21888,44
datadecide,DataDecide: 25 recipes,CE,77,1.8022789167577895,0.009074191935467161,0.9976161945067332,CE vs full,705.3920446042888,48.0,0.01,99.0,21888,44
datadecide,DataDecide: 25 recipes,full,125,1.7451222103107729,0.008929145152057293,1.0,,,,,,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,pooled,5,67.19242882493566,0.05540604238982407,0.0,vs CE,,,,,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,Eshift,29,4.287900494232947,0.013996495511919218,0.9763258841638256,vs CE,7703.682158424251,48.0,0.02,49.0,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,hicks,29,7.196661471230537,0.018132700863581253,0.9311797125280025,vs CE,,,,,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,daug,29,6.170109689063038,0.016789718022111554,0.9471125730542843,vs CE,,,,,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,paug,29,7.419539849775935,0.0184113420224197,0.9277204714245582,vs CE,,,,,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,hicksE,53,3.0660800778266415,0.011835557144148363,0.9952894616675944,vs CE,362.50562390880435,24.0,0.02,49.0,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,daugE,53,3.070071738055712,0.011843258860219889,0.995227508080057,vs CE,,,,,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,paugE,53,3.1901581638760486,0.012072662718663436,0.9933636758731174,vs CE,,,,,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,CE,77,3.0157183331633948,0.011737952509282432,0.9960711140571947,CE vs full,1918.9808539315086,48.0,0.02,49.0,21888,44
datadecide_avg11,DataDecide: output = mean CE over 11 validation sets,full,125,2.762580808996493,0.011234518280541419,1.0,,,,,,21888,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,pooled,5,21.24048905815237,0.03424325771308744,0.0,vs CE,,,,,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,Eshift,29,1.1897260184245535,0.008104314721439989,0.9821135317691135,vs CE,5796.098451980324,48.0,0.02,49.0,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,hicks,29,2.332990061759646,0.011348782235021228,0.9261149104139182,vs CE,,,,,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,daug,29,1.947186422015499,0.010368038102235444,0.9450120952466231,vs CE,,,,,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,paug,29,2.273393755059317,0.011202892010222057,0.9290340182372906,vs CE,,,,,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,hicksE,53,0.884082498655528,0.0069861710537177275,0.9970843653512542,vs CE,417.5457391242326,24.0,0.02,49.0,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,daugE,53,0.8772296548011248,0.006959042208192196,0.9974200269251892,vs CE,,,,,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,paugE,53,0.9134790569069605,0.007101369584685893,0.9956444821114508,vs CE,,,,,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,CE,77,0.8639366001777464,0.006906114187508307,0.998071138745637,CE vs full,845.0723139255022,48.0,0.02,49.0,18114,44
datadecide_M20,DataDecide: checkpoints with $D/N\geq 20$,full,125,0.8245571000520543,0.006746883110974507,1.0,,,,,,18114,44
