experiment,estimator,H0,restrictions,B,wald,p_chi2,p_boot
gadre,nls,pooled,6,200,58.58813817256511,8.707743737003638e-11,0.014925373134328358
gadre,nls,Eshift,4,200,42.636095868138455,1.2312482416732972e-08,0.004975124378109453
gadre,nls,hicksE,2,200,0.3221365495576111,0.851233951313378,0.8656716417910447
gadre,nls,daugE,2,200,8.028764250747496,0.018054106279380037,0.029850746268656716
gadre,nls,paugE,2,200,3.729535034702224,0.15493222475233745,0.13432835820895522
gadre,huber,pooled,6,200,23.038821717352832,0.0007835799025763207,0.03482587064676617
gadre,huber,Eshift,4,200,16.40380629700468,0.0025225302294765834,0.05472636815920398
gadre,huber,hicksE,2,200,0.6100088065068734,0.7371201286577421,0.7213930348258707
gadre,huber,daugE,2,200,0.5292716398536821,0.7674854019771825,0.7114427860696517
gadre,huber,paugE,2,200,3.403356930818207,0.1823771532651105,0.23383084577114427
datadecide,nls,hicksE,24,100,140.7062765446363,1.7279027708528274e-18,0.009900990099009901
datadecide,nls,daugE,24,100,417.4742060417477,1.9251254956605757e-73,0.009900990099009901
datadecide,nls,paugE,24,100,2031.1251803495973,0.0,0.009900990099009901
datadecide,huber,hicksE,24,100,50.60630691193766,0.001184750208915889,0.0297029702970297
datadecide,huber,daugE,24,100,69.87511218344825,2.2837949778880577e-06,0.009900990099009901
datadecide,huber,paugE,24,100,181.21829108332446,4.28707677721782e-26,0.009900990099009901
