key,dataset,subset,estimator,role,n_obs,n_runs,n_clusters,cluster_unit,B_boot,B_failed,objective,N_center,D_center,N_min,N_max,D_min,D_max,M_min,M_max,sd_offpath,corr_lnN_lnD,translog_r,translog_r_lo,translog_r_hi,translog_tau,translog_tau_lo,translog_tau_hi,share_boot_r_undefined,N_convention,D_definition,loss_units,eval_set,rmse_lnL,E,se_E,E_lo,E_hi,A,se_A,A_lo,A_hi,B,se_B,B_lo,B_hi,alpha,se_alpha,alpha_lo,alpha_hi,beta,se_beta,beta_lo,beta_hi,a,se_a,a_lo,a_hi,gamma,se_gamma,gamma_lo,gamma_hi,sigma_star,se_sigma_star,sigma_star_lo,sigma_star_hi,A_norm,se_A_norm,A_norm_lo,A_norm_hi,B_norm,se_B_norm,B_norm_lo,B_norm_hi,sigma_min,se_sigma_min,sigma_min_lo,sigma_min_hi,sigma_max,se_sigma_max,sigma_max_lo,sigma_max_hi,alpha_minus_beta,se_alpha_minus_beta,alpha_minus_beta_lo,alpha_minus_beta_hi,Mstar_1e21,se_Mstar_1e21,Mstar_1e21_lo,Mstar_1e21_hi,Mstar_1e23,se_Mstar_1e23,Mstar_1e23_lo,Mstar_1e23_hi,Mstar_1e25,se_Mstar_1e25,Mstar_1e25_lo,Mstar_1e25_hi,boot_file,ord
farseer|all,farseer,all,huber,primary,404,404,404,run (pairs),400,0,0.0024884108113411665,726593331.7414042,20369957452.07122,99620352.0,6369572352.0,999997440.0,511998000000.0,0.3139817296167515,2569.74598925328,1.9671329460555753,-0.040638974337186745,-1.7869636649171676,-2.393469020302784,-1.4477070273988526,-0.25843790476399947,-0.3440028999646565,-0.17473177085032932,0.0,"non-embedding (excl. input and output embeddings; vocab 65,536 untied)",tokens processed (single epoch),"bits/char, IntelliValSet-Raw English (web/paper/book average)",IntelliValSet-Raw en,0.00874039866704246,0.36867186889566866,0.01186994884289075,0.3443625345509259,0.39006180480613795,28.746588734561282,18.203445054979234,12.905216152244007,80.36367326625133,138.2798218313861,31.873029653316955,93.40005039260711,214.04583221533204,0.2805328164453021,0.028357451555530242,0.2314677269842899,0.341200679016694,0.3116662510001588,0.01092596577290239,0.2915383672696976,0.33423898990464335,0.5262862914401026,0.022303119617346608,0.482206296047632,0.5661590034889961,0.14764057559424507,0.009140421454035342,0.12996114635372708,0.16620012334844467,0.7715456830138219,0.010276624184123444,0.7504741781386203,0.7900652218062735,0.09390814887146627,0.009994949697827738,0.07611080614363493,0.11467137965897765,0.08468266332727101,0.003839156322712753,0.07715923148190897,0.0919534113543625,0.7661493873656159,0.00843095381331375,0.7471117548450574,0.7799382532597559,0.7769868906020239,0.01282948405514779,0.7539843950157669,0.8023439337085607,-0.03113343455485673,0.02538080989576004,-0.07249431214548255,0.023871223079181433,24.83750105926501,3.702755936002665,18.799885893206522,32.89951390784615,19.496772893737443,7.385691466262957,10.355003947132595,38.11707317245996,15.30444437075039,10.620057126948367,5.671375325458401,43.25982438025774,data/processed/m2_techpanel/boot/farseer__all__huber.npy,0
farseer|all,farseer,all,nls,primary,404,404,404,run (pairs),400,0,0.014591500964927145,726593331.7414042,20369957452.07122,99620352.0,6369572352.0,999997440.0,511998000000.0,0.3139817296167515,2569.74598925328,1.9671329460555753,-0.040638974337186745,-1.793395807543891,-2.0632891240219116,-1.5690781959279214,-0.25972116125486067,-0.30573827562398503,-0.20910848388438344,0.0,"non-embedding (excl. input and output embeddings; vocab 65,536 untied)",tokens processed (single epoch),"bits/char, IntelliValSet-Raw English (web/paper/book average)",IntelliValSet-Raw en,0.008499126619348532,0.369019088826041,0.006789015381612576,0.3541861641664133,0.380653921992782,33.11983559889453,9.306615700580874,19.34066590936636,55.38245733501519,143.3585692994018,20.574880091245824,107.97756486163168,186.40086244286823,0.2870510177905991,0.016154934604676076,0.25527966378178485,0.3183260827613881,0.31383995630211403,0.007130288935233617,0.29973122104302585,0.32702074326661124,0.5222910142326266,0.013138217552124737,0.4980376184383447,0.5502283063408319,0.14992416721835972,0.005229422720075505,0.13932780603837241,0.15946552023288182,0.7689672577289303,0.005889828307865658,0.7580115063469124,0.7808076052909514,0.09472082124445984,0.005811244831185745,0.08483480509111958,0.10757096890034024,0.08337784167759767,0.0023934404019500147,0.07902800453626765,0.08828193832279217,0.7642025046193444,0.004578767783309943,0.7563573278173332,0.7732392570211112,0.7735574616077304,0.007720662918554786,0.7598306460082914,0.7891676889610998,-0.026788938511514926,0.015100824391520414,-0.056093358246335774,0.002500581509014997,22.1520765880807,1.9257158784336639,18.55590576440301,26.09954626034017,18.040575490557387,3.7294076691511435,12.097232582867736,26.440064940883705,14.692183043716115,5.021927369802744,7.657923981317515,26.630123679362416,data/processed/m2_techpanel/boot/farseer__all__nls.npy,0
farseer|N_incl_emb,farseer,N_incl_emb,huber,robust,404,404,404,run (pairs),200,0,0.0024911417296576144,982570575.4583176,20369957452.07122,208672256.0,6805779968.0,999997440.0,511998000000.0,0.2938574789963001,1226.7994073922314,1.7501609405941505,-0.043163311918871405,-1.7169003350603782,-2.0489443662165194,-1.4614846760566649,-0.23405895778115843,-0.2955892496352835,-0.1692139338990431,0.0,total incl. both embeddings,tokens processed (single epoch),"bits/char, IntelliValSet-Raw English (web/paper/book average)",IntelliValSet-Raw en,0.008762743248376385,0.39201125566302664,0.00815482257357171,0.37381462623570305,0.4057393004105419,741.5374871938276,795.1344874116548,225.19014402207588,2639.2340603254856,141.68212438839666,31.51625998068596,93.23667382617002,206.04208874805923,0.4481982419401501,0.03486273109331794,0.3821821870968881,0.5154389750834655,0.3128468943761904,0.011187238108209777,0.2916136730614048,0.33237156466614914,0.41107534815931157,0.016864632921127647,0.3775731315693435,0.44297199014831784,0.18424324834993855,0.008321464561014647,0.16806642797388688,0.2009182357591203,0.7243633846088833,0.010731672942267883,0.7030603413663468,0.7442525694885431,0.06914670429029911,0.0060523756890260684,0.059288851965762085,0.08296365628495658,0.08436834235205533,0.003957446620689863,0.07738065337878627,0.09256613776439751,0.7031732945589715,0.0152316446179828,0.6741191338897117,0.7328242276922649,0.7492259448801548,0.006483461034725168,0.737839814893451,0.7625424668672137,0.13535134756395972,0.03162203894728698,0.08060182084101679,0.1969575410815373,19.81924151674683,2.4439645410298043,15.0663563675339,24.69679130015745,44.955790363733136,12.740823935866421,25.656868647928164,74.19599867153697,101.97277658280723,48.532757025133314,43.69243915909245,227.26058457503987,data/processed/m2_techpanel/boot/farseer__N_incl_emb__huber.npy,1
farseer|N_incl_emb,farseer,N_incl_emb,nls,robust,404,404,404,run (pairs),200,0,0.014464098105239378,982570575.4583176,20369957452.07122,208672256.0,6805779968.0,999997440.0,511998000000.0,0.2938574789963001,1226.7994073922314,1.7501609405941505,-0.043163311918871405,-1.7239426529104003,-1.9329834493671576,-1.5512455893142316,-0.23558159320880187,-0.2756527405605573,-0.1939230869326052,0.0,total incl. both embeddings,tokens processed (single epoch),"bits/char, IntelliValSet-Raw English (web/paper/book average)",IntelliValSet-Raw en,0.00846194103415651,0.39234165749772093,0.004760140061942468,0.3837398400971632,0.40139602922728296,954.16928340608,407.09395942154816,485.0383835100242,2071.681676805143,145.25123495999256,20.433213619077424,111.72337121276016,192.29064069340689,0.4599611684644006,0.021168885722032856,0.4230315785087057,0.5023777391777388,0.3145117451049096,0.007055197049576398,0.30083680524615536,0.328192117560207,0.4060977983793139,0.01000737181271168,0.3884701512312306,0.42542043621219316,0.18678921785336983,0.005121947185388586,0.17782071468267377,0.19707284513710308,0.7208576411823878,0.006537514923299358,0.7076727964252187,0.7327218844317488,0.06974085894085688,0.003611528803812677,0.06331208127844853,0.07659585637561063,0.08314217090091047,0.002347147039395108,0.07893504763149747,0.0875834748717909,0.6985426372049317,0.009207282010208715,0.679515190049699,0.7143101575253525,0.7480935869560831,0.004017092365353171,0.7408472964712107,0.7554516300734783,0.14544942335949101,0.019103954976335682,0.11021526991047803,0.17900897226999657,18.210028561094877,1.3085840912811864,15.469762797191045,20.44987273613255,43.24336022451472,6.9005360592268765,30.671747528700084,56.46935544718662,102.69002034968301,25.805179600864072,61.176719691806234,157.76232067950332,data/processed/m2_techpanel/boot/farseer__N_incl_emb__nls.npy,1
farseer|train_loss,farseer,train_loss,huber,robust,404,404,404,run (pairs),200,0,0.0027566369386936027,726593331.7414042,20369957452.07122,99620352.0,6369572352.0,999997440.0,511998000000.0,0.3139817296167515,2569.74598925328,1.9671329460555753,-0.040638974337186745,-2.102503915132634,-2.9758846956655627,-1.4843683720455298,-0.3085419980716207,-0.3885608488188939,-0.1846661244502332,0.0,"non-embedding (excl. input and output embeddings; vocab 65,536 untied)",tokens processed (single epoch),"nats/token, training loss (65k tokenizer)","training loss (smoothed, single epoch)",0.009337916439325437,1.4386252329882674,0.07324402853676594,1.2604002415440914,1.5389627705177429,81.26872411164311,47.920189177986806,27.55749598641231,212.78309931131798,381.1406294494159,103.02512120295964,233.0410713063475,618.6388146238321,0.25466566460803725,0.030818289590742183,0.18612685575965532,0.31194618658095397,0.29299987606930333,0.013533417557915784,0.2679452310156981,0.31734216549224886,0.5349978304403225,0.02599215050105457,0.49190348603744594,0.597144160768268,0.13624557805294274,0.01094660525010076,0.11181012997317741,0.15501249066719053,0.7850324024354727,0.012485608662765428,0.7629860357430936,0.8124218028837581,0.45004586510933775,0.06120090060001588,0.36604047027247794,0.6076342936014412,0.3635401807126298,0.020560224958641907,0.3309492179380786,0.40268060295543134,0.7782562033392509,0.010173739449021698,0.7606139478325035,0.7999033869822166,0.791253690038422,0.015154007758350577,0.767457514161002,0.8255879499613847,-0.03833421146126609,0.025370192362480722,-0.09176721047752187,0.010494467261238576,18.110797948711422,2.8728620752938636,12.722367725181027,23.618141186680564,13.120375473448448,4.983332406983497,5.338256926605898,25.301641438094503,9.505061734539176,6.236313187326548,2.1982026119035196,27.197189242202814,data/processed/m2_techpanel/boot/farseer__train_loss__huber.npy,2
farseer|train_loss,farseer,train_loss,nls,robust,404,404,404,run (pairs),200,0,0.01730831423596916,726593331.7414042,20369957452.07122,99620352.0,6369572352.0,999997440.0,511998000000.0,0.3139817296167515,2569.74598925328,1.9671329460555753,-0.040638974337186745,-2.027082328137188,-2.374899547908507,-1.715943869513827,-0.29763499213319006,-0.3408924330837292,-0.23995556765565895,0.0,"non-embedding (excl. input and output embeddings; vocab 65,536 untied)",tokens processed (single epoch),"nats/token, training loss (65k tokenizer)","training loss (smoothed, single epoch)",0.009256604341789786,1.4229936842757949,0.038930036048237276,1.336268681105773,1.488388314681665,78.09613261779153,21.888825923187145,45.940401076426774,128.8417605849614,370.71927769327266,63.60050237501644,280.6783194138592,512.3657372811944,0.2511114674727939,0.01690788899957455,0.2188094123911334,0.28141490281534015,0.2918221845503997,0.008364436464131677,0.27763706409870337,0.30821000951725736,0.5374914291331003,0.01580958304044055,0.5141919693480818,0.5715835458933222,0.13497026152366204,0.005818860742889846,0.12308370689665839,0.14510782395475608,0.7864931900243533,0.006623194697902511,0.7746461552419471,0.80000676664376,0.46500501710946845,0.03375411862390549,0.41306606627154463,0.5424694232693904,0.3636245128257044,0.012811698188856203,0.3391235437276626,0.38548972659274333,0.7792233072178724,0.00539315025287422,0.7694548224214058,0.7891824647089638,0.7929737850186769,0.008352867325625042,0.7782904763026486,0.8096746547063395,-0.04071071707760582,0.01592837158578859,-0.07277857957610494,-0.016785406232708355,16.435456565863305,1.686412045163858,13.129555268196347,19.51060415191645,11.636330732922378,2.7836932855835155,6.949004284918355,16.930276846275493,8.23854161783314,3.194645545449534,3.5377630945194003,15.009070510694388,data/processed/m2_techpanel/boot/farseer__train_loss__nls.npy,2
farseer|cluster_N,farseer,cluster_N,huber,robust,404,404,25,model size (25 clusters),200,0,0.0024884108113411665,726593331.7414042,20369957452.07122,99620352.0,6369572352.0,999997440.0,511998000000.0,0.3139817296167515,2569.74598925328,1.9671329460555753,-0.040638974337186745,-1.7869636803864792,-2.244550394657834,-1.5374984236834044,-0.25843790786168525,-0.325778664759629,-0.20178108741049824,0.0,"non-embedding (excl. input and output embeddings; vocab 65,536 untied)",tokens processed (single epoch); clusters = 25 model sizes,"bits/char, IntelliValSet-Raw English (web/paper/book average)",IntelliValSet-Raw en,0.008740398694627548,0.36867186973460303,0.012327730181724592,0.3455053306524872,0.39045560067541635,28.746590144925552,8.403149345950785,18.156480988026157,50.04230409034284,138.27982001236938,55.85374146475126,77.58890209491817,285.0116899771787,0.28053281949098074,0.01557549578973874,0.25238568957392316,0.31326588671129724,0.3116662502702654,0.019430577385209032,0.28013715341100054,0.3501267601684091,0.5262862881495547,0.014361379282415095,0.49657268371456126,0.5507262399774367,0.1476405762740373,0.007612644744339872,0.1350396384361666,0.16293175675566288,0.7715456823245482,0.009087169972490408,0.7532972602982496,0.7870559514381522,0.09390814764298941,0.005644034387975898,0.08382920630888328,0.10533413678658099,0.08468266368049185,0.008758924722706389,0.06979703374623748,0.10050061189197623,0.7661493873353354,0.010295610542573202,0.7457293800456936,0.7838293765158518,0.7769868892663073,0.008811443595940452,0.7599231766468635,0.7922422050029563,-0.031133430779284654,0.017240418353631912,-0.06038343289678277,0.0039777947058837245,24.837501794516573,4.615789674333623,18.09374078145256,34.02403428246672,19.49677406178025,6.440167431655543,11.645070182858086,34.81123537009878,15.304445751465549,7.855084752881823,7.454114007951096,35.93845399361487,data/processed/m2_techpanel/boot/farseer__cluster_N__huber.npy,3
farseer|cluster_N,farseer,cluster_N,nls,robust,404,404,25,model size (25 clusters),200,0,0.01459150096492716,726593331.7414042,20369957452.07122,99620352.0,6369572352.0,999997440.0,511998000000.0,0.3139817296167515,2569.74598925328,1.9671329460555753,-0.040638974337186745,-1.7933957900433213,-1.9096692791065932,-1.6973995745410937,-0.25972115777629623,-0.27752999471896356,-0.24070446704089407,0.0,"non-embedding (excl. input and output embeddings; vocab 65,536 untied)",tokens processed (single epoch); clusters = 25 model sizes,"bits/char, IntelliValSet-Raw English (web/paper/book average)",IntelliValSet-Raw en,0.008499126619348535,0.36901908788568466,0.0063596288624461735,0.35665026284858325,0.3806311909104822,33.119834920880635,8.449856282532464,22.67554493106291,56.726389855857725,143.35856527067267,25.024889892713382,103.67799952137177,196.40112742457455,0.28705101650144854,0.01390741822791442,0.26328330106190295,0.31897502600773714,0.3138399549083327,0.009330758675641041,0.29553747620438914,0.33093725065016666,0.5222910142450912,0.01425412596179271,0.49356676889794254,0.5495579076802871,0.14992416654862595,0.004316822655348551,0.14202954041029134,0.15862306761009257,0.7689672585221534,0.00490964782358967,0.7591307512720475,0.7781170515655929,0.09472082179688439,0.005081783866333249,0.08532358592772485,0.10547424446976582,0.08337784209300089,0.004272628620637459,0.0758213405154129,0.09323440588099305,0.7642025054343695,0.004763015731099714,0.7552783306747568,0.7733538104866536,0.7735574623741202,0.0061805206221008675,0.7613781818646919,0.7855744991495898,-0.026788938406884177,0.016877089216701523,-0.05795141423815662,0.00811731457317545,22.152076515141488,2.9046282174587352,17.34028327743025,28.815251888737574,18.040575429084836,4.834908600841953,10.739267769151047,29.375333681250844,14.69218299196637,6.4375774284965726,6.803693457296915,32.14112728785743,data/processed/m2_techpanel/boot/farseer__cluster_N__nls.npy,3
gadre|C4,gadre,C4,huber,primary,34,34,34,"run (pairs); pooled/neutrality models: (size, multiplier) cell",400,0,0.0005299541304503373,109341707.43179506,5473156922.517886,10569312.0,6889410560.0,52846560.0,137788211200.0,5.0,640.0,1.4580789950423096,0.6947864909248527,-1.0050576787769498,-1.1616066130315403,-0.8860967628047732,-0.002455673752854745,-0.07366697559810115,0.052080042421668735,0.0,total incl. embeddings (open_lm `params`; D = 20 x multiplier x params),"tokens processed (single epoch), 20 x M x N_total","nats/token, C4 validation (GPT-NeoX tokenizer)",C4 val,0.02990857268882361,1.6200235289881637,0.26516995110480257,0.9588367076872355,1.9389363777347153,122.55312353971051,115.34889148247831,39.49104725682168,452.2455478974996,242.60887086665,44810.15094015518,61.012866404009635,5638.635908584487,0.2525740605376423,0.04597319129823913,0.1693758813703812,0.33978503256092185,0.2622292212982498,0.05611310990411754,0.179600629879213,0.4188814898516227,0.5093775244848627,0.07232072694881464,0.35689065162299677,0.6400427719084323,0.1286555497057541,0.015403237629116167,0.10043653636524821,0.16326627389651419,0.7952908342556049,0.019525246844528773,0.7484851654882765,0.8270929564034435,1.1427088750604943,0.2952994917616157,0.7709337509054752,1.7961509130139965,0.6780412802293961,0.16255390464604755,0.48956327344267375,1.1292039435602108,0.7937025920553522,0.024095978241788208,0.7205713297757808,0.8192148540425876,0.7955076564045273,0.017817118600445058,0.75550725959498,0.8341249498550825,-0.009655160760607517,0.07979417548962506,-0.15834038114016413,0.1403466147896402,6.8588237678167845,32.81246090512799,1.2625058888036547,88.05957175863416,6.2912877045713715,164.54581584065332,0.3983899016830653,327.48826110498686,5.770712635512083,1006.9728305683933,0.09076568181306043,1092.8914678097271,data/processed/m2_techpanel/boot/gadre__C4__huber.npy,4
gadre|C4,gadre,C4,nls,primary,34,34,34,"run (pairs); pooled/neutrality models: (size, multiplier) cell",400,0,0.012175453690268533,109341707.43179506,5473156922.517886,10569312.0,6889410560.0,52846560.0,137788211200.0,5.0,640.0,1.4580789950423096,0.6947864909248527,-0.9771828546274355,-1.0330322529774523,-0.8615136205000133,0.011206876281499285,-0.01602183028730929,0.07180431011001308,0.0,total incl. embeddings (open_lm `params`; D = 20 x multiplier x params),"tokens processed (single epoch), 20 x M x N_total","nats/token, C4 validation (GPT-NeoX tokenizer)",C4 val,0.026761972241430457,1.5360193192241012,0.36955376367036236,0.06508041026551127,1.7762267601161406,125.27409191584992,81.16926567096465,17.878412022580818,316.51489503489614,162.62430936954866,27880.20421488671,74.71593306583989,9460.181083585732,0.2590094541227977,0.052129515011755806,0.1120051372826491,0.3203726633371769,0.23180323766780164,0.05630162219506329,0.18402577836378034,0.43668912782061364,0.47228452227290474,0.08636730899465217,0.3801186093966482,0.7250634847386374,0.12232615630455135,0.015691479435801545,0.0752770997269584,0.1455137239419898,0.8029507825264198,0.020043223663036278,0.7567666408458644,0.8473667572997434,1.036906813311505,0.38294620527860207,0.8117416192969211,2.454115334470573,0.8991463606652897,0.16039873436107244,0.48090927485100593,1.207205046912125,0.8015765261377265,0.0248960024683993,0.7178881636803417,0.83405638726397,0.806696465281931,0.019107514656393442,0.7807089774972588,0.8655917144540808,0.027206216454996046,0.08812114396562523,-0.23281289916286724,0.12006908569248836,24.33913532219536,26.127866715212733,1.237971863926988,108.48414215081223,31.417169580378587,80.72839404178372,0.20699936080312759,257.1323205093973,40.55355834856485,293.5342901622799,0.03600912179966535,753.0536160042298,data/processed/m2_techpanel/boot/gadre__C4__nls.npy,4
