family,uid,model,lab,N,D,M,flagship,flag_model,N_f,D_f,w_abs,w_flag_abs,D_varies,n_fam,flag_band_has1,wrel_chin,wrel_chin_lo,wrel_chin_hi,wrel_farseer_emb,wrel_farseer_emb_lo,wrel_farseer_emb_hi,wrel_gadre_rw,wrel_gadre_rw_lo,wrel_gadre_rw_hi,wrel_hoff,wrel_meta_a2,wrel_meta_a2_lo,wrel_meta_a2_hi,TDrel,Trel
Apertus,B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,8053338176.0,15000000000000.0,1862.5816614409612,False,Apertus-70B-2509,70599864480.0,15000000000000.0,5.265732542663558,2.477449198791329,False,2,False,2.1254653961149,1.9895208296451383,2.2506776233676087,2.6459024055292217,2.292619810035909,3.0617537782827555,1.6212925319527707,1.388343137983625,1.8562952503891104,2.0883689823775327,1.8953098974632934,1.7091166789847119,1.9481144664096304,3.3763961883447005,50645942825170.51
Apertus,B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,70599864480.0,15000000000000.0,212.46499707162045,True,Apertus-70B-2509,70599864480.0,15000000000000.0,2.477449198791329,2.477449198791329,False,2,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
BLOOM,B:bigscience/bloom-560m,bloom-560m,BigScience,559214592.0,341000000000.0,609.7838019219641,False,bloom,176247271424.0,366000000000.0,3.314319624462771,0.46121758551566266,False,5,True,7.1860218008756265,6.025211679781033,8.365001853643024,12.88932670368335,8.823668404499385,18.955254268170496,3.5256565304220193,2.3371345306623277,5.064210759042326,6.898458477469576,5.34635562973766,4.074378303026759,5.7500785850584775,18.55806540262688,6328300302295.767
BLOOM,B:bigscience/bloom-1b1,bloom-1b1,BigScience,1065314304.0,341000000000.0,320.0933271238607,False,bloom,176247271424.0,366000000000.0,2.649612937851915,0.46121758551566266,False,5,True,5.744822012563823,4.912460906981679,6.574671691563259,9.65561352035691,6.897261092633218,13.598514551594818,3.054485175875475,2.1200730295061203,4.214615591015008,5.543834087980764,4.422036712642463,3.475025008682063,4.717319998982801,14.234466037691469,4853952918852.791
BLOOM,B:bigscience/bloom-3b,bloom-3b,BigScience,3002557440.0,341000000000.0,113.56985064039274,False,bloom,176247271424.0,366000000000.0,1.848791772440039,0.46121758551566266,False,5,True,4.008502343580428,3.537797870883608,4.463898033429118,6.068545116500396,4.641832847329988,7.973407333267397,2.425329697139333,1.8125470139978639,3.1371278588049902,3.9009072366797803,3.2590051090594514,2.690639744499786,3.4313245629329905,9.025507030741284,3077697897482.778
BLOOM,B:bigscience/bloom-7b1,bloom-7b1,BigScience,7069016064.0,341000000000.0,48.23867945874285,False,bloom,176247271424.0,366000000000.0,1.3732021124703415,0.46121758551566266,False,5,True,2.9773411847144513,2.6972665379619305,3.2415730188418883,4.134415885682835,3.3463264629362937,5.129290580449763,2.004461990574653,1.5923802664391904,2.45782697613165,2.917615906422469,2.5325798974446516,2.1782036511512946,2.6377452044527137,5.932023554143354,2022820031962.8838
BLOOM,B:bigscience/bloom,bloom,BigScience,176247271424.0,366000000000.0,2.07662789354344,True,bloom,176247271424.0,366000000000.0,0.46121758551566266,0.46121758551566266,False,5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Cerebras-GPT,B:cerebras/Cerebras-GPT-111M,Cerebras-GPT-111M,Cerebras,111000000.0,2220000000.0,20.0,False,Cerebras-GPT-6.7B,6700000000.0,134000000000.00002,0.9151847566263237,0.9928370020111039,True,6,True,0.9217875187694566,0.7019816595334665,1.1025161780854762,1.741915802448417,1.3916558177026632,2.242500251973199,0.7592046498095697,0.48972369984169567,1.1945231812288553,1.2493807897774547,1.1799692049931125,0.9973583760117356,1.2520692823338049,-0.2346374436916301,-520895124.9954188
Cerebras-GPT,B:cerebras/Cerebras-GPT-256M,Cerebras-GPT-256M,Cerebras,256000000.0,5120000000.0,20.0,False,Cerebras-GPT-6.7B,6700000000.0,134000000000.00002,0.9305013582351802,0.9928370020111039,True,6,True,0.9372146247071202,0.7544744797640904,1.0808039406067937,1.5556283738903864,1.3010083069520373,1.9021872363217338,0.8030483756451938,0.5664206033990138,1.152026147966868,1.193956300550662,1.1408365837870746,0.9978961718720069,1.196001471114752,-0.18835612587863926,-964383364.498633
Cerebras-GPT,B:cerebras/Cerebras-GPT-590M,Cerebras-GPT-590M,Cerebras,590000000.0,11800000000.0,20.0,False,Cerebras-GPT-6.7B,6700000000.0,134000000000.00002,0.9460611057234509,0.9928370020111039,True,6,True,0.9528866307431088,0.8108434772178241,1.0595369970894326,1.3893953042422595,1.2163340887057248,1.6137419402551003,0.8493839866287715,0.6550491225180692,1.1110748314299383,1.1410340316294798,1.1030330188822202,0.9984338054754925,1.1424883622485327,-0.14134010777067374,-1667813271.6939502
