family,lab,n,flagship,N_f,D_f,M_f,w_flag_chin,w_flag_meta_a2,D_varies,flag_band_has1,flag_band_lo,flag_band_hi,share_sib_wrel_gt1,spearman_Trel_N,max_TDrel
Apertus,Swiss AI,2,Apertus-70B-2509,70599864480.0,15000000000000.0,212.46499707162045,2.477449198791329,1.6288084772760725,False,False,1.018127687090807,7.548016329804267,1.0,,3.3763961883447005
BLOOM,BigScience,5,bloom,176247271424.0,366000000000.0,2.07662789354344,0.46121758551566266,0.48416504658490117,False,True,0.20168152750021526,1.7831832891598949,1.0,-1.0,18.55806540262688
Cerebras-GPT,Cerebras,6,Cerebras-GPT-6.7B,6700000000.0,134000000000.00002,20.000000000000004,0.9928370020111039,0.9824598815845196,True,True,0.7784341686829275,2.2379034829637865,0.0,-0.9999999999999999,-0.05366903687690261
Codegen-NL,Salesforce,2,codegen-16B-nl,16000000000.0,360000000000.0,22.5,1.0547959639673186,0.977367472750832,False,True,0.6828802679844604,2.698764377235197,1.0,,1.2175929973042225
DeepSeek-LLM,DeepSeek,2,deepseek-llm-67b-base,67000000000.0,2000000000000.0,29.850746268656717,1.2039277565253241,0.9911963534203924,False,True,0.560002301025419,3.7981078707362768,1.0,,3.573925578381056
DeepSeek-V2,DeepSeek,2,DeepSeek-V2,21000000000.0,8100000000000.0,385.7142857142857,3.0104781116759045,1.9904186754305553,True,False,1.5568056224532463,7.77668257652904,1.0,,2.600880365767523
Falcon,TII,3,falcon-180B,179522565120.0,3500000000000.0,19.49615636151623,1.0499606903014174,0.8547970306715295,True,True,0.40291272795672467,3.778282229882555,1.0,,3.7107223586880687
GPT-Neo/J,EleutherAI,5,gpt-neox-20b,20554568208.0,472000000000.0,22.96326515953246,1.0680192861353355,0.9725608905140659,True,True,0.6546151759838255,2.8380353019031346,1.0,-1.0,11.936682389254742
Gemma,Google,2,gemma-7b,8537680896.0,6000000000000.0,702.7669542921273,3.685844575806417,2.404031564207791,True,False,2.2028107215224195,8.437679938366252,1.0,,0.5602031465692887
Gemma-2,Google,3,gemma-2-27b,27227128320.0,13000000000000.0,477.464969761453,3.272680047891173,2.079442542484503,True,False,1.5782094240657993,8.739785009506758,1.0,,0.6532303368563737
