uid,Mstar,rho,w,TD,C_over_Cmin
B:meta-llama/Meta-Llama-3-70B,16.0,0.3,2.1728784498174405,3.5186353494523215,1.6319423762612335
B:meta-llama/Meta-Llama-3-8B,16.0,0.3,4.170349765555521,9.511049296666563,4.8160529095252
B:meta-llama/Llama-3.1-405B,16.0,0.3,1.3007404072571083,0.9022212217713248,1.0591286663309323
B:Qwen/Qwen3-8B-Base,16.0,0.3,5.390857936493049,13.172573809479147,8.40752490930126
B:google/gemma-3-27b-pt,16.0,0.3,2.8386965059673304,5.516089517901991,2.3839400740181422
B:meta-llama/Meta-Llama-3-70B,16.0,0.3527,2.490240681866105,4.470722045598315,1.7694138534711408
B:meta-llama/Meta-Llama-3-8B,16.0,0.3527,5.3593992733086555,13.078197819925967,6.047273764699235
B:meta-llama/Llama-3.1-405B,16.0,0.3527,1.3622289930631128,1.0866869791893385,1.0697920079579992
B:Qwen/Qwen3-8B-Base,16.0,0.3527,7.2474593700495396,18.742378110148618,11.224550297762107
B:google/gemma-3-27b-pt,16.0,0.3527,3.409705429008703,7.229116287026109,2.733705004690227
B:meta-llama/Meta-Llama-3-70B,16.0,0.4,2.8143660093139404,5.443098027941821,1.898936304614424
B:meta-llama/Meta-Llama-3-8B,16.0,0.4,6.7126907634495625,17.13807229034869,7.305299305220699
B:meta-llama/Llama-3.1-405B,16.0,0.4,1.4198882838554459,1.2596648515663376,1.0794217556232995
B:Qwen/Qwen3-8B-Base,16.0,0.4,9.452438263507988,25.357314790523965,14.193138911745706
B:google/gemma-3-27b-pt,16.0,0.4,4.019375839292351,9.058127517877054,3.07398721569965
B:meta-llama/Meta-Llama-3-70B,20.0,0.3,2.0321811974989847,3.096543592496954,1.5076236284171454
B:meta-llama/Meta-Llama-3-8B,20.0,0.3,3.900313145113234,8.700939435339702,4.210115376938925
B:meta-llama/Llama-3.1-405B,20.0,0.3,1.216515446907375,0.6495463407221247,1.0324753324941311
B:Qwen/Qwen3-8B-Base,20.0,0.3,5.0417915175373835,12.12537455261215,7.226954472458265
B:google/gemma-3-27b-pt,20.0,0.3,2.654886501045444,4.964659503136332,2.148520312542236
B:meta-llama/Meta-Llama-3-70B,20.0,0.3527,2.301765954531925,3.9052978635957754,1.6144620211162157
B:meta-llama/Meta-Llama-3-8B,20.0,0.3527,4.953771285593466,11.861313856780399,5.201832572037241
B:meta-llama/Llama-3.1-405B,20.0,0.3527,1.2591282205538918,0.7773846616616755,1.03826435739699
B:Qwen/Qwen3-8B-Base,20.0,0.3527,6.698932900868246,17.096798702604737,9.497044234254545
B:google/gemma-3-27b-pt,20.0,0.3527,3.1516406942615736,6.454922082784721,2.427455091143273
B:meta-llama/Meta-Llama-3-70B,20.0,0.4,2.5740475880636278,4.722142764190883,1.7143924535024908
B:meta-llama/Meta-Llama-3-8B,20.0,0.4,6.139494796302772,15.418484388908317,6.206629762277263
B:meta-llama/Llama-3.1-405B,20.0,0.4,1.298644170759034,0.8959325122771018,1.0434780906432082
B:Qwen/Qwen3-8B-Base,20.0,0.4,8.645295541866734,22.9358866256002,11.870748609903282
B:google/gemma-3-27b-pt,20.0,0.4,3.6761617538060594,8.028485261418178,2.696566395944894
B:meta-llama/Meta-Llama-3-70B,24.2,0.3,1.9192290901341116,2.757687270402335,1.4163322931585713
B:meta-llama/Meta-Llama-3-8B,24.2,0.3,3.683527068327541,8.050581204982624,3.767680267804778
B:meta-llama/Llama-3.1-405B,24.2,0.3,1.1488994373019237,0.44669831190577103,1.016172070552346
B:Qwen/Qwen3-8B-Base,24.2,0.3,4.761560120110298,11.284680360330894,6.371423038030724
B:google/gemma-3-27b-pt,24.2,0.3,2.50732336766113,4.52197010298339,1.9751689956158323
B:meta-llama/Meta-Llama-3-70B,24.2,0.3527,2.1521015585201404,3.456304675560421,1.5016682579488254
B:meta-llama/Meta-Llama-3-8B,24.2,0.3527,4.631669385537498,10.895008156612494,4.591661151832478
B:meta-llama/Llama-3.1-405B,24.2,0.3527,1.1772577487713196,0.5317732463139588,1.019033968360357
B:Qwen/Qwen3-8B-Base,24.2,0.3527,6.263357883105068,15.790073649315204,8.259396341592176
B:google/gemma-3-27b-pt,24.2,0.3527,2.9467161231842587,5.840148369552776,2.204327528224256
B:meta-llama/Meta-Llama-3-70B,24.2,0.4,2.3850771054354944,4.155231316306484,1.5810179119771777
B:meta-llama/Meta-Llama-3-8B,24.2,0.4,5.688771468525054,14.066314405575163,5.420453118360386
B:meta-llama/Llama-3.1-405B,24.2,0.4,1.203305834028765,0.609917502086295,1.0216070655778002
B:Qwen/Qwen3-8B-Base,24.2,0.4,8.010611988001909,21.031835964005726,10.220148927746457
B:google/gemma-3-27b-pt,24.2,0.4,3.406280938836976,7.218842816510928,2.4238725464943514
B:meta-llama/Meta-Llama-3-70B,41.0,0.3,1.6384616114373773,1.915384834312132,1.2227875051442771
B:meta-llama/Meta-Llama-3-8B,41.0,0.3,3.1446572622153233,6.433971786645969,2.8258327459787
B:meta-llama/Llama-3.1-405B,41.0,0.3,0.9808248703075182,-0.05752538907744542,1.0003124290360201
