lab2,n,median_w,median_M,first,last
Tsinghua University,6,0.8002540142178189,11.11979608335,2021,2025
vivo AI lab,4,0.8303892214103443,10.989010989010989,2023,2023
Cerebras,5,1.0018598774884173,20.000000000000004,2023,2023
EleutherAI,10,1.6761410507427394,87.25379291570977,2021,2023
Meta,29,1.8301287186162705,111.11111111111111,2021,2025
OpenAI,7,1.8420485163841223,113.20754716981132,2020,2022
BigScience,5,1.848791772440039,113.56985064039274,2022,2022
RWKV,6,1.9481952660333755,128.43007299683114,2023,2024
OpenLM Research,5,2.0453801633095128,142.85714285714286,2023,2023
Baichuan,5,2.1869313608504086,171.41486764248992,2023,2023
Google,23,2.267754548713912,200.96618357507248,2020,2025
Stability AI,6,2.7798109527217703,357.1428571428571,2023,2024
Microsoft,17,2.8627614895132667,343.8336776560189,2020,2025
TII,8,2.9965753979865593,422.6847688746242,2023,2025
Nvidia,13,3.0091403386478555,404.1570438799077,2019,2025
DeepSeek,7,3.0104781116759045,385.7142857142857,2024,2024
01.AI,5,3.020038272286708,407.7283905257752,2023,2024
AI2,10,3.1624259460048627,465.18404463518436,2024,2025
LG AI Research,7,4.2233310627547995,1023.0179028132992,2024,2025
Alibaba,30,4.841673546198271,1471.481724859233,2023,2025
H2O.ai,4,4.844987901119508,1576.3584593588698,2024,2024
IBM,9,5.282411817905157,1879.369066666625,2023,2026
Apple,6,5.323308738253045,2141.3673180243395,2024,2024
Ant Group,5,6.339750237096938,3272.7272727272725,2025,2025
Hugging Face,7,6.60831636804217,3642.1596083417194,2022,2025
