model,N_nonemb,D,M,w_farseer,w_eq3,Mstar_eq3_ownC,in_farseer_N,above_farseer_N,in_farseer_N_1p5,above_farseer_N_1p5
Llama-2-7b-hf,6476273664.0,2000000000000.0,296.80558548411165,2.2570366558014765,1.9934241953398624,75.85569935795229,False,True,True,False
Llama-2-13b-hf,12688186880.0,2000000000000.0,153.6586090222828,1.868969290803647,1.303682208541998,95.07803789279313,False,True,False,True
Llama-2-70b-hf,68452365312.0,2000000000000.0,28.99531803831451,1.1648104542371922,0.2540719962475653,180.0311792730923,False,True,False,True
llama-7b,6476273664.0,1000000000000.0,148.40279274205582,1.8185184943156285,1.575247248883648,61.23281357354625,False,True,True,False
llama-13b,12688186880.0,1000000000000.0,76.8293045111414,1.5058484814140043,1.0239174960809174,75.35301278538222,False,True,False,True
llama-30b,32102963456.0,1400000000000.0,43.03858899503889,1.2889286986889192,0.5487824783669739,116.74450795732373,False,True,False,True
llama-65b,64761377792.0,1400000000000.0,21.444217241505925,1.058596951809261,0.23119250258483778,152.6188447918213,False,True,False,True
Meta-Llama-3-70B,68452360192.0,15000000000000.0,212.60399694026583,2.182641117040486,0.6207989672358017,436.092423179171,False,True,False,True
Meta-Llama-3-8B,6979588096.0,15000000000000.0,1867.9342473118008,4.141398944159429,3.598165757112783,161.57398949119212,False,True,True,False
Llama-3.1-405B,401650696192.0,15600000000000.0,38.437525546170825,1.3449705466878101,-0.21910150690706648,1064.2414933979082,False,True,False,True
Llama-3.1-70B,68452360192.0,15000000000000.0,212.60399694026583,2.182641117040486,0.6207989672358017,436.092423179171,False,True,False,True
Llama-3.1-8B,6979588096.0,15000000000000.0,1867.9342473118008,4.141398944159429,3.598165757112783,161.57398949119212,False,True,True,False
Qwen1.5-72B,69796503552.0,3000000000000.0,41.50070986532617,1.3145218350345655,0.3019631898489116,214.70889522212104,False,True,False,True
Qwen1.5-32B,30955082752.0,4000000000000.0,123.03067069187853,1.8061907169143185,0.841342083576328,172.83614231290815,False,True,False,True
Qwen1.5-14B,12610155520.0,4000000000000.0,282.34050065611416,2.3236709996883267,1.6483901545320547,121.85821395202477,False,True,False,True
Qwen1.5-7B,6476664832.0,4000000000000.0,518.0458323187923,2.801251770250839,2.499564825448479,95.7668054633791,False,True,True,False
