model,org,lab,year,N,D,M,w_chin,band_lo,band_hi,open_weights
GPT-3 175B (davinci),OpenAI,OpenAI,2020,174600000000.0,300000000000.0,1.718213058419244,0.430143433582544,0.190517299060588,1.6644006648599259,False
GShard (600B),Google,Google,2020,600000000000.0,1333333333333.3333,2.222222222222222,0.48448286915328515,0.16104911587555978,2.261948172037257,False
GLM-10B,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,Massachusetts Institute of Technology (MIT),Shanghai Qi Zhi institute","Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,Massachusetts Institute of Technology (MIT),Shanghai Qi Zhi institute",2021,10000000000.0,82329255000.0,8.2329255,0.7224309677782113,0.5481582188935791,1.7939265268185602,True
PanGu-α,Huawei Noah's Ark Lab,Huawei Noah's Ark Lab,2021,207000000000.0,41159420289.85508,0.1988377791780438,0.1955221430632364,0.09121194431179272,0.8925327072232854,False
Jurassic-1-Jumbo,AI21 Labs,AI21 Labs,2021,178000000000.0,300000000000.0,1.6853932584269662,0.4272718755916927,0.18864766109429423,1.6595580553746734,False
MEB,Microsoft,Microsoft,2021,135000000000.0,500000000000.0,3.703703703703704,0.567372473788798,0.2546526973259992,2.080142814497226,False
HyperCLOVA 82B,"NAVER,Search Solutions","NAVER,Search Solutions",2021,82000000000.0,300000000000.0,3.658536585365854,0.5592566499314655,0.2803991986730177,1.91375660904024,False
Megatron-Turing NLG 530B,"Microsoft,Nvidia","Microsoft,Nvidia",2021,530000000000.0,270000000000.0,0.5094339622641509,0.281402726143238,0.10306890378984818,1.362492549934581,False
Yuan 1.0,Inspur,Inspur,2021,245730000000.0,180000000000.0,0.7325112928824319,0.3166728512167129,0.13501095015148473,1.3408596682663236,False
Gopher (280B),DeepMind,DeepMind,2021,280000000000.0,300000000000.0,1.0714285714285714,0.3650691411773071,0.1490029690864654,1.5495401773138258,False
GLaM,Google,Google,2021,101008645650.0,600000000000.0,5.940085585139216,0.6709558587639218,0.3125750632499517,2.3296635042252363,False
LaMDA,Google,Google,2022,137000000000.0,2080000000000.0,15.182481751824817,0.9527173286595388,0.39486178320348087,3.286676325526711,False
PaLM (540B),Google Research,Google Research,2022,540350000000.0,780000000000.0,1.4435088368649949,0.41264710564209206,0.1438494802959872,1.9218892697650702,False
Sparse all-MLP,Meta AI,Meta AI,2022,9410000000.0,100000000000.0,10.626992561105208,0.7924559498008081,0.6002613806998018,1.9217504935165646,False
OPT-175B,Meta AI,Meta AI,2022,175000000000.0,300006000000.0,1.71432,0.42980486428535386,0.19029567745640272,1.6638353382458957,True
BIG-G 137B,Google,Google,2022,137000000000.0,681200000000.0,4.972262773722628,0.6323580032846224,0.27821954131330306,2.314503702307861,False
opt-30b,Meta AI,Meta,2022,30000000000.0,300000000000.0,10.0,0.7930107610216768,0.46890174403598184,2.238915116698274,True
opt-66b,Meta AI,Meta,2022,66000000000.0,300000000000.0,4.545454545454546,0.6030482877064229,0.31331572410100206,2.0005029224137107,True
YaLM,Yandex,Yandex,2022,100000000000.0,300000000000.0,3.0,0.5220087742422046,0.253340733533601,1.841822274275971,True
bloom,"Hugging Face,BigScience",BigScience,2022,176247271424.0,366000000000.0,2.07662789354344,0.46121758551566266,0.20168152750021526,1.7831832891598949,True
GLM-130B,Tsinghua University,Tsinghua University,2022,130000000000.0,400000000000.0,3.076923076923077,0.5296367846941848,0.2422347190220469,1.9549393133284207,True
Luminous-supreme,Aleph Alpha,Aleph Alpha,2022,70000000000.0,1069300000000.0,15.275714285714283,0.9422108475783223,0.4511069393320574,3.0122545997774326,False
Luminous-extended,Aleph Alpha,Aleph Alpha,2022,30000000000.0,460000000000.0,15.333333333333334,0.9277686949697036,0.5340181418898804,2.656901526491888,False
NeMO Megatron GPT 20B,Nvidia,Nvidia,2022,20000000000.0,341173367965.0,17.05866839825,0.9570737928034941,0.5980719857378426,2.5323989699150546,True
CPM-Ant,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)","Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)",2022,10000000000.0,33400000000.0,3.34,0.5187228278132328,0.41347501588486196,1.355576473331313,True
gpt-sw3-40b,AI Sweden,AI Sweden,2023,40000000000.0,320000000000.0,8.0,0.7348148431527197,0.4129499794188485,2.195213556671807,True
CPM-Bee,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)","Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)",2023,10000000000.0,140066666667.0,14.0066666667,0.8780770606574265,0.64329912890815,2.111185336529799,True
Cerebras-GPT-6.7B,,Cerebras,2023,6700000000.0,134000000000.00002,20.000000000000004,0.9928370020111039,0.7784341686829275,2.2379034829637865,True
BloombergGPT,"Bloomberg,Johns Hopkins University","Bloomberg,Johns Hopkins University",2023,50558868480.0,569000000000.0,11.254207562518614,0.8368020407840527,0.43801971559127006,2.616204068838467,False
PaLM 2,Google,Google,2023,340000000000.0,3600000000000.0,10.588235294117649,0.8498361469718512,0.2956957667279423,3.3530297598473626,False
Polyglot-Ko-12.8B,EleutherAI,EleutherAI,2023,12898631680.0,167000000000.0,12.947109751101909,0.857402826306187,0.5981605764216433,2.128693822308766,True
InternLM,"Shanghai AI Lab,SenseTime","Shanghai AI Lab,SenseTime",2023,104000000000.0,1600000000000.0,15.384615384615383,0.9521290970106736,0.41834325286971213,3.190255357347553,False
RetNet,"Microsoft Research,Tsinghua University","Microsoft Research,Tsinghua University",2023,6700000000.0,100000000000.0,14.92537313432836,0.8916790774704308,0.7087129111335192,2.0370638880218825,False
Japanese-LM-3.6B,LINE Corporation,LINE Corporation,2023,3600000000.0,72150000000.0,20.041666666666668,0.9814125773155644,0.8379268646029414,2.0579003863803287,True
