tech,label,n,median_w,share_w_gt1,share_lo_gt1,share_Mx,share_Cx,median_lo_ratio,median_hi_ratio
chin,Chinchilla refit (Besiroglu sample),173,3.185899681978087,0.9479768786127167,0.8728323699421965,0.5491329479768786,0.7456647398843931,0.7999016489739187,1.3881583882913513
chin_cl,"Chinchilla refit, 9-cluster bootstrap",173,3.185899681978087,0.9479768786127167,0.7976878612716763,0.5491329479768786,0.7456647398843931,0.555636601688279,1.8117994329025113
chin_nls,"Chinchilla, NLS in levels",173,4.114978431011372,0.9595375722543352,0.9248554913294798,0.5491329479768786,0.7456647398843931,0.7307726451913985,1.2809648230836932
chin245,"Chinchilla, all 245 points",173,4.7801875988361004,0.9710982658959537,0.9075144508670521,0.5491329479768786,0.7456647398843931,0.593800922450855,1.973370174045517
besi,Besiroglu et al. (published),173,3.160950670248225,0.9479768786127167,,0.5491329479768786,0.7456647398843931,,
hoff,Hoffmann et al. A3 (TeX),173,1.9089627283994233,0.861271676300578,,0.5491329479768786,0.7456647398843931,,
farseer,Farseer (non-emb. N),146,2.673074357770002,0.9863013698630136,0.910958904109589,0.2054794520547945,0.8698630136986302,0.8578938997311072,1.1539664830120007
farseer_emb,Farseer (N incl. emb.),173,2.407077087667928,0.884393063583815,0.8497109826589595,0.28901734104046245,0.8497109826589595,0.850729282082959,1.164644612310617
farseer_q,"Farseer, q-family (inner)",146,3.8505800954540854,0.9863013698630136,0.9863013698630136,0.2054794520547945,0.8698630136986302,0.952832990716594,1.0336426790997204
gadre_rw,Gadre et al. RefinedWeb,173,4.026809090859846,1.0,0.9248554913294798,0.42196531791907516,0.8092485549132948,0.5125676313598954,1.658019938490874
gadre_c4,Gadre et al. C4,173,3.064624723715573,0.9884393063583815,0.5722543352601156,0.42196531791907516,0.8092485549132948,0.3722009368051986,2.2311233966837882
gadre_rp,Gadre et al. RedPajama,173,3.3226291955827887,0.9942196531791907,0.976878612716763,0.42196531791907516,0.8092485549132948,0.7263994927019759,1.8880491220896736
olmo,OLMo ladder (AI2),10,1.239618395525079,0.8,0.3,0.8,1.0,0.3529493619201355,2.0174888598151997
meta_a2,Meta Llama 3 law (A2/A1),173,2.123857905607596,0.9132947976878613,0.884393063583815,0.41040462427745666,0.791907514450867,0.8552900188514313,1.1498193304703834
meta_a3,"Meta Llama 3 IsoFLOPs, primal (A3)",173,3.080993311871172,0.9826589595375722,0.884393063583815,0.41040462427745666,0.791907514450867,0.737230040379231,1.2147528032332284
PI band,band_lo / band_hi medians,173,,,0.7861271676300579,,,1.7690625891907943,6.917446122849775
