model,family,lab,date,N_total,N_active,N,N_src,N_nonemb,D,D_src,D_card_verified,epoch_D,D_vs_epoch,M,moe,distilled,synthetic,code
Llama-2-7b-hf,Llama-2,Meta,2023-07-18 00:00:00,6738417664.0,6738417664.0,6738417664.0,HF safetensors (float tensors),6476273664.0,2000000000000.0,ObsScaling,,2000000000000.0,0.0,296.80558548411165,False,False,False,False
Llama-2-13b-hf,Llama-2,Meta,2023-07-18 00:00:00,13015866880.0,13015866880.0,13015866880.0,HF safetensors (float tensors),12688186880.0,2000000000000.0,ObsScaling,,2000000000000.0,0.0,153.6586090222828,False,False,False,False
Llama-2-70b-hf,Llama-2,Meta,2023-07-18 00:00:00,68976653312.0,68976653312.0,68976653312.0,HF safetensors (float tensors),68452365312.0,2000000000000.0,ObsScaling,,2000000000000.0,0.0,28.99531803831451,False,False,False,False
llama-7b,Llama,Meta,2023-02-24 00:00:00,6738417664.0,6738417664.0,6738417664.0,HF safetensors (float tensors),6476273664.0,1000000000000.0,ObsScaling,,1000000000000.0,0.0,148.40279274205582,False,False,False,False
llama-13b,Llama,Meta,2023-02-27 00:00:00,13015866880.0,13015866880.0,13015866880.0,HF safetensors (float tensors),12688186880.0,1000000000000.0,ObsScaling,,1000000000000.0,0.0,76.8293045111414,False,False,False,False
llama-30b,Llama,Meta,2023-02-27 00:00:00,32528947456.0,32528947456.0,32528947456.0,HF safetensors (float tensors),32102963456.0,1400000000000.0,ObsScaling,,1456000000000.0,-0.0170333392987803,43.03858899503889,False,False,False,False
llama-65b,Llama,Meta,2023-02-24 00:00:00,65285665792.0,65285665792.0,65285665792.0,HF safetensors (float tensors),64761377792.0,1400000000000.0,ObsScaling,,1526000000000.0,-0.0374264979406236,21.444217241505925,False,False,False,False
Meta-Llama-3-70B,Llama-3,Meta,2024-04-18 00:00:00,70553706496.0,70553706496.0,70553706496.0,HF safetensors (float tensors),68452360192.0,15000000000000.0,ObsScaling,,15000000000000.0,0.0,212.60399694026583,False,False,False,False
Meta-Llama-3-8B,Llama-3,Meta,2024-04-18 00:00:00,8030261248.0,8030261248.0,8030261248.0,HF safetensors (float tensors),6979588096.0,15000000000000.0,ObsScaling,,15000000000000.0,0.0,1867.9342473118008,False,False,False,False
Llama-3.1-405B,Llama-3.1,Meta,2024-07-23 00:00:00,405853388800.0,405853388800.0,405853388800.0,HF safetensors (float tensors),401650696192.0,15600000000000.0,ObsScaling; fix: 405B: 15.6T per Llama 3 herd report (card: ~15T for all 3.1 sizes),,15600000000000.0,0.0,38.437525546170825,False,False,False,False
Llama-3.1-70B,Llama-3.1,Meta,2024-07-23 00:00:00,70553706496.0,70553706496.0,70553706496.0,HF safetensors (float tensors),68452360192.0,15000000000000.0,ObsScaling,,15000000000000.0,0.0,212.60399694026583,False,False,False,False
Llama-3.1-8B,Llama-3.1,Meta,2024-07-23 00:00:00,8030261248.0,8030261248.0,8030261248.0,HF safetensors (float tensors),6979588096.0,15000000000000.0,ObsScaling,,,,1867.9342473118008,False,False,False,False
Qwen1.5-72B,Qwen1.5,Alibaba,2024-02-04 00:00:00,72287920128.0,72287920128.0,72287920128.0,HF safetensors (float tensors),69796503552.0,3000000000000.0,ObsScaling,,3000000000000.0,0.0,41.50070986532617,False,False,False,False
Qwen1.5-32B,Qwen1.5,Alibaba,2024-04-01 06:19:21,32512218112.0,32512218112.0,32512218112.0,HF safetensors (float tensors),30955082752.0,4000000000000.0,ObsScaling,,,,123.03067069187853,False,False,False,False
