family,model,year,N,N_total,D,M,moe,distilled,w,w_lo,w_hi,TD,TD_lo,TD_hi,T,CE,band_lo,band_hi,w_meta,w_farseer,wrel,TDrel,flagship,Mx_chin,Mx_farseer
Llama-3.1,Llama-3.1-8B,2024,8030261248.0,8030261248.0,15000000000000.0,1867.9342473118008,False,False,5.270983254526004,3.965813096813232,8.120361343871785,12.812949763578011,8.897439290439696,21.361084031615356,192194246453670.2,0.17872598525195607,2.4761854156696548,12.013186342082193,3.0897070134167275,4.141398944159429,3.8497959584203305,8.549387875260992,False,True,True
Llama-3.1,Llama-3.1-70B,2024,70553706496.0,70553706496.0,15000000000000.0,212.60399694026583,False,False,2.478012002522387,1.8143763971721405,3.8102459045344363,4.43403600756716,2.4431291915164213,8.430737713603309,66510540113507.41,0.5751717825814313,1.0184684413572667,7.549065470329678,1.6291222457773489,2.182641117040486,1.8098787515661767,2.42963625469853,False,False,False
Llama-3.1,Llama-3.1-405B,2024,405853388800.0,405853388800.0,15600000000000.0,38.437525546170825,False,False,1.369159122056123,0.985897655787886,2.2160387727484405,1.107477366168369,-0.042307032636341946,3.6481163182453216,17276646912226.557,0.9336965209633811,0.42173746645921684,5.7320066393285645,0.9828634552047036,1.3449705466878101,1.0,0.0,True,False,False
Llama-3.2,Llama-3.2-1B,2024,1235814400.0,1235814400.0,9000000000000.0,7282.646973526122,False,True,8.369907837843979,6.530523161145072,12.323198446478735,22.109723513531936,16.591569483435215,33.969595339436204,198987511621787.44,0.07019599429828371,3.5320974472099986,15.034390697042937,4.708799125417594,6.138223439401598,1.3935011844690137,1.1805035534070412,False,True,True
Llama-3.2,Llama-3.2-3B,2024,3212749824.0,3212749824.0,9000000000000.0,2801.3385707059647,False,True,6.006387315008478,4.6351407582254085,9.009583981080203,15.019161945025434,10.905422274676226,24.028751943240607,135172457505228.9,0.13914311670810703,2.7896595866157776,12.125954414105458,3.553918690964692,4.554814845446688,1.0,0.0,True,True,True
Qwen2.5,Qwen2.5-0.5B,2024,494032768.0,494032768.0,18000000000000.0,36434.83016899802,False,False,14.843925389361603,11.439029834862051,22.663921246339193,41.53177616808481,31.317089504586153,64.99176373901759,747571971025526.5,0.019003762797756566,6.204060022503841,23.673492042909416,7.356920739571571,10.086309009653947,5.661156436713013,13.98346931013904,False,True,True
Qwen2.5,Qwen2.5-1.5B,2024,1543714304.0,1543714304.0,18000000000000.0,11660.188645890788,False,False,9.99299448360288,7.611194236300663,15.347698281969135,26.97898345080864,19.83358270890199,43.043094845907405,485621702114555.5,0.04754815021290539,4.6237588994962495,18.41629834636061,5.259749396269059,7.008369949145595,3.8111148876718426,8.433344663015529,False,True,True
Qwen2.5,Qwen2.5-3B,2024,3085938688.0,3085938688.0,18000000000000.0,5832.9091468974775,False,False,7.856291276253686,5.939172627874531,12.275378651507038,20.56887382876106,14.817517883623594,33.82613595452111,370239728917699.06,0.08037453063427158,3.8648622343106203,15.784805462219559,4.289117084346897,5.678155189206678,2.996221872627493,5.9886656178824795,False,True,True
Qwen2.5,Qwen2.5-7B,2024,7615616512.0,7615616512.0,18000000000000.0,2363.564390569986,False,False,5.740655629920986,4.29782273232984,8.940856630190206,14.221966889762957,9.89346819698952,23.82256989057062,255995404015733.25,0.15195229221206158,3.047792488605562,12.931595864627976,3.287176890935831,4.467030973708518,2.1893635758619,3.5680907275857003,False,True,True
Qwen2.5,Qwen2.5-14B,2024,14770033664.0,14770033664.0,18000000000000.0,1218.6837491015756,False,False,4.56087799570732,3.3911136750470177,7.107495503751972,10.68263398712196,7.1733410251410525,18.322486511255917,192287411768195.28,0.2324729905486645,2.368705796395238,11.172749149811539,2.704562732387646,3.664969687284476,1.739421557653871,2.218264672961613,False,True,False
Qwen2.5,Qwen2.5-32B,2024,32763876352.0,32763876352.0,18000000000000.0,549.3855429869253,False,False,3.4583921117770386,2.554061751742352,5.40669312720594,7.3751763353311155,4.6621852552270555,13.220079381617818,132753174035960.1,0.36639397338703383,1.5876249606062722,9.37114225684865,2.1388957118746603,2.879793998610471,1.3189569639238203,0.956870891771461,False,True,False
Qwen2.5,Qwen2.5-72B,2024,72706203648.0,72706203648.0,18000000000000.0,247.57172148810363,False,False,2.622065925099272,1.9098381475463813,4.074223923219145,4.866197775297816,2.729514442639144,9.222671769657435,87591559955360.69,0.537249898228606,1.0613180908276154,8.00564666380166,1.6913532849721948,2.2938410909377316,1.0,0.0,True,False,False
Qwen3,Qwen3-0.6B-Base,2025,596049920.0,596049920.0,36000000000000.0,60397.62575590984,False,False,17.93756707217954,13.507473820314642,28.51515493719224,50.81270121653862,37.522421460943924,82.54546481157672,1829257243795390.2,0.01202810200411941,6.950166428513579,29.353218069245372,8.302221311954616,11.810326025209601,4.021159678771496,9.063479036314487,False,True,True
Qwen3,Qwen3-1.7B-Base,2025,1720574976.0,1720574976.0,36000000000000.0,20923.23816291514,False,False,12.41266176252351,9.246425189616653,19.8489819267078,34.237985287570524,24.739275568849962,56.5469457801234,1232567470352539.0,0.028975284476939953,5.271684399143927,23.3408395103139,6.075760793596131,8.52232629283691,2.7826123121848503,5.34783693655455,False,True,True
Qwen3,Qwen3-4B-Base,2025,4022468096.0,4022468096.0,36000000000000.0,8949.729156534248,False,False,9.242090320608758,6.821982915529523,15.025896131343723,24.726270961826273,17.465948746588566,42.07768839403117,890145754625745.9,0.05655806959713609,4.245367410091497,19.011588486398875,4.7312583285065895,6.533983485720616,2.07184847283086,3.21554541849258,False,True,True
