key,label,alpha,beta,a,sigma_star,lnG,Mstar_1e21,Mstar_1e24,Mstar_1e25,n_draws,n_conv,source,note,support_M_min,support_M_max,support_N_min,support_N_max,support_D_min,support_D_max,support_C_max
chin,Chinchilla refit (Besiroglu sample),0.3473104985599139,0.3671724333625037,0.5138995166400605,0.7367885708471132,-2.178530382035745,21.38452464385309,17.64828469179426,16.55401969864314,400,total,m1 chin_n240_huber; pairs bootstrap B=400,,0.4563924094194453,341.0964613180141,57334197.40687078,16183346310.7305,818680776.817937,317754489343.9688,1.3e+22
chin_cl,"Chinchilla refit, 9-cluster bootstrap",0.3473104985599139,0.3671724333625037,0.5138995166400605,0.7367885708471132,-2.178530382035745,21.38452464385309,17.64828469179426,16.55401969864314,400,total,m1 chin_n240_huber; cluster bootstrap B=400,,0.4563924094194453,341.0964613180141,57334197.40687078,16183346310.7305,818680776.817937,317754489343.9688,1.3e+22
chin_nls,"Chinchilla, NLS in levels",0.3576150884797981,0.4276206212661994,0.5445761265805437,0.7180720802198791,-3.5282567433035132,18.271806593570943,9.870172210427755,8.038453002257514,400,total,m1 chin_n240_nls_lev; pairs bootstrap,,0.4563924094194453,341.0964613180141,57334197.40687078,16183346310.7305,818680776.817937,317754489343.9688,1.3e+22
chin245,"Chinchilla, all 245 points",0.3493128951838599,0.4530492982902599,0.5646443737941063,0.713683621859235,-4.380524431674038,15.50306893984586,6.346750640508776,4.712622885306189,400,total,m1 chin_n245_huber; pairs bootstrap,,0.4563924094194453,341.0964613180141,57334197.40687078,16183346310.7305,818680776.817937,317754489343.9688,1.3e+22
besi,Besiroglu et al. (published),0.3478,0.3658,0.5126121076233184,0.7370283018867925,-2.123352888585489,21.58940233164001,18.13710528255443,17.1136938583099,0,total,literature point estimate (sl.py),,0.4563924094194453,341.0964613180141,57334197.40687078,16183346310.7305,818680776.817937,317754489343.9688,1.3e+22
hoff,Hoffmann et al. A3 (TeX),0.3392,0.2849,0.4564973561929178,0.7621660759879578,0.26266069174113876,33.983146558812905,61.98397891716081,75.73292643316935,0,total,literature point estimate (sl.py),,0.4563924094194453,341.0964613180141,57334197.40687078,16183346310.7305,818680776.817937,317754489343.9688,1.3e+22
farseer,Farseer (non-emb. N),0.2805328164453021,0.3116662510001588,0.5262862914401026,0.7715456830138219,-2.8301334928858037,24.83750105926499,17.273890012425067,15.304444370750378,400,nonemb,m2 farseer/all/huber; pairs B=400,,0.3139817296167515,2569.74598925328,99620352.0,6369572352.0,999997440.0,511998000000.0,3.5e+21
farseer_emb,Farseer (N incl. emb.),0.4481982419401501,0.3128468943761904,0.41107534815931157,0.7243633846088833,2.647229915510936,19.819241516746818,67.70721355117544,101.97277658280714,200,total,m2 farseer/N_incl_emb/huber; pairs B=200,,0.2938574789963001,1226.7994073922314,208672256.0,6805779968.0,999997440.0,511998000000.0,4.1e+21
farseer_q,"Farseer, q-family (inner)",0.3915371025578741,0.4253095697996484,0.5206724642363436,0.7100137965003706,-2.558395604276378,24.328946130881675,18.284728300013487,16.624308244874733,200,nonemb,m2 farseer/all/huber_q; the wedge uses the inner aggregator (q cancels),q = 0.472,0.3139817296167515,2569.74598925328,99620352.0,6369572352.0,999997440.0,511998000000.0,3.5e+21
gadre_rw,Gadre et al. RefinedWeb,0.2225871501476759,0.2897728966928455,0.5655649742397674,0.796064243465083,-3.65752540908275,3.351168155397674,1.354585352135306,1.0015587432811108,400,total,m2 gadre/RefinedWeb/huber; B=400,,5.0,640.0,10569312.0,6889410560.0,52846560.0,460734464000.0,8e+21
gadre_c4,Gadre et al. C4,0.2525740605376423,0.2622292212982498,0.5093775244848627,0.7952908342556049,-1.3994092238645208,6.858823767816794,6.025380772234392,5.77071263551209,400,total,m2 gadre/C4/huber; B=400,,5.0,640.0,10569312.0,6889410560.0,52846560.0,137788211200.0,8e+21
gadre_rp,Gadre et al. RedPajama,0.2430844840250033,0.2730054395853262,0.5289881222161921,0.7948841498996213,-2.2259625947792228,5.76845750587666,3.8648350615686304,3.381852952448192,400,total,m2 gadre/RedPajama/huber; B=400,,5.0,640.0,10569312.0,6889410560.0,52846560.0,921468928000.0,8e+21
olmo,OLMo ladder (AI2),0.2672694736613109,0.1570571336572147,0.3701326547720303,0.8249713524417156,4.108135188680054,48.30974429028038,290.5619959128822,528.4130084761837,400,olmo,m2 olmo_ladder/all/huber; B=400,,10.01023487188641,200.0293179803946,190354176.0,3169537280.0,1908932608.0,633939689472.0,1.2e+22
meta_a2,Meta Llama 3 law (A2/A1),0.2945184602589389,0.2541587244391098,0.4632208729054042,0.7847208002675895,0.24434555151130188,18.847252160905857,31.327288287638048,37.10915436510203,200,total,m1 llama_3_A2A1_kappa1; stratified B=200,"alpha = gamma/a, beta = gamma/(1-a) under kappa = 1; reproduces D* = 0.299 C^0.537",0.44,643.0,59000000.0,17000000000.0,,,1e+22
meta_a3,"Meta Llama 3 IsoFLOPs, primal (A3)",0.2835172411627058,0.3156562488720749,0.5268194506631989,0.7694753765641237,-2.566470924696901,13.94859842914485,9.629724610826644,8.510889777314432,200,total,m1 llama_3_A3_huber; stratified B=200,,0.44,643.0,59000000.0,17000000000.0,,,1e+22
