sample,formula,term,coef,se,p,n,clusters,r2
main,lnw ~ C(yr) + open + moe_,Intercept,0.3877308446436165,0.027328503741314576,1.090541742742838e-45,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,C(yr)[T.2020],-0.13495218089255545,0.06653587586084653,0.04253352697783026,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,C(yr)[T.2021],-0.6851373498905817,0.1858846523714774,0.00022796753243728326,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,C(yr)[T.2022],-0.6043003141820782,0.12416461358674546,1.1334593081612664e-06,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,C(yr)[T.2023],-0.3634114480478221,0.08447141220816433,1.691237667331025e-05,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,C(yr)[T.2024],0.34745558849786934,0.08830108188288198,8.323267226064878e-05,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,C(yr)[T.2025],0.5872784695138622,0.13382798529238646,1.1423572052755133e-05,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,C(yr)[T.2026],0.416876656201918,0.09031189549924663,3.912706478819633e-06,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,open,0.5716011847879714,0.09382372937313244,1.1130816800303696e-09,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_,moe_,0.010317055910845085,0.08392133904395856,0.9021568138470559,335,94,0.5235726214056751
main,lnw ~ C(yr) + open + moe_ + lnC,Intercept,6.523066493729524,0.7738591737217342,3.4783366825832924e-17,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2020],0.03594403438680856,0.07966589334738515,0.6518564159812785,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2021],-0.3793515852954571,0.181431312571387,0.03653858392700136,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2022],-0.285056168845265,0.1543843469730425,0.06483329144898915,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2023],0.07074111464813267,0.12943036509550537,0.5846828915034099,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2024],0.8937725117596078,0.14543788575983255,7.97673360741671e-10,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2025],1.309237029364243,0.19053558632353348,6.359637370268723e-12,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,C(yr)[T.2026],1.313509956131791,0.16394383058620915,1.1290274803115667e-15,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,open,0.4353439965969866,0.08721908633366203,5.994802274855948e-07,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,moe_,0.12603040610554792,0.08592980083633653,0.14246665491384042,335,94,0.6122798187785821
main,lnw ~ C(yr) + open + moe_ + lnC,lnC,-0.12310161992604604,0.015538756394713112,2.3328611222015372e-15,335,94,0.6122798187785821
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,Intercept,0.38292372629237753,0.02457477055077769,9.650938096360674e-55,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,C(yr)[T.2020],-0.19517172542928118,0.14426948593534464,0.17611075082681094,324,91,0.5382410530421228
drop Sample-A rows with |ln C/(6ND)| > ln 1.5,lnw ~ C(yr) + open + moe_,C(yr)[T.2021],-0.6926422672938124,0.1832652265872065,0.00015717340459743385,324,91,0.5382410530421228
