estimator,output,surface,param,obs,obs_se,bench,bench_se,bench_lo,bench_hi,bias,bias_se,n_obs,F,reliability,n_families,n_dev
OLS,y_hellaswag,ladder+gadre,theta_N,0.5015840636152242,0.0865583656819884,0.4225242892879101,0.02704362505490224,0.37126613152427834,0.4775619675268025,0.07905977432731415,0.09068466422525345,57,,,30,19
OLS,y_hellaswag,ladder+gadre,theta_D,0.2228550809220392,0.08154874520950056,0.2725135135648198,0.017468994674377365,0.22719721510259708,0.2959352262166793,-0.04965843264278058,0.08339882265462424,57,,,30,19
OLS,y_hellaswag,ladder+gadre,theta_C,0.3279657296974351,0.037280249462860834,0.3290836262499107,0.009068270513977824,0.3019202046790169,0.33807891988180844,-0.001117896552475628,0.03836731069710014,57,,,30,19
Year FE,y_hellaswag,ladder+gadre,theta_N,0.5169824099942454,0.09295014426885168,0.416131332677122,0.027119127035983622,0.36454081173346164,0.4713809308622657,0.1008510773171234,0.0968254944257666,57,,,30,19
Year FE,y_hellaswag,ladder+gadre,theta_D,0.19054569708533003,0.10648909800011314,0.30368095841320464,0.015890713222830928,0.2623614999710232,0.3248436687332662,-0.1131352613278746,0.1076682068189489,57,,,30,19
Year FE,y_hellaswag,ladder+gadre,theta_C,0.31894931532017445,0.04063002379565524,0.3479132226051872,0.008498586301504905,0.32409405295723936,0.3571640345264913,-0.028963907285012747,0.04150933392334353,57,,,30,19
Developer FE,y_hellaswag,ladder+gadre,theta_N,0.5891906863254508,0.07432402153583227,0.44830792841565714,0.02680706386822302,0.39895172043757016,0.5035908585831089,0.14088275790979365,0.07901062492154994,57,,,30,19
Developer FE,y_hellaswag,ladder+gadre,theta_D,0.20299657489935424,0.16509675288758283,0.2931378044334101,0.017835507640752837,0.24652905013917814,0.31787333259264433,-0.09014122953405584,0.16605734896964644,57,,,30,19
Developer FE,y_hellaswag,ladder+gadre,theta_C,0.3934459728109707,0.04554882655611107,0.36965905582474556,0.009120901727531409,0.34728978043109854,0.383790656731242,0.02378691698622515,0.04645305640065004,57,,,30,19
Family FE,y_hellaswag,ladder+gadre,theta_N,0.6477467496591938,0.08150484214628617,0.4448939858858126,0.027339448668676655,0.39371422893153374,0.5006769510473621,0.20285276377338118,0.08596792859432076,57,,,30,19
Family FE,y_hellaswag,ladder+gadre,theta_D,0.08662888241600424,0.16141991959061625,0.34849759410514847,0.018343730816873786,0.3015557335775255,0.3748046208295793,-0.2618687116891442,0.16245886525801828,57,,,30,19
Family FE,y_hellaswag,ladder+gadre,theta_C,0.4407017520529801,0.06549330692170305,0.4093250049807269,0.012386033958351148,0.38408758364371276,0.43415784970859134,0.03137674707225324,0.0666542353399829,57,,,30,19
Lab x period FE,y_hellaswag,ladder+gadre,theta_N,0.6095692838555642,0.09315391323363621,0.4446699672818597,0.026688596151316645,0.3954321638537636,0.49972629781573413,0.1648993165737045,0.09690166518315306,57,,,30,19
Lab x period FE,y_hellaswag,ladder+gadre,theta_D,0.2454925863893839,0.1789182111228075,0.35826134441662133,0.01569873335308873,0.31561570007717143,0.38119474706724543,-0.11276875802723743,0.1796056137771782,57,,,30,19
Lab x period FE,y_hellaswag,ladder+gadre,theta_C,0.44164902271764445,0.040748536675596636,0.4048163907770177,0.00962951875687007,0.3841637785500898,0.42301858896079664,0.03683263194062675,0.04187088335217394,57,,,30,19
IV: frontier FLOP/$,y_hellaswag,ladder+gadre,theta_C,0.7243813789279443,0.45200312028410056,0.01241002565529925,0.042883456034973816,-0.09451760489374691,0.07415443232084726,0.711971353272645,0.4540328309143146,57,0.9049507688824745,,30,19
IV: frontier FLOP/$ + developer FE,y_hellaswag,ladder+gadre,theta_C,8.535352264108951,86.05779518631398,-2.2866975446231663,0.18050144479368627,-2.7351131697243547,-2.0343176802096425,10.822049808732118,86.05798448198249,57,0.005405723365318848,,30,19
"OLS, EIV-corrected (Epoch 'Confident')",y_hellaswag,ladder+gadre,theta_C,0.3664826626078635,0.0416585144381976,0.3290836262499107,0.009068270513977824,0.3019202046790169,0.33807891988180844,0.037399036357952775,0.04263408677704024,57,,0.8949010776216677,30,19
"Family FE, EIV-corrected (Epoch 'Confident')",y_hellaswag,ladder+gadre,theta_C,0.8578226416814364,0.12748222872795476,0.4093250049807269,0.012386033958351148,0.38408758364371276,0.43415784970859134,0.4484976367007095,0.12808252214359303,57,,0.5137446024846712,30,19
Reverse (c on y),y_hellaswag,ladder+gadre,theta_C,0.560205851578779,0.12607977575943016,0.3516743538193926,0.006939230369485566,0.33453657014873045,0.36172397644843235,0.2085314977593864,0.1262705934636762,57,,,30,19
"Reverse (c on y), family FE",y_hellaswag,ladder+gadre,theta_C,0.5796417716052095,0.17782916175193594,0.432483656612082,0.011602557758641082,0.41170678103055275,0.4574752012920486,0.14715811499312748,0.17820726729271957,57,,,30,19
OP-style selection control,y_hellaswag,ladder+gadre,theta_N,0.5720936530359136,0.11337545930094645,0.49628415756008254,0.02471893474240318,0.4530283638959824,0.5471913973845335,0.0758094954758311,0.11603887497946432,57,,,30,19
OP-style selection control,y_hellaswag,ladder+gadre,theta_D,0.2244778838705147,0.08586543428464374,0.28123111404831713,0.017151684733723055,0.23663626039838714,0.30440773976135305,-0.05675323017780243,0.08756171020540601,57,,,30,19
OP-style selection control,y_hellaswag,ladder+gadre,theta_C,0.3350553220561351,0.05011657284506642,0.3496400204757957,0.008190652216477828,0.324208188486394,0.3560072831307251,-0.014584698419660591,0.05078146962688399,57,,,30,19
