estimator,output,surface,param,obs,obs_se,bench,bench_se,bench_lo,bench_hi,bias,bias_se,n_obs,F,reliability,n_families,n_dev
OLS,y_arc_c,ladder+gadre,theta_N,0.7595437479751298,0.19167873441613656,0.9120855411925115,0.14895237595554214,0.6991534255218699,1.3183121316413997,-0.1525417932173817,0.2427499691661628,57,,,30,19
OLS,y_arc_c,ladder+gadre,theta_D,0.2617110540879084,0.1155983633709135,0.3260701577387882,0.14316835994890945,0.1627232035552892,0.7163103322803611,-0.06435910365087982,0.1840113064583105,57,,,30,19
OLS,y_arc_c,ladder+gadre,theta_C,0.4494472447433644,0.050486783162302123,0.5470606573704209,0.11640424585796476,0.4679943365335551,0.8961540896917216,-0.09761341262705647,0.12688129778591808,57,,,30,19
Year FE,y_arc_c,ladder+gadre,theta_N,0.7872483632358867,0.2068527410390363,0.9127010486025698,0.15035901035719526,0.700328804952584,1.320821417031275,-0.1254526853666832,0.25572619824913867,57,,,30,19
Year FE,y_arc_c,ladder+gadre,theta_D,0.18045681269586158,0.16955629473072031,0.30417091170259547,0.12845654893304514,0.15068117874270992,0.6506935148505987,-0.12371409900673389,0.2127214658810876,57,,,30,19
Year FE,y_arc_c,ladder+gadre,theta_C,0.4191377806218276,0.05285348051502112,0.5435357511736522,0.10712249729185239,0.4670972948590013,0.8667892249540572,-0.12439797055182455,0.11945174686288451,57,,,30,19
Developer FE,y_arc_c,ladder+gadre,theta_N,0.9783621084401277,0.1835005708825269,0.8810009990026781,0.13799830707604133,0.674831463654867,1.2403325895791883,0.09736110943744958,0.2295996347341752,57,,,30,19
Developer FE,y_arc_c,ladder+gadre,theta_D,0.17148473656486712,0.1507599394804008,0.2907070290643162,0.13114040660044582,0.11818953125329691,0.6326291223791333,-0.1192222924994491,0.1998158291914441,57,,,30,19
Developer FE,y_arc_c,ladder+gadre,theta_C,0.5693916572444633,0.07202742158689356,0.5818070946517537,0.09814704235252418,0.4976459131570343,0.8745246743371504,-0.012415437407290453,0.12174067267353288,57,,,30,19
Family FE,y_arc_c,ladder+gadre,theta_N,1.1385513827920952,0.18205625007805856,0.9033491568711172,0.14419170976100884,0.6882094374782535,1.2905951963320421,0.23520222592097806,0.23224066688736408,57,,,30,19
Family FE,y_arc_c,ladder+gadre,theta_D,-0.3258963143076141,0.22677213587492512,0.14611046914965187,0.08405839293732043,-0.02047442228772866,0.3139895924867361,-0.472006783457266,0.24184998456167092,57,,,30,19
Family FE,y_arc_c,ladder+gadre,theta_C,0.5981897446391206,0.19089229788993742,0.6239381962882617,0.08576699401073921,0.5224607838747668,0.868008411075414,-0.02574845164914119,0.2092745724051032,57,,,30,19
Lab x period FE,y_arc_c,ladder+gadre,theta_N,1.0314519093013743,0.21641599511239978,0.8809100310127188,0.13825420266422156,0.6758972676721955,1.2412129639579876,0.1505418782886555,0.2568075300586217,57,,,30,19
Lab x period FE,y_arc_c,ladder+gadre,theta_D,0.06569186269135191,0.2580579805596675,0.21614340879727756,0.09555838850379617,0.05748247959183338,0.4336408404211312,-0.15045154610592565,0.27518235216666087,57,,,30,19
Lab x period FE,y_arc_c,ladder+gadre,theta_C,0.5860219206424893,0.12931568784477948,0.5743048965037759,0.08083369915887952,0.48442736560784116,0.8154300133003719,0.011717024138713339,0.15250125915046303,57,,,30,19
IV: frontier FLOP/$,y_arc_c,ladder+gadre,theta_C,1.782396736818555,1.3767070449733114,0.2565537577665964,0.2623852447203345,-0.11303357078804765,0.9121757504192824,1.5258429790519585,1.4014878894682241,57,0.9049507688824745,,30,19
IV: frontier FLOP/$ + developer FE,y_arc_c,ladder+gadre,theta_C,18.23655023658648,180.14700353537873,0.44338118261657655,1.2610830175920942,-1.0485023133456708,3.86952832431998,17.793169053969905,180.1514174608488,57,0.005405723365318848,,30,19
"OLS, EIV-corrected (Epoch 'Confident')",y_arc_c,ladder+gadre,theta_C,0.5022312029591439,0.056416049130791346,0.5470606573704209,0.11640424585796476,0.4679943365335551,0.8961540896917216,-0.04482945441127695,0.12935501170534278,57,,0.8949010776216677,30,19
"Family FE, EIV-corrected (Epoch 'Confident')",y_arc_c,ladder+gadre,theta_C,1.164371833292339,0.3715704203347482,0.6239381962882617,0.08576699401073921,0.5224607838747668,0.868008411075414,0.5404336370040772,0.3813404706156686,57,,0.5137446024846712,30,19
Reverse (c on y),y_arc_c,ladder+gadre,theta_C,0.8672751894516652,0.23675142629330115,0.5847360919542997,0.1246760345184311,0.49509623813964865,0.9672186082229509,0.2825390974973655,0.26757307681295855,57,,,30,19
"Reverse (c on y), family FE",y_arc_c,ladder+gadre,theta_C,1.0038280021407655,0.37930210247685625,0.6967940881400507,0.11571702633687131,0.559235701366718,1.0115009473019858,0.3070339140007148,0.3965608592985593,57,,,30,19
OP-style selection control,y_arc_c,ladder+gadre,theta_N,0.7893903297627574,0.22532528118033052,0.827732675474382,0.11523448743990544,0.64093589078826,1.110997710767727,-0.03834234571162465,0.2530819421344256,57,,,30,19
OP-style selection control,y_arc_c,ladder+gadre,theta_D,0.25353731421042847,0.12426003521118104,0.3172190827420802,0.13849378093578074,0.15538148039716584,0.692230300459314,-0.06368176853165175,0.1860674171061983,57,,,30,19
OP-style selection control,y_arc_c,ladder+gadre,theta_C,0.4239934872605717,0.05852831964070385,0.47961472255672666,0.10153905095478635,0.40092772978070595,0.7918633460354857,-0.05562123529615498,0.11719958647010278,57,,,30,19
