estimator,output,surface,param,obs,obs_se,bench,bench_se,bench_lo,bench_hi,bias,bias_se,n_obs,F,reliability,n_families,n_dev
OLS,y_hellaswag,ladder+gadre,theta_N,0.5645531669574211,0.07447557422265452,0.4265809621935715,0.026151721858336897,0.37736154144172,0.48003012606321566,0.13797220476384958,0.07893366653051116,49,,,24,16
OLS,y_hellaswag,ladder+gadre,theta_D,0.26963081039711506,0.05946525209605621,0.2823742582476423,0.01662371534971245,0.23916750786169114,0.30446330873728067,-0.012743447850527223,0.06174515461860779,49,,,24,16
OLS,y_hellaswag,ladder+gadre,theta_C,0.38223442371418215,0.021011985269419955,0.33743348169290033,0.008788964233624446,0.31160533356087167,0.34658189796614475,0.04480094202128182,0.022776071155101597,49,,,24,16
Year FE,y_hellaswag,ladder+gadre,theta_N,0.5696028982012766,0.08057998239757011,0.42858090541183524,0.026395227646643347,0.37897421177356017,0.48270958897358324,0.14102199278944139,0.08479293370152276,49,,,24,16
Year FE,y_hellaswag,ladder+gadre,theta_D,0.24478845511956782,0.0872754768174683,0.310802187412236,0.015316168131575852,0.2710979105419089,0.3309658887241526,-0.06601373229266816,0.08860921994889215,49,,,24,16
Year FE,y_hellaswag,ladder+gadre,theta_C,0.37276447187431944,0.02695525373973107,0.3572066854544559,0.008164953436819576,0.3343325785134079,0.3663111962075562,0.01555778641986355,0.02816473271307075,49,,,24,16
Developer FE,y_hellaswag,ladder+gadre,theta_N,0.5742692774483832,0.08056184654230769,0.4335151216723948,0.02625257451763667,0.38444573397250903,0.4874510096481688,0.14075415577598838,0.08473139198142798,49,,,24,16
Developer FE,y_hellaswag,ladder+gadre,theta_D,0.273563173961946,0.1437408974138963,0.3497691205874155,0.015421005202293515,0.30887306898879247,0.37195932228560075,-0.07620594662546948,0.14456573933958705,49,,,24,16
Developer FE,y_hellaswag,ladder+gadre,theta_C,0.43185902651443975,0.026319660220925477,0.39385417401968464,0.009606768905288807,0.3724812263333445,0.4108379843622091,0.038004852494755104,0.028018110624105096,49,,,24,16
Family FE,y_hellaswag,ladder+gadre,theta_N,0.6542079916602902,0.08909905932855554,0.4258109977299272,0.02691713227039928,0.37448555495924796,0.4801669581502308,0.228396993930363,0.0930761751625819,49,,,24,16
Family FE,y_hellaswag,ladder+gadre,theta_D,0.08137408364174548,0.22281404066763624,0.4250725530559485,0.017063869876360473,0.37946326696690896,0.4515049201190624,-0.343698469414203,0.22346649049420458,49,,,24,16
Family FE,y_hellaswag,ladder+gadre,theta_C,0.46161453697671445,0.06668418578546077,0.4255627240002068,0.013506328674041852,0.3986016509420382,0.4531055021990906,0.03605181297650767,0.06803823592746283,49,,,24,16
Lab x period FE,y_hellaswag,ladder+gadre,theta_N,0.5921255345879258,0.09186935760965477,0.43623646834961616,0.026196737157308712,0.3874125751069516,0.4901702266289382,0.15588906623830967,0.09553139748428133,49,,,24,16
Lab x period FE,y_hellaswag,ladder+gadre,theta_D,0.3052800973508106,0.1360096277654635,0.3955185030246889,0.014241485369723755,0.35738774734677814,0.41753060661174163,-0.09023840567387831,0.13675320380318698,49,,,24,16
Lab x period FE,y_hellaswag,ladder+gadre,theta_C,0.4656361289898888,0.04488805143237863,0.4182811845538552,0.010216542645322102,0.3973713149471224,0.43854568109127046,0.04735494443603361,0.04603601747566306,49,,,24,16
IV: frontier FLOP/$,y_hellaswag,ladder+gadre,theta_C,0.701789739147678,0.5081484188331828,0.024725033168806476,0.027353227368898992,-0.046431090233301116,0.0579303308553051,0.6770647059788715,0.5088840875977146,49,0.5462895039789611,,24,16
IV: frontier FLOP/$ + developer FE,y_hellaswag,ladder+gadre,theta_C,-0.885472820552252,0.8560516684680528,0.5056598514856887,0.0111625122482645,0.48370819388292147,0.5268544673382621,-1.3911326720379407,0.8561244423368776,49,11.862490563557687,,24,16
"OLS, EIV-corrected (Epoch 'Confident')",y_hellaswag,ladder+gadre,theta_C,0.4245937200858244,0.02334053773922441,0.33743348169290033,0.008788964233624446,0.31160533356087167,0.34658189796614475,0.08716023839292408,0.024940460987240967,49,,0.9002356974024956,24,16
"Family FE, EIV-corrected (Epoch 'Confident')",y_hellaswag,ladder+gadre,theta_C,0.8520772534499425,0.12308987980481932,0.4255627240002068,0.013506328674041852,0.3986016509420382,0.4531055021990906,0.42651452944973567,0.123828669639208,49,,0.5417519774265788,24,16
Reverse (c on y),y_hellaswag,ladder+gadre,theta_C,0.48192591607135893,0.06426786733900018,0.3590167380652981,0.006870688020950321,0.3422378043132096,0.36913628214903504,0.12290917800606083,0.06463408641099955,49,,,24,16
"Reverse (c on y), family FE",y_hellaswag,ladder+gadre,theta_C,0.5963279977567021,0.18672473453032093,0.4429956502448478,0.011765134157427743,0.4218766356921848,0.46827365032341783,0.15333234751185426,0.1870950156128193,49,,,24,16
OP-style selection control,y_hellaswag,ladder+gadre,theta_N,0.6354161080707512,0.08841554794678044,0.5015240489424886,0.024277043430317426,0.4590298416091895,0.5517956083762516,0.13389205912826263,0.09168797062017978,49,,,24,16
OP-style selection control,y_hellaswag,ladder+gadre,theta_D,0.27156639301834756,0.06265323494619066,0.29868039872426694,0.01620280810288495,0.2566066401790859,0.3204792240371772,-0.027114005705919375,0.06471444073498187,49,,,24,16
OP-style selection control,y_hellaswag,ladder+gadre,theta_C,0.39105452465515156,0.02165792056952416,0.3652941894633196,0.007476116950919498,0.3424324782212118,0.3714766414409445,0.025760335191831962,0.0229119586255659,49,,,24,16
