estimator,param,obs,bench,bias,bias_se,t_cr1,p_cr1_normal,p_wild,n_clusters,B
OLS,theta_N,0.5645531669574211,0.4265809621935715,0.13797220476384958,0.07893366653051116,1.852583295988928,0.0639421084868308,0.15915915915915915,16,999
OLS,theta_D,0.26963081039711506,0.2823742582476423,-0.012743447850527223,0.06174515461860779,-0.2143007454159566,0.8303125367829856,0.8528528528528528,16,999
OLS,theta_C,0.38223442371418215,0.33743348169290033,0.04480094202128182,0.022776071155101597,2.132161309208131,0.032993587939857516,0.0990990990990991,16,999
Year FE,theta_N,0.5696028982012766,0.42858090541183524,0.14102199278944139,0.08479293370152276,1.7500871630111532,0.0801032744928829,0.16416416416416416,16,999
Year FE,theta_D,0.24478845511956782,0.310802187412236,-0.06601373229266816,0.08860921994889215,-0.7563835191732688,0.44941928631575934,0.5395395395395396,16,999
Year FE,theta_C,0.37276447187431944,0.3572066854544559,0.01555778641986355,0.02816473271307075,0.5771708391304026,0.563824054038309,0.5835835835835835,16,999
Developer FE,theta_N,0.5742692774483832,0.4335151216723948,0.14075415577598838,0.08473139198142798,1.7471565240443618,0.08061019082447318,0.15215215215215216,16,999
Developer FE,theta_D,0.273563173961946,0.3497691205874155,-0.07620594662546948,0.14456573933958705,-0.5301618954464641,0.5959996877547549,0.5755755755755756,16,999
Developer FE,theta_C,0.43185902651443975,0.39385417401968464,0.038004852494755104,0.028018110624105096,1.4439720033180776,0.14874685076323146,0.22422422422422422,16,999
Family FE,theta_N,0.6542079916602902,0.4258109977299272,0.228396993930363,0.0930761751625819,2.563405221692926,0.010365099601668648,0.06306306306306306,16,999
Family FE,theta_D,0.08137408364174548,0.4250725530559485,-0.343698469414203,0.22346649049420458,-1.542535059168542,0.1229436251835414,0.04104104104104104,16,999
Family FE,theta_C,0.46161453697671445,0.4255627240002068,0.03605181297650767,0.06803823592746283,0.5406351228472206,0.5887591039807976,0.4364364364364364,16,999
Lab x period FE,theta_N,0.5921255345879258,0.43623646834961616,0.15588906623830967,0.09553139748428133,1.6968559516938098,0.08972389749732934,0.15315315315315314,16,999
Lab x period FE,theta_D,0.3052800973508106,0.3955185030246889,-0.09023840567387831,0.13675320380318698,-0.6634707201169657,0.5070291259039164,0.35735735735735735,16,999
Lab x period FE,theta_C,0.4656361289898888,0.4182811845538552,0.04735494443603361,0.04603601747566306,1.0549565624868538,0.2914451913963212,0.18118118118118118,16,999
