estimator,output,surface,param,obs,obs_se,bench,bench_se,bench_lo,bench_hi,bias,bias_se,n_obs,F,reliability,n_families,n_dev
OLS,y_core,ladder+gadre,theta_N,0.508183590738759,0.09915014626395519,0.39892064004261724,0.0656025814486126,0.28428286877307113,0.538674215740983,0.10926295069614173,0.1188883938695681,57,,,30,19
OLS,y_core,ladder+gadre,theta_D,0.28579657757508736,0.09269084481578423,0.3807656075632572,0.05268479516111211,0.3116500235185899,0.5429872777283796,-0.09496902998816986,0.10661744863685368,57,,,30,19
OLS,y_core,ladder+gadre,theta_C,0.36966027559097125,0.04506206206942733,0.3876119972856491,0.03449761632111478,0.3605733460050115,0.49984473484951975,-0.017951721694677847,0.05675099091458903,57,,,30,19
Year FE,y_core,ladder+gadre,theta_N,0.5282438966559853,0.10973883687840398,0.39317826139712675,0.06553155720384855,0.27758540269750254,0.5340694243923249,0.1350656352588585,0.1278162638672647,57,,,30,19
Year FE,y_core,ladder+gadre,theta_D,0.25762213309409715,0.11770312117539765,0.39652378342061273,0.04677044936662354,0.334700317452925,0.5397536690710382,-0.13890165032651558,0.12665504201722977,57,,,30,19
Year FE,y_core,ladder+gadre,theta_C,0.3640709859354039,0.05161501106622848,0.3952078250258849,0.03149007890612114,0.3682746130697144,0.4925893791271953,-0.03113683909048104,0.06046266977963034,57,,,30,19
Developer FE,y_core,ladder+gadre,theta_N,0.6376157987672217,0.07524055974305449,0.4135349338331977,0.06378536476181731,0.30003342984426196,0.5449641574664561,0.22408086493402402,0.09863931563147747,57,,,30,19
Developer FE,y_core,ladder+gadre,theta_D,0.24862145682144451,0.17773395157105967,0.3970975435459271,0.051480385662075336,0.3231756810288179,0.5444168043259855,-0.14847608672448256,0.18503942187809547,57,,,30,19
Developer FE,y_core,ladder+gadre,theta_C,0.44045177225797494,0.05965055507690623,0.4052035477309439,0.029776490812665164,0.37514430842169316,0.48920806778045356,0.035248224527031025,0.06666954421697929,57,,,30,19
Family FE,y_core,ladder+gadre,theta_N,0.715456908728488,0.08725768628666908,0.41344726698862355,0.06649610836140724,0.2983190303052115,0.5513451707798025,0.30200964173986444,0.10970704737305972,57,,,30,19
Family FE,y_core,ladder+gadre,theta_D,0.08953859294379657,0.21770271265133542,0.41636541878864675,0.04938505298060311,0.3167273659345029,0.5129648242266304,-0.3268268258448502,0.22323385619938318,57,,,30,19
Family FE,y_core,ladder+gadre,theta_C,0.48450141121416523,0.07966204358537957,0.41452402602219063,0.03089726275941083,0.36241702869431547,0.4816919519695554,0.0699773851919746,0.08544402866334773,57,,,30,19
Lab x period FE,y_core,ladder+gadre,theta_N,0.6663342170828771,0.09149973724770588,0.4112178725557417,0.06335448606585115,0.2984518497807632,0.5418901566002021,0.2551163445271354,0.11129237539502579,57,,,30,19
Lab x period FE,y_core,ladder+gadre,theta_D,0.2814232466044859,0.20921978586663048,0.42957843278672325,0.04199360946517766,0.3554480658206227,0.5327113728128526,-0.14815518618223733,0.2133925538391454,57,,,30,19
Lab x period FE,y_core,ladder+gadre,theta_C,0.4888047263810298,0.05641098894198386,0.41968617082938137,0.026736486560221647,0.38069250934228616,0.4873454736294271,0.06911855555164842,0.06242627160897516,57,,,30,19
IV: frontier FLOP/$,y_core,ladder+gadre,theta_C,0.8717202265402193,0.593942048761508,0.2777194559475902,0.1258083830849234,0.0719467110674941,0.5803506380528005,0.5940007705926291,0.6071201747112843,57,0.9049507688824745,,30,19
IV: frontier FLOP/$ + developer FE,y_core,ladder+gadre,theta_C,9.86711722961627,96.92224227936741,-1.115186169045046,0.5759203366874047,-2.0332489866414107,0.285537344409384,10.982303398661315,96.9239533484608,57,0.005405723365318848,,30,19
"OLS, EIV-corrected (Epoch 'Confident')",y_core,ladder+gadre,theta_C,0.41307389703161185,0.05035423824629471,0.3876119972856491,0.03449761632111478,0.3605733460050115,0.49984473484951975,0.025461899745962746,0.06103797867888036,57,,0.8949010776216677,30,19
"Family FE, EIV-corrected (Epoch 'Confident')",y_core,ladder+gadre,theta_C,0.9430783484068263,0.15506156794660722,0.41452402602219063,0.03089726275941083,0.36241702869431547,0.4816919519695554,0.5285543223846356,0.15810986907870225,57,,0.5137446024846712,30,19
Reverse (c on y),y_core,ladder+gadre,theta_C,0.6140371779041986,0.11488096187159315,0.39473193187155275,0.032305390372470155,0.3723917656765753,0.5045872784366736,0.2193052460326459,0.11933680759790806,57,,,30,19
"Reverse (c on y), family FE",y_core,ladder+gadre,theta_C,0.661847780940514,0.13486018995789423,0.4294975264348732,0.027331506238072734,0.3912141261078217,0.49447315442687906,0.23235025450564079,0.13760189703896208,57,,,30,19
OP-style selection control,y_core,ladder+gadre,theta_N,0.5837619071891469,0.1223438207284961,0.4548408840614714,0.057954606690400576,0.3503715905661607,0.5661269612010663,0.1289210231276755,0.1353763159015838,57,,,30,19
OP-style selection control,y_core,ladder+gadre,theta_D,0.28720298550614265,0.098859521003048,0.38565503780198584,0.051215513450681587,0.31765211904853075,0.5419985500867546,-0.0984520522958432,0.11133837483531468,57,,,30,19
OP-style selection control,y_core,ladder+gadre,theta_C,0.38153911389735323,0.05895273259550364,0.4076632270634969,0.030591860883291883,0.3825939002583726,0.5157968712726204,-0.02612411316614366,0.06641751751443019,57,,,30,19
