estimator,output,surface,param,obs,obs_se,bench,bench_se,bench_lo,bench_hi,bias,bias_se,n_obs,F,reliability,n_families,n_dev
OLS,y_hellaswag,ladder,theta_N,0.40156962259813966,0.159489537622869,0.42982709467529856,0.03138037729443428,0.3750540067124306,0.5006963740952194,-0.028257472077158896,0.1625473490718861,39,,,27,17
OLS,y_hellaswag,ladder,theta_D,0.22229376629846936,0.12955426409788967,0.23278834162449313,0.0189092613708651,0.18205290444409253,0.2550005139687145,-0.01049457532602377,0.1309269548700245,39,,,27,17
OLS,y_hellaswag,ladder,theta_C,0.28079657612434294,0.05310437243138415,0.29708768976867334,0.008458417414524314,0.2675692544417245,0.30127105282683614,-0.01629111364433039,0.053773777963701606,39,,,27,17
Year FE,y_hellaswag,ladder,theta_N,0.4387047525147516,0.15657004986888165,0.38645107074464724,0.03105976141190324,0.33135443412550314,0.455075438867037,0.052253681770104365,0.15962108035879358,39,,,27,17
Year FE,y_hellaswag,ladder,theta_D,0.20285815957650905,0.1448427940104524,0.28992311981312024,0.016569509534208517,0.24525129815130958,0.3103122072969426,-0.0870649602366112,0.14578746044484958,39,,,27,17
Year FE,y_hellaswag,ladder,theta_C,0.28324508816727434,0.05719638350644977,0.32282410600874056,0.007325381530403869,0.2975601583435082,0.3266226847454748,-0.039579017841466224,0.05766357169637397,39,,,27,17
Developer FE,y_hellaswag,ladder,theta_N,0.3336693758547707,0.09753304183363762,0.4463617913934729,0.03126201761227125,0.39166040450996126,0.5175534484679633,-0.11269241553870218,0.10242074006036113,39,,,27,17
Developer FE,y_hellaswag,ladder,theta_D,0.3455486112057518,0.17019509255453005,0.24686124126853615,0.01969280642331126,0.19477040782489913,0.2719797577070411,0.09868736993721566,0.17133060483892262,39,,,27,17
Developer FE,y_hellaswag,ladder,theta_C,0.34115947799070173,0.12026948981954874,0.3205725926394327,0.007418064998151094,0.29493443753507903,0.324554680301963,0.020586885351269013,0.12049804093748302,39,,,27,17
Family FE,y_hellaswag,ladder,theta_N,0.545255067619603,0.24343032158265418,0.43214244774714805,0.03726432093560891,0.3665044420090009,0.5154963426412056,0.11311261987245491,0.24626601690169614,39,,,27,17
Family FE,y_hellaswag,ladder,theta_D,0.19921244882616057,0.7072118698725988,0.4380727083099397,0.03785394905363366,0.35324243617676215,0.5043317769318126,-0.23886025948377915,0.7082242232144088,39,,,27,17
Family FE,y_hellaswag,ladder,theta_C,0.42722415740814357,0.1036713890472096,0.4341651871844371,0.012401074731978901,0.41021488322136235,0.46105542108877645,-0.006941029776293517,0.10441045714623616,39,,,27,17
Lab x period FE,y_hellaswag,ladder,theta_N,0.5439820838683378,0.14620019084403368,0.47387000870466467,0.031691954244332625,0.4179479723401872,0.5472353421923365,0.07011207516367313,0.14959570771468259,39,,,27,17
Lab x period FE,y_hellaswag,ladder,theta_D,0.36420249691586426,0.2037018809679771,0.3217003957798693,0.017627130719634353,0.27259847634090006,0.34654552602186794,0.04250210113599495,0.2044631312664926,39,,,27,17
Lab x period FE,y_hellaswag,ladder,theta_C,0.43044620317124815,0.08297534737330822,0.377770605476427,0.005195014282291216,0.3628734936617062,0.3827435195572924,0.052675597694821163,0.08313781597512877,39,,,27,17
IV: frontier FLOP/$,y_hellaswag,ladder,theta_C,0.17925154081090966,0.2817155559726361,0.026098810653365945,0.031420448073722455,-0.05863508801332955,0.05914653821292291,0.15315273015754371,0.28346234147435695,39,1.1676034987339818,,27,17
IV: frontier FLOP/$ + developer FE,y_hellaswag,ladder,theta_C,-4.590186606968928,93.46002724566517,4.195523720001802,0.5727831745664349,3.322392512721126,5.646713157679187,-8.78571032697073,93.46178242108131,39,0.0014779025664953794,,27,17
"OLS, EIV-corrected (Epoch 'Confident')",y_hellaswag,ladder,theta_C,0.3210040094779011,0.060708419976365245,0.29708768976867334,0.008458417414524314,0.2675692544417245,0.30127105282683614,0.02391631970922775,0.06129483731265686,39,,0.8747447627867523,27,17
"Family FE, EIV-corrected (Epoch 'Confident')",y_hellaswag,ladder,theta_C,-0.3225154815849207,-0.07826249378776619,0.4341651871844371,0.012401074731978901,0.41021488322136235,0.46105542108877645,-0.7566806687693578,0.07923890829881661,39,,-1.3246624791735844,27,17
Reverse (c on y),y_hellaswag,ladder,theta_C,0.6085531810666104,0.22451110553717046,0.31285777346360955,0.006357994424370626,0.2918883979522416,0.3169881628980718,0.29569540760300084,0.22460111442871966,39,,,27,17
"Reverse (c on y), family FE",y_hellaswag,ladder,theta_C,0.8568872652592459,0.8984209320342873,0.442667485900675,0.011847877700537685,0.42436868762687374,0.4720075163781644,0.41421977935857085,0.8984990502629173,39,,,27,17
OP-style selection control,y_hellaswag,ladder,theta_N,0.43461163550766113,0.2216305529110518,0.5238082056062852,0.0272111761741485,0.47544338665004854,0.5889355651229308,-0.08919657009862403,0.2232947605575175,39,,,27,17
OP-style selection control,y_hellaswag,ladder,theta_D,0.20910381402781641,0.12310479439118943,0.2215569188078912,0.01856111050044759,0.17150429621958935,0.24319770970677354,-0.012453104780074775,0.12449620566550151,39,,,27,17
OP-style selection control,y_hellaswag,ladder,theta_C,0.26869873864846094,0.08971882981011713,0.301432829696654,0.008876117357049112,0.2733493467849212,0.3069227423871435,-0.03273409104819308,0.09015682936878865,39,,,27,17
